,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_146|Q1JKN7|S-ribosylhomocysteine|WP_021299075.1|tpos:1-160,Cytoplasmic,0.0001,0.0133,0.9855,0.0011,0.0000,0.0000
177,antigen_23|Q5XCA4|Spermidine/putrescine|WP_002989863.1|tpos:1-384,Cytoplasmic Membrane,0.0002,0.0141,0.3262,0.6595,0.0000,0.0000
178,antigen_132|Q5XEC0|Large|WP_002986629.1|tpos:1-178,Extracellular,0.0000,0.9354,0.0644,0.0003,0.0000,0.0000
179,antigen_133|A2RG55|Protein|WP_011528310.1|tpos:1-139,Cytoplasmic,0.0010,0.1526,0.8382,0.0081,0.0000,0.0000
180,antigen_134|P0DG00|tRNA(Ile)-lysidine|WP_010921767.1|tpos:1-428,Cytoplasmic,0.0004,0.0023,0.9951,0.0022,0.0000,0.0000
181,antigen_83|Q8P003|Methionyl-tRNA|WP_011018056.1|tpos:1-311,Cytoplasmic,0.0000,0.0008,0.9991,0.0001,0.0000,0.0000
182,antigen_84|P0DG67|Thymidylate|WP_011017679.1|tpos:1-279,Cytoplasmic,0.0001,0.0468,0.9494,0.0038,0.0000,0.0000
183,antigen_118|P0DE54|Large|WP_014407204.1|tpos:1-207,Extracellular,0.0004,0.8257,0.1717,0.0023,0.0000,0.0000
184,antigen_119|Q8P1F2|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,Cytoplasmic,0.0002,0.0176,0.8740,0.1082,0.0000,0.0000
185,antigen_74|P0DE67|Small|WP_002986049.1|tpos:1-137,Cytoplasmic,0.0008,0.1595,0.8063,0.0335,0.0000,0.0000
186,antigen_159|P67372|DegV|WP_002989125.1|tpos:1-279,Cytoplasmic,0.0001,0.0036,0.9917,0.0045,0.0000,0.0000
187,antigen_160|Q1JHA5|Uracil-DNA|WP_011528526.1|tpos:1-217,Cytoplasmic,0.0003,0.0151,0.9842,0.0003,0.0000,0.0000
188,antigen_135|Q8P2A7|Replication|WP_002985838.1|tpos:1-107,Cytoplasmic,0.0003,0.0007,0.9978,0.0012,0.0000,0.0000
189,antigen_136|Q1JKZ0|Cell|WP_021299320.1|tpos:1-218,Cytoplasmic,0.0003,0.0103,0.9829,0.0065,0.0000,0.0000
190,antigen_137|Q1JJJ7|Formimidoylglutamase|WP_002982269.1|tpos:1-328,Cytoplasmic,0.0003,0.0354,0.9513,0.0130,0.0000,0.0000
191,antigen_194|Q99ZV8|Elongation|WP_010922253.1|tpos:1-610,Cytoplasmic,0.0004,0.0794,0.6535,0.2668,0.0000,0.0000
192,antigen_195|B5XK49|Bifunctional|WP_021299380.1|tpos:1-460,Cytoplasmic,0.0000,0.0024,0.9975,0.0001,0.0000,0.0000
193,antigen_99|Q1JDD0|Segregation|WP_002985894.1|tpos:1-183,Cytoplasmic,0.0010,0.0055,0.9805,0.0131,0.0000,0.0000
194,antigen_100|Q48V44|Segregation|WP_002985894.1|tpos:1-183,Cytoplasmic,0.0010,0.0055,0.9805,0.0131,0.0000,0.0000
195,antigen_101|Q1JB44|Shikimate|WP_002984106.1|tpos:1-163,Cytoplasmic,0.0000,0.0010,0.9986,0.0004,0.0000,0.0000
