,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|CAX11217.1|tpos:1-416,Cytoplasmic,0.0001,0.0009,0.9974,0.0007,0.0009,0.0000
178,antigen_15|O84075|Putative|CAX10519.1|tpos:1-619,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9993,0.0006,0.0000
179,antigen_122|B0B7Y8|GTPase|CAX10871.1|tpos:1-335,Cytoplasmic,0.0000,0.0000,0.9982,0.0013,0.0004,0.0000
180,antigen_123|P0DPS7|Serine/threonine-protein|CAX10592.1|tpos:1-614,Cytoplasmic,0.0016,0.0736,0.8185,0.0611,0.0444,0.0008
181,antigen_130|B0B9B0|Glutamyl-tRNA(Gln)|CAX10449.1|tpos:1-491,Cytoplasmic,0.0018,0.0196,0.8589,0.0286,0.0260,0.0652
182,antigen_131|B0BBD3|DNA|CAX10593.1|tpos:1-663,Cytoplasmic,0.0001,0.0004,0.9982,0.0002,0.0011,0.0000
183,antigen_106|O84762|Phospho-N-acetylmuramoyl-pentapeptide-transferase|CAX11216.1|tpos:1-336,Cytoplasmic Membrane,0.0000,0.0007,0.0004,0.9946,0.0042,0.0000
184,antigen_107|B0B9W3|Ribose-5-phosphate|CAX10661.1|tpos:1-242,Cytoplasmic,0.0000,0.0005,0.9986,0.0001,0.0007,0.0000
185,antigen_29|O84239|Acyl|CAX10685.1|tpos:1-77,Cytoplasmic,0.0001,0.0020,0.9868,0.0014,0.0094,0.0004
186,antigen_30|O84744|DNA|CAX11198.1|tpos:1-799,Cytoplasmic Membrane,0.0007,0.0222,0.0118,0.9387,0.0263,0.0002
187,antigen_19|P23421|Major|CAX11140.1|tpos:1-394,Outer Membrane,0.0000,0.0000,0.0002,0.0507,0.9490,0.0001
188,antigen_35|Q3KL32|Glutamyl-tRNA|CAX11121.1|tpos:1-335,Cytoplasmic,0.0002,0.0093,0.9674,0.0095,0.0135,0.0001
189,antigen_36|B0BAP7|DNA|CAX11251.1|tpos:1-820,Cytoplasmic,0.0002,0.0060,0.9897,0.0028,0.0010,0.0002
190,antigen_183|O84130|Adenylate|CAX10575.1|tpos:1-245,Cytoplasmic,0.0002,0.0040,0.9938,0.0001,0.0018,0.0001
191,antigen_184|Q3KMH4|Thymidylate|CAX10636.1|tpos:1-203,Cytoplasmic,0.0000,0.0005,0.9982,0.0001,0.0010,0.0002
192,antigen_185|O84549|DNA|CAX11002.1|tpos:1-1237,Cytoplasmic,0.0004,0.0015,0.9651,0.0068,0.0258,0.0004
193,antigen_0|B0BBB5|Adenylate|CAX10575.1|tpos:1-245,Cytoplasmic,0.0002,0.0040,0.9938,0.0001,0.0018,0.0001
194,antigen_125|B0BA81|tRNA|CAX11085.1|tpos:1-327,Cytoplasmic,0.0001,0.0031,0.9530,0.0025,0.0244,0.0169
195,antigen_96|O84509|Holliday|CAX10958.1|tpos:1-200,Cytoplasmic,0.0003,0.0046,0.9590,0.0191,0.0168,0.0002
196,antigen_97|B0BBV0|Large|CAX10768.1|tpos:1-141,Outer Membrane,0.0000,0.0004,0.3874,0.0002,0.6113,0.0007
