Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen79|Q2FK09|CP000253.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq10,0.342,0.0,0,0.342,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq12,0.313,0.0,0,0.313,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq13,0.364,0.0,0,0.364,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq14,0.37,0.0,0,0.37,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq15,0.365,0.0,0,0.365,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq16,0.412,0.0,0,0.412,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq17,0.312,0.0,0,0.312,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq18,0.404,0.0,0,0.404,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq19,0.386,0.0,0,0.386,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq21,0.367,0.0,0,0.367,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq23,0.365,0.0,0,0.365,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq24,0.369,0.0,0,0.369,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq26,0.422,0.0,0,0.422,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq27,0.41,0.0,0,0.41,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq28,0.368,0.0,0,0.368,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq30,0.346,0.0,0,0.346,Allergen
antigen41|Q5HEC4|CP000253.1|bcell|seq1,0.356,0.0,0,0.356,Allergen
antigen41|Q5HEC4|CP000253.1|bcell|seq2,0.407,0.0,0,0.407,Allergen
antigen41|Q5HEC4|CP000253.1|bcell|seq3,0.354,0.0,0,0.354,Allergen
antigen41|Q5HEC4|CP000253.1|bcell|seq4,0.429,0.0,0,0.429,Allergen
antigen34|Q6GC27|CP000253.1|bcell|seq3,0.317,0.0,0,0.317,Allergen
antigen34|Q6GC27|CP000253.1|bcell|seq4,0.358,0.0,0,0.358,Allergen
antigen34|Q6GC27|CP000253.1|bcell|seq6,0.409,0.0,0,0.409,Allergen
antigen34|Q6GC27|CP000253.1|bcell|seq7,0.358,0.0,0,0.358,Allergen
antigen69|A5IQW9|CP000253.1|bcell|seq2,0.347,0.0,0,0.347,Allergen
antigen69|A5IQW9|CP000253.1|bcell|seq3,0.339,0.0,0,0.339,Allergen
antigen69|A5IQW9|CP000253.1|bcell|seq5,0.34,0.0,0,0.34,Allergen
antigen20|Q5HHK8|CP000253.1|bcell|seq1,0.314,0.0,0,0.314,Allergen
antigen20|Q5HHK8|CP000253.1|bcell|seq2,0.322,0.0,0,0.322,Allergen
antigen20|Q5HHK8|CP000253.1|bcell|seq3,0.338,0.0,0,0.338,Allergen
antigen20|Q5HHK8|CP000253.1|bcell|seq4,0.375,0.0,0,0.375,Allergen
antigen43|P06886|CP000253.1|bcell|seq1,0.351,0.0,0,0.351,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq1,0.418,0.0,0,0.418,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq2,0.402,0.0,0,0.402,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq3,0.372,0.0,0,0.372,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq4,0.368,0.0,0,0.368,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq5,0.306,0.0,0,0.306,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq6,0.332,0.0,0,0.332,Allergen
antigen46|Q2YWH4|CP000253.1|bcell|seq7,0.31,0.0,0,0.31,Allergen
antigen21|Q6GCF3|CP000253.1|bcell|seq1,0.442,0.0,0,0.442,Allergen
antigen21|Q6GCF3|CP000253.1|bcell|seq3,0.326,0.0,0,0.326,Allergen
antigen21|Q6GCF3|CP000253.1|bcell|seq4,0.439,0.0,0,0.439,Allergen
antigen21|Q6GCF3|CP000253.1|bcell|seq5,0.36,0.0,0,0.36,Allergen
antigen21|Q6GCF3|CP000253.1|bcell|seq6,0.318,0.0,0,0.318,Allergen
antigen148|P72358|CP000253.1|bcell|seq1,0.422,0.0,0,0.422,Allergen
antigen192|P30329|CP000253.1|bcell|seq1,0.36,0.0,0,0.36,Allergen
antigen19|P68789|CP000253.1|bcell|seq1,0.401,0.0,0,0.401,Allergen
antigen19|P68789|CP000253.1|bcell|seq2,0.414,0.0,0,0.414,Allergen
antigen19|P68789|CP000253.1|bcell|seq4,0.408,0.0,0,0.408,Allergen
antigen19|P68789|CP000253.1|bcell|seq7,0.303,0.0,0,0.303,Allergen
antigen19|P68789|CP000253.1|bcell|seq8,0.334,0.0,0,0.334,Allergen
antigen19|P68789|CP000253.1|bcell|seq9,0.332,0.0,0,0.332,Allergen
