antigen152|Q2FYU5|BX571857.1|mhci|seq97	antigen152|Q2FYU5|BX571857.1|mhci|seq97
antigen152|Q2FYU5|CP002114.3|mhci|seq13	antigen152|Q2FYU5|BX571857.1|mhci|seq13
antigen152|Q2FYU5|CP002114.3|mhci|seq45	antigen152|Q2FYU5|CP002114.3|mhci|seq45
antigen152|Q2FYU5|CP002114.3|mhci|seq45	antigen152|Q2FYU5|BX571857.1|mhci|seq45
antigen152|Q2FYU5|CP002114.3|mhci|seq77	antigen152|Q2FYU5|CP002114.3|mhci|seq77
antigen152|Q2FYU5|CP002114.3|mhci|seq77	antigen152|Q2FYU5|BX571857.1|mhci|seq77
antigen152|Q2FYU5|CP002114.3|mhci|seq109	antigen152|Q2FYU5|CP002114.3|mhci|seq109
antigen152|Q2FYU5|CP002114.3|mhci|seq109	antigen152|Q2FYU5|BX571857.1|mhci|seq109
antigen152|Q2FYU5|CP002114.3|mhci|seq141	antigen152|Q2FYU5|CP002114.3|mhci|seq141
antigen152|Q2FYU5|CP002114.3|mhci|seq173	antigen152|Q2FYU5|CP002114.3|mhci|seq173
antigen152|Q2FYU5|CP002114.3|mhci|seq173	antigen152|Q2FYU5|BX571857.1|mhci|seq173
antigen152|Q2FYU5|CP002114.3|mhci|seq173	antigen152|Q2FYU5|CP002114.3|mhci|seq174
antigen152|Q2FYU5|CP002114.3|mhci|seq173	antigen152|Q2FYU5|BX571857.1|mhci|seq174
antigen152|Q2FYU5|CP002114.3|mhci|seq205	antigen152|Q2FYU5|CP002114.3|mhci|seq205
antigen152|Q2FYU5|CP002114.3|mhci|seq205	antigen152|Q2FYU5|BX571857.1|mhci|seq205
antigen152|Q2FYU5|CP002114.3|mhci|seq237	antigen152|Q2FYU5|CP002114.3|mhci|seq237
antigen152|Q2FYU5|CP002114.3|mhci|seq237	antigen152|Q2FYU5|BX571857.1|mhci|seq237
antigen152|Q2FYU5|CP002114.3|mhci|seq237	antigen152|Q2FYU5|CP002114.3|mhci|seq238
antigen152|Q2FYU5|CP002114.3|mhci|seq237	antigen152|Q2FYU5|BX571857.1|mhci|seq238
antigen152|Q2FYU5|CP002114.3|mhci|seq269	antigen152|Q2FYU5|CP002114.3|mhci|seq269
antigen152|Q2FYU5|CP002114.3|mhci|seq269	antigen152|Q2FYU5|BX571857.1|mhci|seq269
antigen152|Q2FYU5|CP002114.3|mhci|seq269	antigen152|Q2FYU5|CP002114.3|mhci|seq270
antigen152|Q2FYU5|CP002114.3|mhci|seq269	antigen152|Q2FYU5|BX571857.1|mhci|seq270
antigen152|Q2FYU5|CP002114.3|mhci|seq301	antigen152|Q2FYU5|CP002114.3|mhci|seq301
antigen152|Q2FYU5|CP002114.3|mhci|seq301	antigen152|Q2FYU5|BX571857.1|mhci|seq301
antigen152|Q2FYU5|CP002114.3|mhci|seq301	antigen152|Q2FYU5|CP002114.3|mhci|seq302
antigen152|Q2FYU5|CP002114.3|mhci|seq301	antigen152|Q2FYU5|BX571857.1|mhci|seq302
antigen152|Q2FYU5|BX571857.1|mhci|seq240	antigen152|Q2FYU5|BX571857.1|mhci|seq240
antigen152|Q2FYU5|CP002114.3|mhci|seq14	antigen152|Q2FYU5|CP002114.3|mhci|seq14
antigen152|Q2FYU5|CP002114.3|mhci|seq14	antigen152|Q2FYU5|BX571857.1|mhci|seq14
antigen152|Q2FYU5|CP002114.3|mhci|seq46	antigen152|Q2FYU5|CP002114.3|mhci|seq46
antigen152|Q2FYU5|CP002114.3|mhci|seq46	antigen152|Q2FYU5|BX571857.1|mhci|seq46
antigen152|Q2FYU5|CP002114.3|mhci|seq78	antigen152|Q2FYU5|CP002114.3|mhci|seq78
antigen152|Q2FYU5|CP002114.3|mhci|seq78	antigen152|Q2FYU5|BX571857.1|mhci|seq78
antigen152|Q2FYU5|CP002114.3|mhci|seq110	antigen152|Q2FYU5|CP002114.3|mhci|seq110
antigen152|Q2FYU5|CP002114.3|mhci|seq110	antigen152|Q2FYU5|BX571857.1|mhci|seq110
antigen152|Q2FYU5|CP002114.3|mhci|seq142	antigen152|Q2FYU5|CP002114.3|mhci|seq142
antigen152|Q2FYU5|CP002114.3|mhci|seq142	antigen152|Q2FYU5|BX571857.1|mhci|seq142
antigen152|Q2FYU5|CP002114.3|mhci|seq206	antigen152|Q2FYU5|CP002114.3|mhci|seq206
antigen152|Q2FYU5|CP002114.3|mhci|seq206	antigen152|Q2FYU5|BX571857.1|mhci|seq206
antigen152|Q2FYU5|CP002114.3|mhci|seq206	antigen152|Q2FYU5|CP002114.3|mhci|seq207
antigen152|Q2FYU5|CP002114.3|mhci|seq206	antigen152|Q2FYU5|BX571857.1|mhci|seq207
antigen152|Q2FYU5|CP002114.3|mhci|seq15	antigen152|Q2FYU5|CP002114.3|mhci|seq15
antigen152|Q2FYU5|CP002114.3|mhci|seq15	antigen152|Q2FYU5|BX571857.1|mhci|seq15
antigen152|Q2FYU5|CP002114.3|mhci|seq15	antigen152|Q2FYU5|CP002114.3|mhci|seq16
antigen152|Q2FYU5|CP002114.3|mhci|seq15	antigen152|Q2FYU5|BX571857.1|mhci|seq16
antigen152|Q2FYU5|CP002114.3|mhci|seq47	antigen152|Q2FYU5|CP002114.3|mhci|seq47
antigen152|Q2FYU5|CP002114.3|mhci|seq47	antigen152|Q2FYU5|BX571857.1|mhci|seq47
antigen152|Q2FYU5|CP002114.3|mhci|seq47	antigen152|Q2FYU5|CP002114.3|mhci|seq48
antigen152|Q2FYU5|CP002114.3|mhci|seq47	antigen152|Q2FYU5|BX571857.1|mhci|seq48
antigen152|Q2FYU5|CP002114.3|mhci|seq79	antigen152|Q2FYU5|CP002114.3|mhci|seq79
antigen152|Q2FYU5|CP002114.3|mhci|seq79	antigen152|Q2FYU5|BX571857.1|mhci|seq79
antigen152|Q2FYU5|CP002114.3|mhci|seq79	antigen152|Q2FYU5|CP002114.3|mhci|seq80
antigen152|Q2FYU5|CP002114.3|mhci|seq79	antigen152|Q2FYU5|BX571857.1|mhci|seq80
antigen152|Q2FYU5|CP002114.3|mhci|seq111	antigen152|Q2FYU5|CP002114.3|mhci|seq111
antigen152|Q2FYU5|CP002114.3|mhci|seq111	antigen152|Q2FYU5|BX571857.1|mhci|seq111
antigen152|Q2FYU5|CP002114.3|mhci|seq143	antigen152|Q2FYU5|CP002114.3|mhci|seq143
antigen152|Q2FYU5|CP002114.3|mhci|seq143	antigen152|Q2FYU5|BX571857.1|mhci|seq143
antigen152|Q2FYU5|CP002114.3|mhci|seq175	antigen152|Q2FYU5|CP002114.3|mhci|seq175
antigen152|Q2FYU5|CP002114.3|mhci|seq175	antigen152|Q2FYU5|BX571857.1|mhci|seq175
antigen152|Q2FYU5|CP002114.3|mhci|seq239	antigen152|Q2FYU5|CP002114.3|mhci|seq239
antigen152|Q2FYU5|CP002114.3|mhci|seq271	antigen152|Q2FYU5|CP002114.3|mhci|seq271
antigen152|Q2FYU5|CP002114.3|mhci|seq271	antigen152|Q2FYU5|BX571857.1|mhci|seq271
antigen152|Q2FYU5|CP002114.3|mhci|seq303	antigen152|Q2FYU5|CP002114.3|mhci|seq303
antigen152|Q2FYU5|CP002114.3|mhci|seq303	antigen152|Q2FYU5|BX571857.1|mhci|seq303
antigen152|Q2FYU5|CP002114.3|mhci|seq112	antigen152|Q2FYU5|CP002114.3|mhci|seq112
antigen152|Q2FYU5|CP002114.3|mhci|seq112	antigen152|Q2FYU5|BX571857.1|mhci|seq112
antigen152|Q2FYU5|CP002114.3|mhci|seq144	antigen152|Q2FYU5|CP002114.3|mhci|seq144
antigen152|Q2FYU5|CP002114.3|mhci|seq144	antigen152|Q2FYU5|BX571857.1|mhci|seq144
antigen152|Q2FYU5|CP002114.3|mhci|seq176	antigen152|Q2FYU5|CP002114.3|mhci|seq176
antigen152|Q2FYU5|CP002114.3|mhci|seq176	antigen152|Q2FYU5|BX571857.1|mhci|seq176
antigen152|Q2FYU5|CP002114.3|mhci|seq208	antigen152|Q2FYU5|CP002114.3|mhci|seq208
antigen152|Q2FYU5|CP002114.3|mhci|seq208	antigen152|Q2FYU5|BX571857.1|mhci|seq208
antigen152|Q2FYU5|CP002114.3|mhci|seq240	antigen152|Q2FYU5|CP002114.3|mhci|seq240
antigen152|Q2FYU5|CP002114.3|mhci|seq272	antigen152|Q2FYU5|CP002114.3|mhci|seq272
antigen152|Q2FYU5|CP002114.3|mhci|seq272	antigen152|Q2FYU5|BX571857.1|mhci|seq272
antigen152|Q2FYU5|CP002114.3|mhci|seq304	antigen152|Q2FYU5|CP002114.3|mhci|seq304
antigen152|Q2FYU5|CP002114.3|mhci|seq304	antigen152|Q2FYU5|BX571857.1|mhci|seq304
antigen152|Q2FYU5|BX571857.1|mhci|seq179	antigen152|Q2FYU5|BX571857.1|mhci|seq179
antigen152|Q2FYU5|BX571857.1|mhci|seq275	antigen152|Q2FYU5|BX571857.1|mhci|seq275
antigen152|Q2FYU5|CP002114.3|mhci|seq17	antigen152|Q2FYU5|CP002114.3|mhci|seq17
antigen152|Q2FYU5|CP002114.3|mhci|seq17	antigen152|Q2FYU5|BX571857.1|mhci|seq17
antigen152|Q2FYU5|CP002114.3|mhci|seq49	antigen152|Q2FYU5|CP002114.3|mhci|seq49
antigen152|Q2FYU5|CP002114.3|mhci|seq49	antigen152|Q2FYU5|BX571857.1|mhci|seq49
antigen152|Q2FYU5|CP002114.3|mhci|seq81	antigen152|Q2FYU5|CP002114.3|mhci|seq81
antigen152|Q2FYU5|CP002114.3|mhci|seq81	antigen152|Q2FYU5|BX571857.1|mhci|seq81
antigen152|Q2FYU5|CP002114.3|mhci|seq113	antigen152|Q2FYU5|CP002114.3|mhci|seq113
antigen152|Q2FYU5|CP002114.3|mhci|seq113	antigen152|Q2FYU5|BX571857.1|mhci|seq113
antigen152|Q2FYU5|CP002114.3|mhci|seq113	antigen152|Q2FYU5|CP002114.3|mhci|seq114
antigen152|Q2FYU5|CP002114.3|mhci|seq113	antigen152|Q2FYU5|BX571857.1|mhci|seq114
antigen152|Q2FYU5|CP002114.3|mhci|seq145	antigen152|Q2FYU5|CP002114.3|mhci|seq145
antigen152|Q2FYU5|CP002114.3|mhci|seq145	antigen152|Q2FYU5|BX571857.1|mhci|seq145
antigen152|Q2FYU5|CP002114.3|mhci|seq145	antigen152|Q2FYU5|CP002114.3|mhci|seq146
antigen152|Q2FYU5|CP002114.3|mhci|seq145	antigen152|Q2FYU5|BX571857.1|mhci|seq146
antigen152|Q2FYU5|CP002114.3|mhci|seq177	antigen152|Q2FYU5|CP002114.3|mhci|seq177
antigen152|Q2FYU5|CP002114.3|mhci|seq177	antigen152|Q2FYU5|BX571857.1|mhci|seq177
antigen152|Q2FYU5|CP002114.3|mhci|seq177	antigen152|Q2FYU5|CP002114.3|mhci|seq178
antigen152|Q2FYU5|CP002114.3|mhci|seq177	antigen152|Q2FYU5|BX571857.1|mhci|seq178
antigen152|Q2FYU5|CP002114.3|mhci|seq209	antigen152|Q2FYU5|CP002114.3|mhci|seq209
antigen152|Q2FYU5|CP002114.3|mhci|seq209	antigen152|Q2FYU5|BX571857.1|mhci|seq209
antigen152|Q2FYU5|CP002114.3|mhci|seq241	antigen152|Q2FYU5|CP002114.3|mhci|seq241
antigen152|Q2FYU5|CP002114.3|mhci|seq241	antigen152|Q2FYU5|BX571857.1|mhci|seq241
antigen152|Q2FYU5|CP002114.3|mhci|seq241	antigen152|Q2FYU5|CP002114.3|mhci|seq242
antigen152|Q2FYU5|CP002114.3|mhci|seq241	antigen152|Q2FYU5|BX571857.1|mhci|seq242
antigen152|Q2FYU5|CP002114.3|mhci|seq273	antigen152|Q2FYU5|CP002114.3|mhci|seq273
antigen152|Q2FYU5|CP002114.3|mhci|seq273	antigen152|Q2FYU5|BX571857.1|mhci|seq273
antigen152|Q2FYU5|CP002114.3|mhci|seq305	antigen152|Q2FYU5|CP002114.3|mhci|seq305
antigen152|Q2FYU5|CP002114.3|mhci|seq305	antigen152|Q2FYU5|BX571857.1|mhci|seq305
antigen152|Q2FYU5|CP002114.3|mhci|seq305	antigen152|Q2FYU5|CP002114.3|mhci|seq306
antigen152|Q2FYU5|CP002114.3|mhci|seq305	antigen152|Q2FYU5|BX571857.1|mhci|seq306
antigen152|Q2FYU5|BX571857.1|mhci|seq180	antigen152|Q2FYU5|BX571857.1|mhci|seq180
antigen152|Q2FYU5|BX571857.1|mhci|seq212	antigen152|Q2FYU5|BX571857.1|mhci|seq212
antigen152|Q2FYU5|BX571857.1|mhci|seq276	antigen152|Q2FYU5|BX571857.1|mhci|seq276
antigen152|Q2FYU5|CP002114.3|mhci|seq18	antigen152|Q2FYU5|CP002114.3|mhci|seq18
antigen152|Q2FYU5|CP002114.3|mhci|seq18	antigen152|Q2FYU5|BX571857.1|mhci|seq18
antigen152|Q2FYU5|CP002114.3|mhci|seq50	antigen152|Q2FYU5|CP002114.3|mhci|seq50
antigen152|Q2FYU5|CP002114.3|mhci|seq50	antigen152|Q2FYU5|BX571857.1|mhci|seq50
antigen152|Q2FYU5|CP002114.3|mhci|seq82	antigen152|Q2FYU5|CP002114.3|mhci|seq82
antigen152|Q2FYU5|CP002114.3|mhci|seq82	antigen152|Q2FYU5|BX571857.1|mhci|seq82
antigen152|Q2FYU5|CP002114.3|mhci|seq210	antigen152|Q2FYU5|CP002114.3|mhci|seq210
antigen152|Q2FYU5|CP002114.3|mhci|seq210	antigen152|Q2FYU5|BX571857.1|mhci|seq210
antigen152|Q2FYU5|CP002114.3|mhci|seq210	antigen152|Q2FYU5|CP002114.3|mhci|seq211
antigen152|Q2FYU5|CP002114.3|mhci|seq210	antigen152|Q2FYU5|BX571857.1|mhci|seq211
antigen152|Q2FYU5|CP002114.3|mhci|seq274	antigen152|Q2FYU5|CP002114.3|mhci|seq274
antigen152|Q2FYU5|CP002114.3|mhci|seq274	antigen152|Q2FYU5|BX571857.1|mhci|seq274
antigen152|Q2FYU5|BX571857.1|mhci|seq85	antigen152|Q2FYU5|BX571857.1|mhci|seq85
antigen152|Q2FYU5|BX571857.1|mhci|seq213	antigen152|Q2FYU5|BX571857.1|mhci|seq213
antigen152|Q2FYU5|CP002114.3|mhci|seq19	antigen152|Q2FYU5|CP002114.3|mhci|seq19
antigen152|Q2FYU5|CP002114.3|mhci|seq19	antigen152|Q2FYU5|BX571857.1|mhci|seq19
antigen152|Q2FYU5|CP002114.3|mhci|seq51	antigen152|Q2FYU5|CP002114.3|mhci|seq51
antigen152|Q2FYU5|CP002114.3|mhci|seq51	antigen152|Q2FYU5|BX571857.1|mhci|seq51
antigen152|Q2FYU5|CP002114.3|mhci|seq51	antigen152|Q2FYU5|CP002114.3|mhci|seq52
antigen152|Q2FYU5|CP002114.3|mhci|seq51	antigen152|Q2FYU5|BX571857.1|mhci|seq52
antigen152|Q2FYU5|CP002114.3|mhci|seq83	antigen152|Q2FYU5|CP002114.3|mhci|seq83
antigen152|Q2FYU5|CP002114.3|mhci|seq83	antigen152|Q2FYU5|BX571857.1|mhci|seq83
antigen152|Q2FYU5|CP002114.3|mhci|seq83	antigen152|Q2FYU5|CP002114.3|mhci|seq84
antigen152|Q2FYU5|CP002114.3|mhci|seq83	antigen152|Q2FYU5|BX571857.1|mhci|seq84
antigen152|Q2FYU5|CP002114.3|mhci|seq115	antigen152|Q2FYU5|CP002114.3|mhci|seq115
antigen152|Q2FYU5|CP002114.3|mhci|seq115	antigen152|Q2FYU5|BX571857.1|mhci|seq115
antigen152|Q2FYU5|CP002114.3|mhci|seq147	antigen152|Q2FYU5|CP002114.3|mhci|seq147
antigen152|Q2FYU5|CP002114.3|mhci|seq147	antigen152|Q2FYU5|BX571857.1|mhci|seq147
antigen152|Q2FYU5|CP002114.3|mhci|seq179	antigen152|Q2FYU5|CP002114.3|mhci|seq179
antigen152|Q2FYU5|CP002114.3|mhci|seq243	antigen152|Q2FYU5|CP002114.3|mhci|seq243
antigen152|Q2FYU5|CP002114.3|mhci|seq243	antigen152|Q2FYU5|BX571857.1|mhci|seq243
antigen152|Q2FYU5|CP002114.3|mhci|seq275	antigen152|Q2FYU5|CP002114.3|mhci|seq275
antigen152|Q2FYU5|CP002114.3|mhci|seq307	antigen152|Q2FYU5|CP002114.3|mhci|seq307
antigen152|Q2FYU5|CP002114.3|mhci|seq307	antigen152|Q2FYU5|BX571857.1|mhci|seq307
antigen152|Q2FYU5|BX571857.1|mhci|seq86	antigen152|Q2FYU5|BX571857.1|mhci|seq86
antigen152|Q2FYU5|CP002114.3|mhci|seq20	antigen152|Q2FYU5|CP002114.3|mhci|seq20
antigen152|Q2FYU5|CP002114.3|mhci|seq20	antigen152|Q2FYU5|BX571857.1|mhci|seq20
antigen152|Q2FYU5|CP002114.3|mhci|seq116	antigen152|Q2FYU5|CP002114.3|mhci|seq116
antigen152|Q2FYU5|CP002114.3|mhci|seq116	antigen152|Q2FYU5|BX571857.1|mhci|seq116
antigen152|Q2FYU5|CP002114.3|mhci|seq148	antigen152|Q2FYU5|CP002114.3|mhci|seq148
antigen152|Q2FYU5|CP002114.3|mhci|seq148	antigen152|Q2FYU5|BX571857.1|mhci|seq148
antigen152|Q2FYU5|CP002114.3|mhci|seq180	antigen152|Q2FYU5|CP002114.3|mhci|seq180
antigen152|Q2FYU5|CP002114.3|mhci|seq212	antigen152|Q2FYU5|CP002114.3|mhci|seq212
antigen152|Q2FYU5|CP002114.3|mhci|seq244	antigen152|Q2FYU5|CP002114.3|mhci|seq244
antigen152|Q2FYU5|CP002114.3|mhci|seq244	antigen152|Q2FYU5|BX571857.1|mhci|seq244
antigen152|Q2FYU5|CP002114.3|mhci|seq276	antigen152|Q2FYU5|CP002114.3|mhci|seq276
antigen152|Q2FYU5|CP002114.3|mhci|seq308	antigen152|Q2FYU5|CP002114.3|mhci|seq308
antigen152|Q2FYU5|CP002114.3|mhci|seq308	antigen152|Q2FYU5|BX571857.1|mhci|seq308
antigen152|Q2FYU5|BX571857.1|mhci|seq119	antigen152|Q2FYU5|BX571857.1|mhci|seq119
antigen152|Q2FYU5|CP002114.3|mhci|seq21	antigen152|Q2FYU5|CP002114.3|mhci|seq21
antigen152|Q2FYU5|CP002114.3|mhci|seq21	antigen152|Q2FYU5|BX571857.1|mhci|seq21
antigen152|Q2FYU5|CP002114.3|mhci|seq53	antigen152|Q2FYU5|CP002114.3|mhci|seq53
antigen152|Q2FYU5|CP002114.3|mhci|seq53	antigen152|Q2FYU5|BX571857.1|mhci|seq53
antigen152|Q2FYU5|CP002114.3|mhci|seq85	antigen152|Q2FYU5|CP002114.3|mhci|seq85
antigen152|Q2FYU5|CP002114.3|mhci|seq117	antigen152|Q2FYU5|CP002114.3|mhci|seq117
antigen152|Q2FYU5|CP002114.3|mhci|seq117	antigen152|Q2FYU5|BX571857.1|mhci|seq117
antigen152|Q2FYU5|CP002114.3|mhci|seq117	antigen152|Q2FYU5|CP002114.3|mhci|seq118
antigen152|Q2FYU5|CP002114.3|mhci|seq117	antigen152|Q2FYU5|BX571857.1|mhci|seq118
antigen152|Q2FYU5|CP002114.3|mhci|seq149	antigen152|Q2FYU5|CP002114.3|mhci|seq149
antigen152|Q2FYU5|CP002114.3|mhci|seq149	antigen152|Q2FYU5|BX571857.1|mhci|seq149
antigen152|Q2FYU5|CP002114.3|mhci|seq149	antigen152|Q2FYU5|CP002114.3|mhci|seq150
antigen152|Q2FYU5|CP002114.3|mhci|seq149	antigen152|Q2FYU5|BX571857.1|mhci|seq150
antigen152|Q2FYU5|CP002114.3|mhci|seq181	antigen152|Q2FYU5|CP002114.3|mhci|seq181
antigen152|Q2FYU5|CP002114.3|mhci|seq181	antigen152|Q2FYU5|BX571857.1|mhci|seq181
antigen152|Q2FYU5|CP002114.3|mhci|seq181	antigen152|Q2FYU5|CP002114.3|mhci|seq182
antigen152|Q2FYU5|CP002114.3|mhci|seq181	antigen152|Q2FYU5|BX571857.1|mhci|seq182
antigen152|Q2FYU5|CP002114.3|mhci|seq213	antigen152|Q2FYU5|CP002114.3|mhci|seq213
antigen152|Q2FYU5|CP002114.3|mhci|seq245	antigen152|Q2FYU5|CP002114.3|mhci|seq245
antigen152|Q2FYU5|CP002114.3|mhci|seq245	antigen152|Q2FYU5|BX571857.1|mhci|seq245
antigen152|Q2FYU5|CP002114.3|mhci|seq245	antigen152|Q2FYU5|CP002114.3|mhci|seq246
antigen152|Q2FYU5|CP002114.3|mhci|seq245	antigen152|Q2FYU5|BX571857.1|mhci|seq246
antigen152|Q2FYU5|CP002114.3|mhci|seq277	antigen152|Q2FYU5|CP002114.3|mhci|seq277
antigen152|Q2FYU5|CP002114.3|mhci|seq277	antigen152|Q2FYU5|BX571857.1|mhci|seq277
antigen152|Q2FYU5|CP002114.3|mhci|seq277	antigen152|Q2FYU5|CP002114.3|mhci|seq278
antigen152|Q2FYU5|CP002114.3|mhci|seq277	antigen152|Q2FYU5|BX571857.1|mhci|seq278
antigen152|Q2FYU5|CP002114.3|mhci|seq309	antigen152|Q2FYU5|CP002114.3|mhci|seq309
antigen152|Q2FYU5|CP002114.3|mhci|seq309	antigen152|Q2FYU5|BX571857.1|mhci|seq309
antigen152|Q2FYU5|CP002114.3|mhci|seq309	antigen152|Q2FYU5|CP002114.3|mhci|seq310
antigen152|Q2FYU5|CP002114.3|mhci|seq309	antigen152|Q2FYU5|BX571857.1|mhci|seq310
antigen152|Q2FYU5|BX571857.1|mhci|seq120	antigen152|Q2FYU5|BX571857.1|mhci|seq120
antigen152|Q2FYU5|CP002114.3|mhci|seq22	antigen152|Q2FYU5|CP002114.3|mhci|seq22
antigen152|Q2FYU5|CP002114.3|mhci|seq22	antigen152|Q2FYU5|BX571857.1|mhci|seq22
antigen152|Q2FYU5|CP002114.3|mhci|seq54	antigen152|Q2FYU5|CP002114.3|mhci|seq54
antigen152|Q2FYU5|CP002114.3|mhci|seq54	antigen152|Q2FYU5|BX571857.1|mhci|seq54
antigen152|Q2FYU5|CP002114.3|mhci|seq86	antigen152|Q2FYU5|CP002114.3|mhci|seq86
antigen152|Q2FYU5|CP002114.3|mhci|seq214	antigen152|Q2FYU5|CP002114.3|mhci|seq214
antigen152|Q2FYU5|CP002114.3|mhci|seq214	antigen152|Q2FYU5|BX571857.1|mhci|seq214
antigen152|Q2FYU5|CP002114.3|mhci|seq214	antigen152|Q2FYU5|CP002114.3|mhci|seq215
antigen152|Q2FYU5|CP002114.3|mhci|seq214	antigen152|Q2FYU5|BX571857.1|mhci|seq215
antigen152|Q2FYU5|BX571857.1|mhci|seq121	antigen152|Q2FYU5|BX571857.1|mhci|seq121
antigen152|Q2FYU5|CP002114.3|mhci|seq23	antigen152|Q2FYU5|CP002114.3|mhci|seq23
antigen152|Q2FYU5|CP002114.3|mhci|seq23	antigen152|Q2FYU5|BX571857.1|mhci|seq23
antigen152|Q2FYU5|CP002114.3|mhci|seq23	antigen152|Q2FYU5|CP002114.3|mhci|seq24
antigen152|Q2FYU5|CP002114.3|mhci|seq23	antigen152|Q2FYU5|BX571857.1|mhci|seq24
antigen152|Q2FYU5|CP002114.3|mhci|seq55	antigen152|Q2FYU5|CP002114.3|mhci|seq55
antigen152|Q2FYU5|CP002114.3|mhci|seq55	antigen152|Q2FYU5|BX571857.1|mhci|seq55
antigen152|Q2FYU5|CP002114.3|mhci|seq55	antigen152|Q2FYU5|CP002114.3|mhci|seq56
antigen152|Q2FYU5|CP002114.3|mhci|seq55	antigen152|Q2FYU5|BX571857.1|mhci|seq56
antigen152|Q2FYU5|CP002114.3|mhci|seq87	antigen152|Q2FYU5|CP002114.3|mhci|seq87
antigen152|Q2FYU5|CP002114.3|mhci|seq87	antigen152|Q2FYU5|BX571857.1|mhci|seq87
antigen152|Q2FYU5|CP002114.3|mhci|seq87	antigen152|Q2FYU5|CP002114.3|mhci|seq88
antigen152|Q2FYU5|CP002114.3|mhci|seq87	antigen152|Q2FYU5|BX571857.1|mhci|seq88
antigen152|Q2FYU5|CP002114.3|mhci|seq119	antigen152|Q2FYU5|CP002114.3|mhci|seq119
antigen152|Q2FYU5|CP002114.3|mhci|seq151	antigen152|Q2FYU5|CP002114.3|mhci|seq151
antigen152|Q2FYU5|CP002114.3|mhci|seq151	antigen152|Q2FYU5|BX571857.1|mhci|seq151
antigen152|Q2FYU5|CP002114.3|mhci|seq183	antigen152|Q2FYU5|CP002114.3|mhci|seq183
antigen152|Q2FYU5|CP002114.3|mhci|seq183	antigen152|Q2FYU5|BX571857.1|mhci|seq183
antigen152|Q2FYU5|CP002114.3|mhci|seq247	antigen152|Q2FYU5|CP002114.3|mhci|seq247
antigen152|Q2FYU5|CP002114.3|mhci|seq247	antigen152|Q2FYU5|BX571857.1|mhci|seq247
antigen152|Q2FYU5|CP002114.3|mhci|seq279	antigen152|Q2FYU5|CP002114.3|mhci|seq279
antigen152|Q2FYU5|CP002114.3|mhci|seq279	antigen152|Q2FYU5|BX571857.1|mhci|seq279
antigen152|Q2FYU5|CP002114.3|mhci|seq311	antigen152|Q2FYU5|CP002114.3|mhci|seq311
antigen152|Q2FYU5|CP002114.3|mhci|seq311	antigen152|Q2FYU5|BX571857.1|mhci|seq311
antigen152|Q2FYU5|CP002114.3|mhci|seq120	antigen152|Q2FYU5|CP002114.3|mhci|seq120
antigen152|Q2FYU5|CP002114.3|mhci|seq152	antigen152|Q2FYU5|CP002114.3|mhci|seq152
antigen152|Q2FYU5|CP002114.3|mhci|seq152	antigen152|Q2FYU5|BX571857.1|mhci|seq152
antigen152|Q2FYU5|CP002114.3|mhci|seq184	antigen152|Q2FYU5|CP002114.3|mhci|seq184
antigen152|Q2FYU5|CP002114.3|mhci|seq184	antigen152|Q2FYU5|BX571857.1|mhci|seq184
antigen152|Q2FYU5|CP002114.3|mhci|seq216	antigen152|Q2FYU5|CP002114.3|mhci|seq216
antigen152|Q2FYU5|CP002114.3|mhci|seq216	antigen152|Q2FYU5|BX571857.1|mhci|seq216
antigen152|Q2FYU5|CP002114.3|mhci|seq248	antigen152|Q2FYU5|CP002114.3|mhci|seq248
antigen152|Q2FYU5|CP002114.3|mhci|seq248	antigen152|Q2FYU5|BX571857.1|mhci|seq248
antigen152|Q2FYU5|CP002114.3|mhci|seq280	antigen152|Q2FYU5|CP002114.3|mhci|seq280
antigen152|Q2FYU5|CP002114.3|mhci|seq280	antigen152|Q2FYU5|BX571857.1|mhci|seq280
antigen152|Q2FYU5|CP002114.3|mhci|seq312	antigen152|Q2FYU5|CP002114.3|mhci|seq312
antigen152|Q2FYU5|CP002114.3|mhci|seq312	antigen152|Q2FYU5|BX571857.1|mhci|seq312
antigen152|Q2FYU5|CP002114.3|mhci|seq25	antigen152|Q2FYU5|CP002114.3|mhci|seq25
antigen152|Q2FYU5|CP002114.3|mhci|seq25	antigen152|Q2FYU5|BX571857.1|mhci|seq25
antigen152|Q2FYU5|CP002114.3|mhci|seq57	antigen152|Q2FYU5|CP002114.3|mhci|seq57
antigen152|Q2FYU5|CP002114.3|mhci|seq57	antigen152|Q2FYU5|BX571857.1|mhci|seq57
antigen152|Q2FYU5|CP002114.3|mhci|seq89	antigen152|Q2FYU5|CP002114.3|mhci|seq89
antigen152|Q2FYU5|CP002114.3|mhci|seq89	antigen152|Q2FYU5|BX571857.1|mhci|seq89
antigen152|Q2FYU5|CP002114.3|mhci|seq121	antigen152|Q2FYU5|CP002114.3|mhci|seq121
antigen152|Q2FYU5|CP002114.3|mhci|seq153	antigen152|Q2FYU5|CP002114.3|mhci|seq153
antigen152|Q2FYU5|CP002114.3|mhci|seq153	antigen152|Q2FYU5|BX571857.1|mhci|seq153
antigen152|Q2FYU5|CP002114.3|mhci|seq185	antigen152|Q2FYU5|CP002114.3|mhci|seq185
antigen152|Q2FYU5|CP002114.3|mhci|seq185	antigen152|Q2FYU5|BX571857.1|mhci|seq185
