antigen137|Q5HHB7|CP002114.3|mhci|seq3981	antigen137|Q5HHB7|CP002114.3|mhci|seq3981
antigen137|Q5HHB7|CP002114.3|mhci|seq2717	antigen137|Q5HHB7|BA000018.3|mhci|seq2713
antigen137|Q5HHB7|CP002114.3|mhci|seq2749	antigen137|Q5HHB7|CP002114.3|mhci|seq2749
antigen137|Q5HHB7|CP002114.3|mhci|seq2749	antigen137|Q5HHB7|BA000018.3|mhci|seq2745
antigen137|Q5HHB7|CP002114.3|mhci|seq2781	antigen137|Q5HHB7|CP002114.3|mhci|seq2781
antigen137|Q5HHB7|CP002114.3|mhci|seq2781	antigen137|Q5HHB7|BA000018.3|mhci|seq2777
antigen137|Q5HHB7|CP002114.3|mhci|seq2813	antigen137|Q5HHB7|CP002114.3|mhci|seq2813
antigen137|Q5HHB7|CP002114.3|mhci|seq2813	antigen137|Q5HHB7|BA000018.3|mhci|seq2809
antigen137|Q5HHB7|CP002114.3|mhci|seq2845	antigen137|Q5HHB7|CP002114.3|mhci|seq2845
antigen137|Q5HHB7|CP002114.3|mhci|seq2845	antigen137|Q5HHB7|BA000018.3|mhci|seq2841
antigen137|Q5HHB7|CP002114.3|mhci|seq2877	antigen137|Q5HHB7|CP002114.3|mhci|seq2877
antigen137|Q5HHB7|CP002114.3|mhci|seq2877	antigen137|Q5HHB7|BA000018.3|mhci|seq2869
antigen137|Q5HHB7|CP002114.3|mhci|seq2909	antigen137|Q5HHB7|CP002114.3|mhci|seq2909
antigen137|Q5HHB7|CP002114.3|mhci|seq2909	antigen137|Q5HHB7|BA000018.3|mhci|seq2909
antigen137|Q5HHB7|CP002114.3|mhci|seq2941	antigen137|Q5HHB7|CP002114.3|mhci|seq2941
antigen137|Q5HHB7|CP002114.3|mhci|seq2941	antigen137|Q5HHB7|BA000018.3|mhci|seq2941
antigen137|Q5HHB7|CP002114.3|mhci|seq2973	antigen137|Q5HHB7|CP002114.3|mhci|seq2973
antigen137|Q5HHB7|CP002114.3|mhci|seq3005	antigen137|Q5HHB7|CP002114.3|mhci|seq3005
antigen137|Q5HHB7|CP002114.3|mhci|seq3005	antigen137|Q5HHB7|BA000018.3|mhci|seq3009
antigen137|Q5HHB7|CP002114.3|mhci|seq3037	antigen137|Q5HHB7|CP002114.3|mhci|seq3037
antigen137|Q5HHB7|CP002114.3|mhci|seq3037	antigen137|Q5HHB7|BA000018.3|mhci|seq3041
antigen137|Q5HHB7|CP002114.3|mhci|seq3069	antigen137|Q5HHB7|CP002114.3|mhci|seq3069
antigen137|Q5HHB7|CP002114.3|mhci|seq3069	antigen137|Q5HHB7|BA000018.3|mhci|seq3069
antigen137|Q5HHB7|CP002114.3|mhci|seq3101	antigen137|Q5HHB7|CP002114.3|mhci|seq3101
antigen137|Q5HHB7|CP002114.3|mhci|seq3101	antigen137|Q5HHB7|BA000018.3|mhci|seq3097
antigen137|Q5HHB7|CP002114.3|mhci|seq3133	antigen137|Q5HHB7|CP002114.3|mhci|seq3133
antigen137|Q5HHB7|CP002114.3|mhci|seq3133	antigen137|Q5HHB7|BA000018.3|mhci|seq3129
antigen137|Q5HHB7|CP002114.3|mhci|seq3165	antigen137|Q5HHB7|CP002114.3|mhci|seq3165
antigen137|Q5HHB7|CP002114.3|mhci|seq3165	antigen137|Q5HHB7|BA000018.3|mhci|seq3165
antigen137|Q5HHB7|CP002114.3|mhci|seq3197	antigen137|Q5HHB7|CP002114.3|mhci|seq3197
antigen137|Q5HHB7|CP002114.3|mhci|seq3197	antigen137|Q5HHB7|BA000018.3|mhci|seq3197
antigen137|Q5HHB7|CP002114.3|mhci|seq3229	antigen137|Q5HHB7|CP002114.3|mhci|seq3229
antigen137|Q5HHB7|CP002114.3|mhci|seq3229	antigen137|Q5HHB7|BA000018.3|mhci|seq3229
antigen137|Q5HHB7|CP002114.3|mhci|seq3261	antigen137|Q5HHB7|CP002114.3|mhci|seq3261
antigen137|Q5HHB7|CP002114.3|mhci|seq3261	antigen137|Q5HHB7|BA000018.3|mhci|seq3261
antigen137|Q5HHB7|CP002114.3|mhci|seq3293	antigen137|Q5HHB7|CP002114.3|mhci|seq3293
antigen137|Q5HHB7|CP002114.3|mhci|seq3293	antigen137|Q5HHB7|BA000018.3|mhci|seq3293
antigen137|Q5HHB7|CP002114.3|mhci|seq3325	antigen137|Q5HHB7|CP002114.3|mhci|seq3325
antigen137|Q5HHB7|CP002114.3|mhci|seq3325	antigen137|Q5HHB7|BA000018.3|mhci|seq3321
antigen137|Q5HHB7|CP002114.3|mhci|seq3357	antigen137|Q5HHB7|CP002114.3|mhci|seq3357
antigen137|Q5HHB7|CP002114.3|mhci|seq3357	antigen137|Q5HHB7|BA000018.3|mhci|seq3353
antigen137|Q5HHB7|CP002114.3|mhci|seq3389	antigen137|Q5HHB7|CP002114.3|mhci|seq3389
antigen137|Q5HHB7|CP002114.3|mhci|seq3421	antigen137|Q5HHB7|CP002114.3|mhci|seq3421
antigen137|Q5HHB7|CP002114.3|mhci|seq3421	antigen137|Q5HHB7|BA000018.3|mhci|seq3421
antigen137|Q5HHB7|CP002114.3|mhci|seq3453	antigen137|Q5HHB7|CP002114.3|mhci|seq3453
antigen137|Q5HHB7|CP002114.3|mhci|seq3453	antigen137|Q5HHB7|BA000018.3|mhci|seq3453
antigen137|Q5HHB7|CP002114.3|mhci|seq3485	antigen137|Q5HHB7|CP002114.3|mhci|seq3485
antigen137|Q5HHB7|CP002114.3|mhci|seq3485	antigen137|Q5HHB7|BA000018.3|mhci|seq3489
antigen137|Q5HHB7|CP002114.3|mhci|seq3517	antigen137|Q5HHB7|CP002114.3|mhci|seq3517
antigen137|Q5HHB7|CP002114.3|mhci|seq3517	antigen137|Q5HHB7|BA000018.3|mhci|seq3521
antigen137|Q5HHB7|CP002114.3|mhci|seq3549	antigen137|Q5HHB7|CP002114.3|mhci|seq3549
antigen137|Q5HHB7|CP002114.3|mhci|seq3581	antigen137|Q5HHB7|CP002114.3|mhci|seq3581
antigen137|Q5HHB7|CP002114.3|mhci|seq3581	antigen137|Q5HHB7|BA000018.3|mhci|seq3581
antigen137|Q5HHB7|CP002114.3|mhci|seq3613	antigen137|Q5HHB7|CP002114.3|mhci|seq3613
antigen137|Q5HHB7|CP002114.3|mhci|seq3645	antigen137|Q5HHB7|CP002114.3|mhci|seq3645
antigen137|Q5HHB7|CP002114.3|mhci|seq3645	antigen137|Q5HHB7|BA000018.3|mhci|seq3645
antigen137|Q5HHB7|CP002114.3|mhci|seq3677	antigen137|Q5HHB7|CP002114.3|mhci|seq3677
antigen137|Q5HHB7|CP002114.3|mhci|seq3677	antigen137|Q5HHB7|BA000018.3|mhci|seq3677
antigen137|Q5HHB7|CP002114.3|mhci|seq3709	antigen137|Q5HHB7|CP002114.3|mhci|seq3709
antigen137|Q5HHB7|CP002114.3|mhci|seq3709	antigen137|Q5HHB7|BA000018.3|mhci|seq3709
antigen137|Q5HHB7|CP002114.3|mhci|seq3741	antigen137|Q5HHB7|CP002114.3|mhci|seq3741
antigen137|Q5HHB7|CP002114.3|mhci|seq3741	antigen137|Q5HHB7|BA000018.3|mhci|seq3741
antigen137|Q5HHB7|CP002114.3|mhci|seq3773	antigen137|Q5HHB7|CP002114.3|mhci|seq3773
antigen137|Q5HHB7|CP002114.3|mhci|seq3773	antigen137|Q5HHB7|BA000018.3|mhci|seq3769
antigen137|Q5HHB7|CP002114.3|mhci|seq3805	antigen137|Q5HHB7|CP002114.3|mhci|seq3805
antigen137|Q5HHB7|CP002114.3|mhci|seq3805	antigen137|Q5HHB7|BA000018.3|mhci|seq3805
antigen137|Q5HHB7|CP002114.3|mhci|seq3837	antigen137|Q5HHB7|CP002114.3|mhci|seq3837
antigen137|Q5HHB7|CP002114.3|mhci|seq3837	antigen137|Q5HHB7|BA000018.3|mhci|seq3833
antigen137|Q5HHB7|CP002114.3|mhci|seq3869	antigen137|Q5HHB7|CP002114.3|mhci|seq3869
antigen137|Q5HHB7|CP002114.3|mhci|seq3869	antigen137|Q5HHB7|BA000018.3|mhci|seq3861
antigen137|Q5HHB7|CP002114.3|mhci|seq3901	antigen137|Q5HHB7|CP002114.3|mhci|seq3901
antigen137|Q5HHB7|CP002114.3|mhci|seq3901	antigen137|Q5HHB7|BA000018.3|mhci|seq3893
antigen137|Q5HHB7|CP002114.3|mhci|seq3933	antigen137|Q5HHB7|CP002114.3|mhci|seq3933
antigen137|Q5HHB7|CP002114.3|mhci|seq3933	antigen137|Q5HHB7|BA000018.3|mhci|seq3925
antigen137|Q5HHB7|CP002114.3|mhci|seq3965	antigen137|Q5HHB7|CP002114.3|mhci|seq3965
antigen137|Q5HHB7|CP002114.3|mhci|seq3997	antigen137|Q5HHB7|CP002114.3|mhci|seq3997
antigen137|Q5HHB7|CP002114.3|mhci|seq3997	antigen137|Q5HHB7|BA000018.3|mhci|seq3989
antigen137|Q5HHB7|CP002114.3|mhci|seq4029	antigen137|Q5HHB7|CP002114.3|mhci|seq4029
antigen137|Q5HHB7|CP002114.3|mhci|seq4029	antigen137|Q5HHB7|BA000018.3|mhci|seq4021
antigen137|Q5HHB7|CP002114.3|mhci|seq4061	antigen137|Q5HHB7|CP002114.3|mhci|seq4061
antigen137|Q5HHB7|CP002114.3|mhci|seq4061	antigen137|Q5HHB7|BA000018.3|mhci|seq4053
antigen137|Q5HHB7|CP002114.3|mhci|seq4093	antigen137|Q5HHB7|CP002114.3|mhci|seq4093
antigen137|Q5HHB7|CP002114.3|mhci|seq4093	antigen137|Q5HHB7|BA000018.3|mhci|seq4085
antigen137|Q5HHB7|CP002114.3|mhci|seq4125	antigen137|Q5HHB7|CP002114.3|mhci|seq4125
antigen137|Q5HHB7|CP002114.3|mhci|seq4125	antigen137|Q5HHB7|BA000018.3|mhci|seq4121
antigen137|Q5HHB7|CP002114.3|mhci|seq4157	antigen137|Q5HHB7|CP002114.3|mhci|seq4157
antigen137|Q5HHB7|CP002114.3|mhci|seq4157	antigen137|Q5HHB7|BA000018.3|mhci|seq4149
antigen137|Q5HHB7|CP002114.3|mhci|seq4189	antigen137|Q5HHB7|CP002114.3|mhci|seq4189
antigen137|Q5HHB7|CP002114.3|mhci|seq4189	antigen137|Q5HHB7|BA000018.3|mhci|seq4181
antigen137|Q5HHB7|CP002114.3|mhci|seq4221	antigen137|Q5HHB7|CP002114.3|mhci|seq4221
antigen137|Q5HHB7|CP002114.3|mhci|seq4253	antigen137|Q5HHB7|CP002114.3|mhci|seq4253
antigen137|Q5HHB7|CP002114.3|mhci|seq4285	antigen137|Q5HHB7|CP002114.3|mhci|seq4285
antigen137|Q5HHB7|CP002114.3|mhci|seq4285	antigen137|Q5HHB7|BA000018.3|mhci|seq4281
antigen137|Q5HHB7|CP002114.3|mhci|seq4317	antigen137|Q5HHB7|CP002114.3|mhci|seq4317
antigen137|Q5HHB7|CP002114.3|mhci|seq4317	antigen137|Q5HHB7|BA000018.3|mhci|seq4317
antigen137|Q5HHB7|CP002114.3|mhci|seq4349	antigen137|Q5HHB7|CP002114.3|mhci|seq4349
antigen137|Q5HHB7|CP002114.3|mhci|seq4349	antigen137|Q5HHB7|BA000018.3|mhci|seq4349
antigen137|Q5HHB7|CP002114.3|mhci|seq4381	antigen137|Q5HHB7|CP002114.3|mhci|seq4381
antigen137|Q5HHB7|CP002114.3|mhci|seq4381	antigen137|Q5HHB7|BA000018.3|mhci|seq4381
antigen137|Q5HHB7|CP002114.3|mhci|seq4413	antigen137|Q5HHB7|CP002114.3|mhci|seq4413
antigen137|Q5HHB7|CP002114.3|mhci|seq4445	antigen137|Q5HHB7|CP002114.3|mhci|seq4445
antigen137|Q5HHB7|CP002114.3|mhci|seq4477	antigen137|Q5HHB7|CP002114.3|mhci|seq4477
antigen137|Q5HHB7|CP002114.3|mhci|seq4509	antigen137|Q5HHB7|CP002114.3|mhci|seq4509
antigen137|Q5HHB7|CP002114.3|mhci|seq4509	antigen137|Q5HHB7|BA000018.3|mhci|seq4505
antigen137|Q5HHB7|CP002114.3|mhci|seq4541	antigen137|Q5HHB7|CP002114.3|mhci|seq4541
antigen137|Q5HHB7|CP002114.3|mhci|seq4541	antigen137|Q5HHB7|BA000018.3|mhci|seq4537
antigen137|Q5HHB7|CP002114.3|mhci|seq4573	antigen137|Q5HHB7|CP002114.3|mhci|seq4573
antigen137|Q5HHB7|CP002114.3|mhci|seq4573	antigen137|Q5HHB7|BA000018.3|mhci|seq4569
antigen137|Q5HHB7|CP002114.3|mhci|seq4605	antigen137|Q5HHB7|CP002114.3|mhci|seq4605
antigen137|Q5HHB7|CP002114.3|mhci|seq4637	antigen137|Q5HHB7|CP002114.3|mhci|seq4637
antigen137|Q5HHB7|CP002114.3|mhci|seq4637	antigen137|Q5HHB7|BA000018.3|mhci|seq4633
antigen137|Q5HHB7|CP002114.3|mhci|seq4669	antigen137|Q5HHB7|CP002114.3|mhci|seq4669
antigen137|Q5HHB7|CP002114.3|mhci|seq4669	antigen137|Q5HHB7|BA000018.3|mhci|seq4665
antigen137|Q5HHB7|CP002114.3|mhci|seq4669	antigen137|Q5HHB7|CP002114.3|mhci|seq4670
antigen137|Q5HHB7|CP002114.3|mhci|seq4669	antigen137|Q5HHB7|BA000018.3|mhci|seq4666
antigen137|Q5HHB7|CP002114.3|mhci|seq4701	antigen137|Q5HHB7|CP002114.3|mhci|seq4701
antigen137|Q5HHB7|CP002114.3|mhci|seq4701	antigen137|Q5HHB7|BA000018.3|mhci|seq4701
antigen137|Q5HHB7|CP002114.3|mhci|seq4701	antigen137|Q5HHB7|CP002114.3|mhci|seq4702
antigen137|Q5HHB7|CP002114.3|mhci|seq4701	antigen137|Q5HHB7|BA000018.3|mhci|seq4702
antigen137|Q5HHB7|CP002114.3|mhci|seq4733	antigen137|Q5HHB7|CP002114.3|mhci|seq4733
antigen137|Q5HHB7|CP002114.3|mhci|seq4733	antigen137|Q5HHB7|BA000018.3|mhci|seq4733
antigen137|Q5HHB7|CP002114.3|mhci|seq4765	antigen137|Q5HHB7|CP002114.3|mhci|seq4765
antigen137|Q5HHB7|CP002114.3|mhci|seq4765	antigen137|Q5HHB7|BA000018.3|mhci|seq4765
antigen137|Q5HHB7|CP002114.3|mhci|seq4765	antigen137|Q5HHB7|CP002114.3|mhci|seq4766
antigen137|Q5HHB7|CP002114.3|mhci|seq4765	antigen137|Q5HHB7|BA000018.3|mhci|seq4766
antigen137|Q5HHB7|CP002114.3|mhci|seq4797	antigen137|Q5HHB7|CP002114.3|mhci|seq4797
antigen137|Q5HHB7|CP002114.3|mhci|seq4797	antigen137|Q5HHB7|BA000018.3|mhci|seq4797
antigen137|Q5HHB7|CP002114.3|mhci|seq4829	antigen137|Q5HHB7|CP002114.3|mhci|seq4829
antigen137|Q5HHB7|CP002114.3|mhci|seq4829	antigen137|Q5HHB7|BA000018.3|mhci|seq4829
antigen137|Q5HHB7|CP002114.3|mhci|seq4829	antigen137|Q5HHB7|CP002114.3|mhci|seq4830
antigen137|Q5HHB7|CP002114.3|mhci|seq4829	antigen137|Q5HHB7|BA000018.3|mhci|seq4830
antigen137|Q5HHB7|BA000018.3|mhci|seq32	antigen137|Q5HHB7|BA000018.3|mhci|seq32
antigen137|Q5HHB7|BA000018.3|mhci|seq32	antigen137|Q5HHB7|CP002114.3|mhci|seq28
antigen137|Q5HHB7|BA000018.3|mhci|seq64	antigen137|Q5HHB7|BA000018.3|mhci|seq64
antigen137|Q5HHB7|BA000018.3|mhci|seq64	antigen137|Q5HHB7|CP002114.3|mhci|seq60
antigen137|Q5HHB7|BA000018.3|mhci|seq96	antigen137|Q5HHB7|BA000018.3|mhci|seq96
antigen137|Q5HHB7|BA000018.3|mhci|seq96	antigen137|Q5HHB7|CP002114.3|mhci|seq96
antigen137|Q5HHB7|BA000018.3|mhci|seq128	antigen137|Q5HHB7|BA000018.3|mhci|seq128
antigen137|Q5HHB7|BA000018.3|mhci|seq128	antigen137|Q5HHB7|CP002114.3|mhci|seq128
antigen137|Q5HHB7|BA000018.3|mhci|seq160	antigen137|Q5HHB7|BA000018.3|mhci|seq160
antigen137|Q5HHB7|BA000018.3|mhci|seq160	antigen137|Q5HHB7|CP002114.3|mhci|seq160
antigen137|Q5HHB7|BA000018.3|mhci|seq192	antigen137|Q5HHB7|BA000018.3|mhci|seq192
antigen137|Q5HHB7|BA000018.3|mhci|seq192	antigen137|Q5HHB7|CP002114.3|mhci|seq196
antigen137|Q5HHB7|BA000018.3|mhci|seq224	antigen137|Q5HHB7|BA000018.3|mhci|seq224
antigen137|Q5HHB7|BA000018.3|mhci|seq224	antigen137|Q5HHB7|CP002114.3|mhci|seq220
antigen137|Q5HHB7|BA000018.3|mhci|seq256	antigen137|Q5HHB7|BA000018.3|mhci|seq256
antigen137|Q5HHB7|BA000018.3|mhci|seq256	antigen137|Q5HHB7|CP002114.3|mhci|seq248
antigen137|Q5HHB7|BA000018.3|mhci|seq288	antigen137|Q5HHB7|BA000018.3|mhci|seq288
antigen137|Q5HHB7|BA000018.3|mhci|seq288	antigen137|Q5HHB7|CP002114.3|mhci|seq276
antigen137|Q5HHB7|BA000018.3|mhci|seq320	antigen137|Q5HHB7|BA000018.3|mhci|seq320
antigen137|Q5HHB7|BA000018.3|mhci|seq320	antigen137|Q5HHB7|CP002114.3|mhci|seq308
antigen137|Q5HHB7|BA000018.3|mhci|seq352	antigen137|Q5HHB7|BA000018.3|mhci|seq352
antigen137|Q5HHB7|BA000018.3|mhci|seq352	antigen137|Q5HHB7|CP002114.3|mhci|seq336
antigen137|Q5HHB7|BA000018.3|mhci|seq480	antigen137|Q5HHB7|BA000018.3|mhci|seq480
antigen137|Q5HHB7|BA000018.3|mhci|seq480	antigen137|Q5HHB7|CP002114.3|mhci|seq468
antigen137|Q5HHB7|BA000018.3|mhci|seq640	antigen137|Q5HHB7|BA000018.3|mhci|seq640
antigen137|Q5HHB7|BA000018.3|mhci|seq640	antigen137|Q5HHB7|CP002114.3|mhci|seq628
antigen137|Q5HHB7|BA000018.3|mhci|seq704	antigen137|Q5HHB7|BA000018.3|mhci|seq704
antigen137|Q5HHB7|BA000018.3|mhci|seq736	antigen137|Q5HHB7|BA000018.3|mhci|seq736
antigen137|Q5HHB7|BA000018.3|mhci|seq736	antigen137|Q5HHB7|CP002114.3|mhci|seq716
antigen137|Q5HHB7|BA000018.3|mhci|seq768	antigen137|Q5HHB7|BA000018.3|mhci|seq768
antigen137|Q5HHB7|BA000018.3|mhci|seq768	antigen137|Q5HHB7|CP002114.3|mhci|seq744
antigen137|Q5HHB7|BA000018.3|mhci|seq800	antigen137|Q5HHB7|BA000018.3|mhci|seq800
antigen137|Q5HHB7|BA000018.3|mhci|seq800	antigen137|Q5HHB7|CP002114.3|mhci|seq784
antigen137|Q5HHB7|BA000018.3|mhci|seq832	antigen137|Q5HHB7|BA000018.3|mhci|seq832
antigen137|Q5HHB7|BA000018.3|mhci|seq832	antigen137|Q5HHB7|CP002114.3|mhci|seq816
antigen137|Q5HHB7|BA000018.3|mhci|seq1088	antigen137|Q5HHB7|BA000018.3|mhci|seq1088
antigen137|Q5HHB7|BA000018.3|mhci|seq1088	antigen137|Q5HHB7|CP002114.3|mhci|seq1084
antigen137|Q5HHB7|CP002114.3|mhci|seq4261	antigen137|Q5HHB7|CP002114.3|mhci|seq4261
antigen137|Q5HHB7|CP002114.3|mhci|seq4293	antigen137|Q5HHB7|CP002114.3|mhci|seq4293
antigen137|Q5HHB7|CP002114.3|mhci|seq4293	antigen137|Q5HHB7|BA000018.3|mhci|seq4289
antigen137|Q5HHB7|CP002114.3|mhci|seq4325	antigen137|Q5HHB7|CP002114.3|mhci|seq4325
antigen137|Q5HHB7|CP002114.3|mhci|seq4325	antigen137|Q5HHB7|BA000018.3|mhci|seq4325
antigen137|Q5HHB7|CP002114.3|mhci|seq4357	antigen137|Q5HHB7|CP002114.3|mhci|seq4357
antigen137|Q5HHB7|CP002114.3|mhci|seq4357	antigen137|Q5HHB7|BA000018.3|mhci|seq4357
antigen137|Q5HHB7|CP002114.3|mhci|seq4389	antigen137|Q5HHB7|CP002114.3|mhci|seq4389
antigen137|Q5HHB7|CP002114.3|mhci|seq4389	antigen137|Q5HHB7|BA000018.3|mhci|seq4389
antigen137|Q5HHB7|CP002114.3|mhci|seq4485	antigen137|Q5HHB7|CP002114.3|mhci|seq4485
antigen137|Q5HHB7|CP002114.3|mhci|seq4517	antigen137|Q5HHB7|CP002114.3|mhci|seq4517
antigen137|Q5HHB7|CP002114.3|mhci|seq4549	antigen137|Q5HHB7|CP002114.3|mhci|seq4549
antigen137|Q5HHB7|CP002114.3|mhci|seq4549	antigen137|Q5HHB7|BA000018.3|mhci|seq4545
antigen137|Q5HHB7|CP002114.3|mhci|seq4581	antigen137|Q5HHB7|CP002114.3|mhci|seq4581
antigen137|Q5HHB7|CP002114.3|mhci|seq4581	antigen137|Q5HHB7|BA000018.3|mhci|seq4577
antigen137|Q5HHB7|CP002114.3|mhci|seq4613	antigen137|Q5HHB7|CP002114.3|mhci|seq4613
antigen137|Q5HHB7|CP002114.3|mhci|seq4613	antigen137|Q5HHB7|BA000018.3|mhci|seq4609
antigen137|Q5HHB7|CP002114.3|mhci|seq4645	antigen137|Q5HHB7|CP002114.3|mhci|seq4645
antigen137|Q5HHB7|CP002114.3|mhci|seq4645	antigen137|Q5HHB7|BA000018.3|mhci|seq4641
antigen137|Q5HHB7|CP002114.3|mhci|seq4677	antigen137|Q5HHB7|CP002114.3|mhci|seq4677
antigen137|Q5HHB7|CP002114.3|mhci|seq4677	antigen137|Q5HHB7|BA000018.3|mhci|seq4673
antigen137|Q5HHB7|CP002114.3|mhci|seq4677	antigen137|Q5HHB7|CP002114.3|mhci|seq4678
antigen137|Q5HHB7|CP002114.3|mhci|seq4677	antigen137|Q5HHB7|BA000018.3|mhci|seq4674
antigen137|Q5HHB7|CP002114.3|mhci|seq4709	antigen137|Q5HHB7|CP002114.3|mhci|seq4709
antigen137|Q5HHB7|CP002114.3|mhci|seq4741	antigen137|Q5HHB7|CP002114.3|mhci|seq4741
antigen137|Q5HHB7|CP002114.3|mhci|seq4741	antigen137|Q5HHB7|BA000018.3|mhci|seq4741
antigen137|Q5HHB7|CP002114.3|mhci|seq4741	antigen137|Q5HHB7|CP002114.3|mhci|seq4742
antigen137|Q5HHB7|CP002114.3|mhci|seq4741	antigen137|Q5HHB7|BA000018.3|mhci|seq4742
antigen137|Q5HHB7|CP002114.3|mhci|seq4773	antigen137|Q5HHB7|CP002114.3|mhci|seq4773
antigen137|Q5HHB7|CP002114.3|mhci|seq4773	antigen137|Q5HHB7|BA000018.3|mhci|seq4773
antigen137|Q5HHB7|CP002114.3|mhci|seq4773	antigen137|Q5HHB7|CP002114.3|mhci|seq4774
antigen137|Q5HHB7|CP002114.3|mhci|seq4773	antigen137|Q5HHB7|BA000018.3|mhci|seq4774
antigen137|Q5HHB7|CP002114.3|mhci|seq4805	antigen137|Q5HHB7|CP002114.3|mhci|seq4805
antigen137|Q5HHB7|CP002114.3|mhci|seq4805	antigen137|Q5HHB7|BA000018.3|mhci|seq4805
antigen137|Q5HHB7|BA000018.3|mhci|seq40	antigen137|Q5HHB7|BA000018.3|mhci|seq40
antigen137|Q5HHB7|BA000018.3|mhci|seq40	antigen137|Q5HHB7|CP002114.3|mhci|seq36
antigen137|Q5HHB7|BA000018.3|mhci|seq200	antigen137|Q5HHB7|BA000018.3|mhci|seq200
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|BA000018.3|mhci|seq232
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|CP002114.3|mhci|seq3910
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|BA000018.3|mhci|seq3902
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|CP002114.3|mhci|seq992
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|CP002114.3|mhci|seq991
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|BA000018.3|mhci|seq231
antigen137|Q5HHB7|BA000018.3|mhci|seq232	antigen137|Q5HHB7|BA000018.3|mhci|seq3775
antigen137|Q5HHB7|BA000018.3|mhci|seq1032	antigen137|Q5HHB7|BA000018.3|mhci|seq1032
antigen137|Q5HHB7|BA000018.3|mhci|seq1064	antigen137|Q5HHB7|BA000018.3|mhci|seq1064
antigen137|Q5HHB7|BA000018.3|mhci|seq1064	antigen137|Q5HHB7|CP002114.3|mhci|seq1060
antigen137|Q5HHB7|BA000018.3|mhci|seq1096	antigen137|Q5HHB7|BA000018.3|mhci|seq1096
antigen137|Q5HHB7|BA000018.3|mhci|seq1128	antigen137|Q5HHB7|BA000018.3|mhci|seq1128
antigen137|Q5HHB7|BA000018.3|mhci|seq1128	antigen137|Q5HHB7|CP002114.3|mhci|seq1124
antigen137|Q5HHB7|BA000018.3|mhci|seq1160	antigen137|Q5HHB7|BA000018.3|mhci|seq1160
antigen137|Q5HHB7|BA000018.3|mhci|seq1160	antigen137|Q5HHB7|CP002114.3|mhci|seq1156
antigen137|Q5HHB7|BA000018.3|mhci|seq1192	antigen137|Q5HHB7|BA000018.3|mhci|seq1192
antigen137|Q5HHB7|BA000018.3|mhci|seq1288	antigen137|Q5HHB7|BA000018.3|mhci|seq1288
antigen137|Q5HHB7|BA000018.3|mhci|seq1416	antigen137|Q5HHB7|BA000018.3|mhci|seq1416
antigen137|Q5HHB7|BA000018.3|mhci|seq1512	antigen137|Q5HHB7|BA000018.3|mhci|seq1512
antigen137|Q5HHB7|BA000018.3|mhci|seq1800	antigen137|Q5HHB7|BA000018.3|mhci|seq1800
antigen137|Q5HHB7|BA000018.3|mhci|seq1832	antigen137|Q5HHB7|BA000018.3|mhci|seq1832
antigen137|Q5HHB7|BA000018.3|mhci|seq2120	antigen137|Q5HHB7|BA000018.3|mhci|seq2120
antigen137|Q5HHB7|BA000018.3|mhci|seq2184	antigen137|Q5HHB7|BA000018.3|mhci|seq2184
antigen137|Q5HHB7|BA000018.3|mhci|seq2216	antigen137|Q5HHB7|BA000018.3|mhci|seq2216
antigen137|Q5HHB7|BA000018.3|mhci|seq2312	antigen137|Q5HHB7|BA000018.3|mhci|seq2312
antigen137|Q5HHB7|BA000018.3|mhci|seq2376	antigen137|Q5HHB7|BA000018.3|mhci|seq2376
antigen137|Q5HHB7|BA000018.3|mhci|seq2504	antigen137|Q5HHB7|BA000018.3|mhci|seq2504
antigen137|Q5HHB7|BA000018.3|mhci|seq2600	antigen137|Q5HHB7|BA000018.3|mhci|seq2600
antigen137|Q5HHB7|BA000018.3|mhci|seq1624	antigen137|Q5HHB7|BA000018.3|mhci|seq1624
antigen137|Q5HHB7|BA000018.3|mhci|seq1656	antigen137|Q5HHB7|BA000018.3|mhci|seq1656
antigen137|Q5HHB7|BA000018.3|mhci|seq1720	antigen137|Q5HHB7|BA000018.3|mhci|seq1720
antigen137|Q5HHB7|BA000018.3|mhci|seq1752	antigen137|Q5HHB7|BA000018.3|mhci|seq1752
antigen137|Q5HHB7|BA000018.3|mhci|seq1784	antigen137|Q5HHB7|BA000018.3|mhci|seq1784
antigen137|Q5HHB7|BA000018.3|mhci|seq1784	antigen137|Q5HHB7|CP002114.3|mhci|seq1792
antigen137|Q5HHB7|BA000018.3|mhci|seq1816	antigen137|Q5HHB7|BA000018.3|mhci|seq1816
antigen137|Q5HHB7|BA000018.3|mhci|seq1848	antigen137|Q5HHB7|BA000018.3|mhci|seq1848
antigen137|Q5HHB7|BA000018.3|mhci|seq1880	antigen137|Q5HHB7|BA000018.3|mhci|seq1880
