antigen63|P65177|HE681097.1|mhci|seq669	antigen63|P65177|HE681097.1|mhci|seq669
antigen63|P65177|CP002114.3|mhci|seq455	antigen63|P65177|CP002114.3|mhci|seq455
antigen63|P65177|CP002114.3|mhci|seq455	antigen63|P65177|BA000018.3|mhci|seq447
antigen63|P65177|CP002114.3|mhci|seq455	antigen63|P65177|BX571857.1|mhci|seq439
antigen63|P65177|CP002114.3|mhci|seq455	antigen63|P65177|HE681097.1|mhci|seq455
antigen63|P65177|CP002114.3|mhci|seq551	antigen63|P65177|CP002114.3|mhci|seq551
antigen63|P65177|CP002114.3|mhci|seq807	antigen63|P65177|CP002114.3|mhci|seq807
antigen63|P65177|CP002114.3|mhci|seq871	antigen63|P65177|CP002114.3|mhci|seq871
antigen63|P65177|CP002114.3|mhci|seq871	antigen63|P65177|BA000018.3|mhci|seq863
antigen63|P65177|CP002114.3|mhci|seq871	antigen63|P65177|BX571857.1|mhci|seq859
antigen63|P65177|CP002114.3|mhci|seq871	antigen63|P65177|HE681097.1|mhci|seq871
antigen63|P65177|CP002114.3|mhci|seq903	antigen63|P65177|CP002114.3|mhci|seq903
antigen63|P65177|CP002114.3|mhci|seq903	antigen63|P65177|BA000018.3|mhci|seq895
antigen63|P65177|CP002114.3|mhci|seq903	antigen63|P65177|BX571857.1|mhci|seq891
antigen63|P65177|CP002114.3|mhci|seq903	antigen63|P65177|HE681097.1|mhci|seq903
antigen63|P65177|BX571857.1|mhci|seq10	antigen63|P65177|BX571857.1|mhci|seq10
antigen63|P65177|BX571857.1|mhci|seq10	antigen63|P65177|CP002114.3|mhci|seq10
antigen63|P65177|BX571857.1|mhci|seq10	antigen63|P65177|BA000018.3|mhci|seq10
antigen63|P65177|BX571857.1|mhci|seq10	antigen63|P65177|HE681097.1|mhci|seq10
antigen63|P65177|BX571857.1|mhci|seq266	antigen63|P65177|BX571857.1|mhci|seq266
antigen63|P65177|BX571857.1|mhci|seq266	antigen63|P65177|BA000018.3|mhci|seq278
antigen63|P65177|BX571857.1|mhci|seq266	antigen63|P65177|BX571857.1|mhci|seq267
antigen63|P65177|BX571857.1|mhci|seq266	antigen63|P65177|BA000018.3|mhci|seq279
antigen63|P65177|BX571857.1|mhci|seq810	antigen63|P65177|BX571857.1|mhci|seq810
antigen63|P65177|BX571857.1|mhci|seq810	antigen63|P65177|BX571857.1|mhci|seq809
antigen63|P65177|HE681097.1|mhci|seq52	antigen63|P65177|HE681097.1|mhci|seq52
antigen63|P65177|HE681097.1|mhci|seq84	antigen63|P65177|HE681097.1|mhci|seq84
antigen63|P65177|HE681097.1|mhci|seq212	antigen63|P65177|HE681097.1|mhci|seq212
antigen63|P65177|HE681097.1|mhci|seq276	antigen63|P65177|HE681097.1|mhci|seq276
antigen63|P65177|HE681097.1|mhci|seq340	antigen63|P65177|HE681097.1|mhci|seq340
antigen63|P65177|HE681097.1|mhci|seq532	antigen63|P65177|HE681097.1|mhci|seq532
antigen63|P65177|HE681097.1|mhci|seq532	antigen63|P65177|BA000018.3|mhci|seq520
antigen63|P65177|HE681097.1|mhci|seq532	antigen63|P65177|CP002114.3|mhci|seq532
antigen63|P65177|HE681097.1|mhci|seq532	antigen63|P65177|BX571857.1|mhci|seq512
antigen63|P65177|HE681097.1|mhci|seq596	antigen63|P65177|HE681097.1|mhci|seq596
antigen63|P65177|HE681097.1|mhci|seq628	antigen63|P65177|HE681097.1|mhci|seq628
antigen63|P65177|HE681097.1|mhci|seq724	antigen63|P65177|HE681097.1|mhci|seq724
antigen63|P65177|HE681097.1|mhci|seq724	antigen63|P65177|BX571857.1|mhci|seq716
antigen63|P65177|HE681097.1|mhci|seq724	antigen63|P65177|CP002114.3|mhci|seq724
antigen63|P65177|HE681097.1|mhci|seq724	antigen63|P65177|BA000018.3|mhci|seq716
antigen63|P65177|HE681097.1|mhci|seq852	antigen63|P65177|HE681097.1|mhci|seq852
antigen63|P65177|HE681097.1|mhci|seq852	antigen63|P65177|BA000018.3|mhci|seq836
antigen63|P65177|HE681097.1|mhci|seq852	antigen63|P65177|CP002114.3|mhci|seq852
antigen63|P65177|HE681097.1|mhci|seq852	antigen63|P65177|BX571857.1|mhci|seq832
antigen63|P65177|HE681097.1|mhci|seq916	antigen63|P65177|HE681097.1|mhci|seq916
antigen63|P65177|HE681097.1|mhci|seq916	antigen63|P65177|BX571857.1|mhci|seq912
antigen63|P65177|HE681097.1|mhci|seq916	antigen63|P65177|CP002114.3|mhci|seq916
antigen63|P65177|HE681097.1|mhci|seq916	antigen63|P65177|BA000018.3|mhci|seq912
antigen63|P65177|BA000018.3|mhci|seq30	antigen63|P65177|BA000018.3|mhci|seq30
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|HE681097.1|mhci|seq725
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|BX571857.1|mhci|seq717
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|CP002114.3|mhci|seq725
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|BA000018.3|mhci|seq717
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|CP002114.3|mhci|seq726
antigen63|P65177|HE681097.1|mhci|seq725	antigen63|P65177|HE681097.1|mhci|seq726
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|HE681097.1|mhci|seq917
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|BX571857.1|mhci|seq913
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|CP002114.3|mhci|seq917
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|BA000018.3|mhci|seq913
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|HE681097.1|mhci|seq918
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|BX571857.1|mhci|seq914
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|CP002114.3|mhci|seq918
antigen63|P65177|HE681097.1|mhci|seq917	antigen63|P65177|BA000018.3|mhci|seq914
antigen63|P65177|BA000018.3|mhci|seq319	antigen63|P65177|BA000018.3|mhci|seq319
antigen63|P65177|BA000018.3|mhci|seq351	antigen63|P65177|BA000018.3|mhci|seq351
antigen63|P65177|BA000018.3|mhci|seq383	antigen63|P65177|BA000018.3|mhci|seq383
antigen63|P65177|BA000018.3|mhci|seq767	antigen63|P65177|BA000018.3|mhci|seq767
antigen63|P65177|BA000018.3|mhci|seq767	antigen63|P65177|HE681097.1|mhci|seq763
antigen63|P65177|BA000018.3|mhci|seq767	antigen63|P65177|BX571857.1|mhci|seq763
antigen63|P65177|BA000018.3|mhci|seq767	antigen63|P65177|CP002114.3|mhci|seq763
antigen63|P65177|BA000018.3|mhci|seq831	antigen63|P65177|BA000018.3|mhci|seq831
antigen63|P65177|CP002114.3|mhci|seq73	antigen63|P65177|CP002114.3|mhci|seq73
antigen63|P65177|CP002114.3|mhci|seq73	antigen63|P65177|BA000018.3|mhci|seq544
antigen63|P65177|CP002114.3|mhci|seq73	antigen63|P65177|BX571857.1|mhci|seq536
antigen63|P65177|CP002114.3|mhci|seq73	antigen63|P65177|HE681097.1|mhci|seq73
antigen63|P65177|CP002114.3|mhci|seq201	antigen63|P65177|CP002114.3|mhci|seq201
antigen63|P65177|CP002114.3|mhci|seq233	antigen63|P65177|CP002114.3|mhci|seq233
antigen63|P65177|CP002114.3|mhci|seq233	antigen63|P65177|BA000018.3|mhci|seq225
antigen63|P65177|CP002114.3|mhci|seq233	antigen63|P65177|BX571857.1|mhci|seq221
antigen63|P65177|CP002114.3|mhci|seq233	antigen63|P65177|HE681097.1|mhci|seq233
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|CP002114.3|mhci|seq457
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|BA000018.3|mhci|seq449
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|BX571857.1|mhci|seq441
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|HE681097.1|mhci|seq457
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|CP002114.3|mhci|seq458
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|BA000018.3|mhci|seq450
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|BX571857.1|mhci|seq442
antigen63|P65177|CP002114.3|mhci|seq457	antigen63|P65177|HE681097.1|mhci|seq458
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|CP002114.3|mhci|seq873
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|BA000018.3|mhci|seq865
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|BX571857.1|mhci|seq861
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|HE681097.1|mhci|seq873
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|CP002114.3|mhci|seq874
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|BA000018.3|mhci|seq866
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|BX571857.1|mhci|seq862
antigen63|P65177|CP002114.3|mhci|seq873	antigen63|P65177|HE681097.1|mhci|seq874
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|CP002114.3|mhci|seq905
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|BA000018.3|mhci|seq897
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|BX571857.1|mhci|seq893
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|HE681097.1|mhci|seq905
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|BX571857.1|mhci|seq894
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|BA000018.3|mhci|seq898
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|HE681097.1|mhci|seq906
antigen63|P65177|CP002114.3|mhci|seq905	antigen63|P65177|CP002114.3|mhci|seq906
antigen63|P65177|BX571857.1|mhci|seq140	antigen63|P65177|BX571857.1|mhci|seq140
antigen63|P65177|BX571857.1|mhci|seq204	antigen63|P65177|BX571857.1|mhci|seq204
antigen63|P65177|BX571857.1|mhci|seq236	antigen63|P65177|BX571857.1|mhci|seq236
antigen63|P65177|BX571857.1|mhci|seq268	antigen63|P65177|BX571857.1|mhci|seq268
antigen63|P65177|BX571857.1|mhci|seq300	antigen63|P65177|BX571857.1|mhci|seq300
antigen63|P65177|BX571857.1|mhci|seq492	antigen63|P65177|BX571857.1|mhci|seq492
antigen63|P65177|BX571857.1|mhci|seq556	antigen63|P65177|BX571857.1|mhci|seq556
antigen63|P65177|BX571857.1|mhci|seq620	antigen63|P65177|BX571857.1|mhci|seq620
antigen63|P65177|BX571857.1|mhci|seq620	antigen63|P65177|HE681097.1|mhci|seq636
antigen63|P65177|BX571857.1|mhci|seq620	antigen63|P65177|CP002114.3|mhci|seq636
antigen63|P65177|BX571857.1|mhci|seq748	antigen63|P65177|BX571857.1|mhci|seq748
antigen63|P65177|BX571857.1|mhci|seq780	antigen63|P65177|BX571857.1|mhci|seq780
antigen63|P65177|BX571857.1|mhci|seq876	antigen63|P65177|BX571857.1|mhci|seq876
antigen63|P65177|BX571857.1|mhci|seq876	antigen63|P65177|HE681097.1|mhci|seq888
antigen63|P65177|BX571857.1|mhci|seq876	antigen63|P65177|CP002114.3|mhci|seq888
antigen63|P65177|BX571857.1|mhci|seq876	antigen63|P65177|BA000018.3|mhci|seq880
antigen63|P65177|BX571857.1|mhci|seq749	antigen63|P65177|BX571857.1|mhci|seq749
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|BX571857.1|mhci|seq877
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|HE681097.1|mhci|seq889
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|CP002114.3|mhci|seq889
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|BA000018.3|mhci|seq881
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|BX571857.1|mhci|seq878
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|HE681097.1|mhci|seq890
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|CP002114.3|mhci|seq890
antigen63|P65177|BX571857.1|mhci|seq877	antigen63|P65177|BA000018.3|mhci|seq882
antigen63|P65177|HE681097.1|mhci|seq343	antigen63|P65177|HE681097.1|mhci|seq343
antigen63|P65177|HE681097.1|mhci|seq567	antigen63|P65177|HE681097.1|mhci|seq567
antigen63|P65177|HE681097.1|mhci|seq567	antigen63|P65177|BA000018.3|mhci|seq551
antigen63|P65177|HE681097.1|mhci|seq567	antigen63|P65177|CP002114.3|mhci|seq567
antigen63|P65177|HE681097.1|mhci|seq567	antigen63|P65177|BX571857.1|mhci|seq543
antigen63|P65177|HE681097.1|mhci|seq631	antigen63|P65177|HE681097.1|mhci|seq631
antigen63|P65177|HE681097.1|mhci|seq823	antigen63|P65177|HE681097.1|mhci|seq823
antigen63|P65177|HE681097.1|mhci|seq823	antigen63|P65177|BA000018.3|mhci|seq803
antigen63|P65177|HE681097.1|mhci|seq823	antigen63|P65177|CP002114.3|mhci|seq823
antigen63|P65177|HE681097.1|mhci|seq823	antigen63|P65177|BX571857.1|mhci|seq799
antigen63|P65177|BA000018.3|mhci|seq1	antigen63|P65177|BA000018.3|mhci|seq1
antigen63|P65177|BA000018.3|mhci|seq33	antigen63|P65177|BA000018.3|mhci|seq33
antigen63|P65177|BA000018.3|mhci|seq65	antigen63|P65177|BA000018.3|mhci|seq65
antigen63|P65177|BA000018.3|mhci|seq129	antigen63|P65177|BA000018.3|mhci|seq129
antigen63|P65177|BA000018.3|mhci|seq161	antigen63|P65177|BA000018.3|mhci|seq161
antigen63|P65177|BA000018.3|mhci|seq289	antigen63|P65177|BA000018.3|mhci|seq289
antigen63|P65177|BA000018.3|mhci|seq321	antigen63|P65177|BA000018.3|mhci|seq321
antigen63|P65177|BA000018.3|mhci|seq385	antigen63|P65177|BA000018.3|mhci|seq385
antigen63|P65177|BA000018.3|mhci|seq385	antigen63|P65177|BA000018.3|mhci|seq386
antigen63|P65177|BA000018.3|mhci|seq417	antigen63|P65177|BA000018.3|mhci|seq417
antigen63|P65177|BA000018.3|mhci|seq641	antigen63|P65177|BA000018.3|mhci|seq641
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|BA000018.3|mhci|seq769
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|HE681097.1|mhci|seq765
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|BX571857.1|mhci|seq765
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|CP002114.3|mhci|seq765
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|BX571857.1|mhci|seq766
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|BA000018.3|mhci|seq770
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|CP002114.3|mhci|seq766
antigen63|P65177|BA000018.3|mhci|seq769	antigen63|P65177|HE681097.1|mhci|seq766
antigen63|P65177|BA000018.3|mhci|seq833	antigen63|P65177|BA000018.3|mhci|seq833
antigen63|P65177|CP002114.3|mhci|seq331	antigen63|P65177|CP002114.3|mhci|seq331
antigen63|P65177|CP002114.3|mhci|seq331	antigen63|P65177|HE681097.1|mhci|seq331
antigen63|P65177|CP002114.3|mhci|seq363	antigen63|P65177|CP002114.3|mhci|seq363
antigen63|P65177|CP002114.3|mhci|seq363	antigen63|P65177|HE681097.1|mhci|seq363
antigen63|P65177|CP002114.3|mhci|seq395	antigen63|P65177|CP002114.3|mhci|seq395
antigen63|P65177|CP002114.3|mhci|seq427	antigen63|P65177|CP002114.3|mhci|seq427
antigen63|P65177|CP002114.3|mhci|seq427	antigen63|P65177|HE681097.1|mhci|seq427
antigen63|P65177|CP002114.3|mhci|seq459	antigen63|P65177|CP002114.3|mhci|seq459
antigen63|P65177|CP002114.3|mhci|seq459	antigen63|P65177|HE681097.1|mhci|seq459
antigen63|P65177|CP002114.3|mhci|seq491	antigen63|P65177|CP002114.3|mhci|seq491
antigen63|P65177|CP002114.3|mhci|seq491	antigen63|P65177|HE681097.1|mhci|seq491
antigen63|P65177|CP002114.3|mhci|seq587	antigen63|P65177|CP002114.3|mhci|seq587
antigen63|P65177|CP002114.3|mhci|seq587	antigen63|P65177|HE681097.1|mhci|seq587
antigen63|P65177|CP002114.3|mhci|seq619	antigen63|P65177|CP002114.3|mhci|seq619
antigen63|P65177|CP002114.3|mhci|seq619	antigen63|P65177|HE681097.1|mhci|seq619
antigen63|P65177|CP002114.3|mhci|seq651	antigen63|P65177|CP002114.3|mhci|seq651
antigen63|P65177|CP002114.3|mhci|seq651	antigen63|P65177|HE681097.1|mhci|seq651
antigen63|P65177|CP002114.3|mhci|seq747	antigen63|P65177|CP002114.3|mhci|seq747
antigen63|P65177|CP002114.3|mhci|seq779	antigen63|P65177|CP002114.3|mhci|seq779
antigen63|P65177|CP002114.3|mhci|seq779	antigen63|P65177|HE681097.1|mhci|seq779
antigen63|P65177|CP002114.3|mhci|seq811	antigen63|P65177|CP002114.3|mhci|seq811
antigen63|P65177|CP002114.3|mhci|seq811	antigen63|P65177|HE681097.1|mhci|seq811
antigen63|P65177|CP002114.3|mhci|seq843	antigen63|P65177|CP002114.3|mhci|seq843
antigen63|P65177|CP002114.3|mhci|seq875	antigen63|P65177|CP002114.3|mhci|seq875
antigen63|P65177|BX571857.1|mhci|seq78	antigen63|P65177|BX571857.1|mhci|seq78
antigen63|P65177|BX571857.1|mhci|seq78	antigen63|P65177|BA000018.3|mhci|seq86
antigen63|P65177|BX571857.1|mhci|seq78	antigen63|P65177|BX571857.1|mhci|seq79
antigen63|P65177|BX571857.1|mhci|seq78	antigen63|P65177|BA000018.3|mhci|seq87
antigen63|P65177|BX571857.1|mhci|seq110	antigen63|P65177|BX571857.1|mhci|seq110
antigen63|P65177|BX571857.1|mhci|seq110	antigen63|P65177|BA000018.3|mhci|seq118
antigen63|P65177|CP002114.3|mhci|seq620	antigen63|P65177|CP002114.3|mhci|seq620
antigen63|P65177|CP002114.3|mhci|seq620	antigen63|P65177|HE681097.1|mhci|seq620
antigen63|P65177|CP002114.3|mhci|seq652	antigen63|P65177|CP002114.3|mhci|seq652
antigen63|P65177|CP002114.3|mhci|seq652	antigen63|P65177|HE681097.1|mhci|seq652
antigen63|P65177|CP002114.3|mhci|seq684	antigen63|P65177|CP002114.3|mhci|seq684
antigen63|P65177|CP002114.3|mhci|seq684	antigen63|P65177|HE681097.1|mhci|seq684
antigen63|P65177|CP002114.3|mhci|seq748	antigen63|P65177|CP002114.3|mhci|seq748
antigen63|P65177|CP002114.3|mhci|seq780	antigen63|P65177|CP002114.3|mhci|seq780
antigen63|P65177|CP002114.3|mhci|seq780	antigen63|P65177|HE681097.1|mhci|seq780
antigen63|P65177|CP002114.3|mhci|seq812	antigen63|P65177|CP002114.3|mhci|seq812
antigen63|P65177|CP002114.3|mhci|seq812	antigen63|P65177|HE681097.1|mhci|seq812
antigen63|P65177|CP002114.3|mhci|seq844	antigen63|P65177|CP002114.3|mhci|seq844
antigen63|P65177|CP002114.3|mhci|seq876	antigen63|P65177|CP002114.3|mhci|seq876
antigen63|P65177|CP002114.3|mhci|seq908	antigen63|P65177|CP002114.3|mhci|seq908
antigen63|P65177|CP002114.3|mhci|seq908	antigen63|P65177|HE681097.1|mhci|seq908
antigen63|P65177|BX571857.1|mhci|seq111	antigen63|P65177|BX571857.1|mhci|seq111
antigen63|P65177|BX571857.1|mhci|seq111	antigen63|P65177|BA000018.3|mhci|seq119
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BX571857.1|mhci|seq143
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BA000018.3|mhci|seq31
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BX571857.1|mhci|seq449
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BA000018.3|mhci|seq457
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BX571857.1|mhci|seq142
antigen63|P65177|BX571857.1|mhci|seq143	antigen63|P65177|BX571857.1|mhci|seq8
antigen63|P65177|BX571857.1|mhci|seq303	antigen63|P65177|BX571857.1|mhci|seq303
antigen63|P65177|BX571857.1|mhci|seq303	antigen63|P65177|BX571857.1|mhci|seq302
antigen63|P65177|BX571857.1|mhci|seq335	antigen63|P65177|BX571857.1|mhci|seq335
antigen63|P65177|BX571857.1|mhci|seq335	antigen63|P65177|BA000018.3|mhci|seq343
antigen63|P65177|BX571857.1|mhci|seq367	antigen63|P65177|BX571857.1|mhci|seq367
antigen63|P65177|BX571857.1|mhci|seq367	antigen63|P65177|BA000018.3|mhci|seq375
antigen63|P65177|BX571857.1|mhci|seq399	antigen63|P65177|BX571857.1|mhci|seq399
antigen63|P65177|BX571857.1|mhci|seq431	antigen63|P65177|BX571857.1|mhci|seq431
antigen63|P65177|BX571857.1|mhci|seq431	antigen63|P65177|BA000018.3|mhci|seq439
antigen63|P65177|BX571857.1|mhci|seq463	antigen63|P65177|BX571857.1|mhci|seq463
antigen63|P65177|BX571857.1|mhci|seq463	antigen63|P65177|BA000018.3|mhci|seq471
antigen63|P65177|BX571857.1|mhci|seq495	antigen63|P65177|BX571857.1|mhci|seq495
antigen63|P65177|BX571857.1|mhci|seq495	antigen63|P65177|BA000018.3|mhci|seq503
antigen63|P65177|BX571857.1|mhci|seq559	antigen63|P65177|BX571857.1|mhci|seq559
antigen63|P65177|BX571857.1|mhci|seq559	antigen63|P65177|BA000018.3|mhci|seq567
antigen63|P65177|BX571857.1|mhci|seq655	antigen63|P65177|BX571857.1|mhci|seq655
antigen63|P65177|BX571857.1|mhci|seq687	antigen63|P65177|BX571857.1|mhci|seq687
antigen63|P65177|BX571857.1|mhci|seq751	antigen63|P65177|BX571857.1|mhci|seq751
antigen63|P65177|HE681097.1|mhci|seq25	antigen63|P65177|HE681097.1|mhci|seq25
antigen63|P65177|HE681097.1|mhci|seq25	antigen63|P65177|BA000018.3|mhci|seq740
antigen63|P65177|HE681097.1|mhci|seq25	antigen63|P65177|CP002114.3|mhci|seq25
antigen63|P65177|HE681097.1|mhci|seq25	antigen63|P65177|BX571857.1|mhci|seq736
antigen63|P65177|HE681097.1|mhci|seq57	antigen63|P65177|HE681097.1|mhci|seq57
antigen63|P65177|HE681097.1|mhci|seq249	antigen63|P65177|HE681097.1|mhci|seq249
antigen63|P65177|HE681097.1|mhci|seq281	antigen63|P65177|HE681097.1|mhci|seq281
antigen63|P65177|HE681097.1|mhci|seq313	antigen63|P65177|HE681097.1|mhci|seq313
antigen63|P65177|BA000018.3|mhci|seq3	antigen63|P65177|BA000018.3|mhci|seq3
antigen63|P65177|BA000018.3|mhci|seq3	antigen63|P65177|BA000018.3|mhci|seq4
antigen63|P65177|BA000018.3|mhci|seq35	antigen63|P65177|BA000018.3|mhci|seq35
antigen63|P65177|BA000018.3|mhci|seq323	antigen63|P65177|BA000018.3|mhci|seq323
antigen63|P65177|BA000018.3|mhci|seq387	antigen63|P65177|BA000018.3|mhci|seq387
antigen63|P65177|BA000018.3|mhci|seq675	antigen63|P65177|BA000018.3|mhci|seq675
antigen63|P65177|BA000018.3|mhci|seq867	antigen63|P65177|BA000018.3|mhci|seq867
antigen63|P65177|CP002114.3|mhci|seq45	antigen63|P65177|CP002114.3|mhci|seq45
antigen63|P65177|CP002114.3|mhci|seq45	antigen63|P65177|HE681097.1|mhci|seq45
antigen63|P65177|CP002114.3|mhci|seq109	antigen63|P65177|CP002114.3|mhci|seq109
antigen63|P65177|BA000018.3|mhci|seq676	antigen63|P65177|BA000018.3|mhci|seq676
antigen63|P65177|BA000018.3|mhci|seq868	antigen63|P65177|BA000018.3|mhci|seq868
antigen63|P65177|CP002114.3|mhci|seq46	antigen63|P65177|CP002114.3|mhci|seq46
antigen63|P65177|CP002114.3|mhci|seq46	antigen63|P65177|HE681097.1|mhci|seq46
antigen63|P65177|CP002114.3|mhci|seq110	antigen63|P65177|CP002114.3|mhci|seq110
antigen63|P65177|CP002114.3|mhci|seq174	antigen63|P65177|CP002114.3|mhci|seq174
antigen63|P65177|CP002114.3|mhci|seq174	antigen63|P65177|HE681097.1|mhci|seq174
antigen63|P65177|CP002114.3|mhci|seq174	antigen63|P65177|CP002114.3|mhci|seq175
antigen63|P65177|CP002114.3|mhci|seq174	antigen63|P65177|HE681097.1|mhci|seq175
antigen63|P65177|CP002114.3|mhci|seq206	antigen63|P65177|CP002114.3|mhci|seq206
antigen63|P65177|CP002114.3|mhci|seq206	antigen63|P65177|HE681097.1|mhci|seq206
antigen63|P65177|CP002114.3|mhci|seq270	antigen63|P65177|CP002114.3|mhci|seq270
antigen63|P65177|CP002114.3|mhci|seq270	antigen63|P65177|HE681097.1|mhci|seq270
antigen63|P65177|CP002114.3|mhci|seq270	antigen63|P65177|CP002114.3|mhci|seq271
antigen63|P65177|CP002114.3|mhci|seq270	antigen63|P65177|HE681097.1|mhci|seq271
antigen63|P65177|CP002114.3|mhci|seq302	antigen63|P65177|CP002114.3|mhci|seq302
antigen63|P65177|CP002114.3|mhci|seq302	antigen63|P65177|HE681097.1|mhci|seq302
antigen63|P65177|CP002114.3|mhci|seq302	antigen63|P65177|CP002114.3|mhci|seq303
antigen63|P65177|CP002114.3|mhci|seq302	antigen63|P65177|HE681097.1|mhci|seq303
antigen63|P65177|CP002114.3|mhci|seq334	antigen63|P65177|CP002114.3|mhci|seq334
antigen63|P65177|CP002114.3|mhci|seq334	antigen63|P65177|HE681097.1|mhci|seq334
antigen63|P65177|CP002114.3|mhci|seq366	antigen63|P65177|CP002114.3|mhci|seq366
antigen63|P65177|CP002114.3|mhci|seq366	antigen63|P65177|HE681097.1|mhci|seq366
antigen63|P65177|CP002114.3|mhci|seq750	antigen63|P65177|CP002114.3|mhci|seq750
antigen63|P65177|CP002114.3|mhci|seq750	antigen63|P65177|HE681097.1|mhci|seq750
antigen63|P65177|CP002114.3|mhci|seq750	antigen63|P65177|HE681097.1|mhci|seq749
antigen63|P65177|CP002114.3|mhci|seq750	antigen63|P65177|CP002114.3|mhci|seq749
antigen63|P65177|CP002114.3|mhci|seq782	antigen63|P65177|CP002114.3|mhci|seq782
antigen63|P65177|CP002114.3|mhci|seq782	antigen63|P65177|HE681097.1|mhci|seq782
antigen63|P65177|CP002114.3|mhci|seq846	antigen63|P65177|CP002114.3|mhci|seq846
antigen63|P65177|CP002114.3|mhci|seq846	antigen63|P65177|HE681097.1|mhci|seq846
antigen63|P65177|BX571857.1|mhci|seq81	antigen63|P65177|BX571857.1|mhci|seq81
antigen63|P65177|BX571857.1|mhci|seq81	antigen63|P65177|BA000018.3|mhci|seq89
antigen63|P65177|BX571857.1|mhci|seq177	antigen63|P65177|BX571857.1|mhci|seq177
antigen63|P65177|BX571857.1|mhci|seq177	antigen63|P65177|BA000018.3|mhci|seq181
antigen63|P65177|BX571857.1|mhci|seq241	antigen63|P65177|BX571857.1|mhci|seq241
antigen63|P65177|BX571857.1|mhci|seq273	antigen63|P65177|BX571857.1|mhci|seq273
antigen63|P65177|BX571857.1|mhci|seq273	antigen63|P65177|BA000018.3|mhci|seq281
antigen63|P65177|BX571857.1|mhci|seq305	antigen63|P65177|BX571857.1|mhci|seq305
antigen63|P65177|BX571857.1|mhci|seq305	antigen63|P65177|BA000018.3|mhci|seq313
antigen63|P65177|BX571857.1|mhci|seq369	antigen63|P65177|BX571857.1|mhci|seq369
antigen63|P65177|BX571857.1|mhci|seq369	antigen63|P65177|BA000018.3|mhci|seq377
antigen63|P65177|BX571857.1|mhci|seq369	antigen63|P65177|BX571857.1|mhci|seq370
