antigen64|Q6GID8|BX571856.1|mhci|seq46	antigen64|Q6GID8|BX571856.1|mhci|seq46
antigen64|Q6GID8|CP000253.1|mhci|seq22	antigen64|Q6GID8|BX571856.1|mhci|seq22
antigen64|Q6GID8|CP000253.1|mhci|seq54	antigen64|Q6GID8|CP000253.1|mhci|seq54
antigen64|Q6GID8|CP000253.1|mhci|seq54	antigen64|Q6GID8|BX571856.1|mhci|seq54
antigen64|Q6GID8|CP000253.1|mhci|seq86	antigen64|Q6GID8|CP000253.1|mhci|seq86
antigen64|Q6GID8|BX571856.1|mhci|seq152	antigen64|Q6GID8|BX571856.1|mhci|seq152
antigen64|Q6GID8|BX571856.1|mhci|seq184	antigen64|Q6GID8|BX571856.1|mhci|seq184
antigen64|Q6GID8|BX571856.1|mhci|seq184	antigen64|Q6GID8|CP000253.1|mhci|seq180
antigen64|Q6GID8|BX571856.1|mhci|seq216	antigen64|Q6GID8|BX571856.1|mhci|seq216
antigen64|Q6GID8|BX571856.1|mhci|seq216	antigen64|Q6GID8|CP000253.1|mhci|seq212
antigen64|Q6GID8|BX571856.1|mhci|seq248	antigen64|Q6GID8|BX571856.1|mhci|seq248
antigen64|Q6GID8|BX571856.1|mhci|seq248	antigen64|Q6GID8|CP000253.1|mhci|seq244
antigen64|Q6GID8|BX571856.1|mhci|seq280	antigen64|Q6GID8|BX571856.1|mhci|seq280
antigen64|Q6GID8|BX571856.1|mhci|seq280	antigen64|Q6GID8|CP000253.1|mhci|seq272
antigen64|Q6GID8|BX571856.1|mhci|seq312	antigen64|Q6GID8|BX571856.1|mhci|seq312
antigen64|Q6GID8|BX571856.1|mhci|seq312	antigen64|Q6GID8|CP000253.1|mhci|seq308
antigen64|Q6GID8|CP000253.1|mhci|seq23	antigen64|Q6GID8|CP000253.1|mhci|seq23
antigen64|Q6GID8|CP000253.1|mhci|seq23	antigen64|Q6GID8|BX571856.1|mhci|seq23
antigen64|Q6GID8|CP000253.1|mhci|seq23	antigen64|Q6GID8|CP000253.1|mhci|seq24
antigen64|Q6GID8|CP000253.1|mhci|seq23	antigen64|Q6GID8|BX571856.1|mhci|seq24
antigen64|Q6GID8|CP000253.1|mhci|seq55	antigen64|Q6GID8|CP000253.1|mhci|seq55
antigen64|Q6GID8|CP000253.1|mhci|seq55	antigen64|Q6GID8|BX571856.1|mhci|seq55
antigen64|Q6GID8|CP000253.1|mhci|seq55	antigen64|Q6GID8|CP000253.1|mhci|seq56
antigen64|Q6GID8|CP000253.1|mhci|seq55	antigen64|Q6GID8|BX571856.1|mhci|seq56
antigen64|Q6GID8|CP000253.1|mhci|seq119	antigen64|Q6GID8|CP000253.1|mhci|seq119
antigen64|Q6GID8|CP000253.1|mhci|seq119	antigen64|Q6GID8|BX571856.1|mhci|seq119
antigen64|Q6GID8|CP000253.1|mhci|seq151	antigen64|Q6GID8|CP000253.1|mhci|seq151
antigen64|Q6GID8|CP000253.1|mhci|seq343	antigen64|Q6GID8|CP000253.1|mhci|seq343
antigen64|Q6GID8|CP000253.1|mhci|seq343	antigen64|Q6GID8|BX571856.1|mhci|seq343
antigen64|Q6GID8|CP000253.1|mhci|seq375	antigen64|Q6GID8|CP000253.1|mhci|seq375
antigen64|Q6GID8|CP000253.1|mhci|seq375	antigen64|Q6GID8|BX571856.1|mhci|seq375
antigen64|Q6GID8|CP000253.1|mhci|seq407	antigen64|Q6GID8|CP000253.1|mhci|seq407
antigen64|Q6GID8|CP000253.1|mhci|seq407	antigen64|Q6GID8|BX571856.1|mhci|seq407
antigen64|Q6GID8|BX571856.1|mhci|seq89	antigen64|Q6GID8|BX571856.1|mhci|seq89
antigen64|Q6GID8|BX571856.1|mhci|seq185	antigen64|Q6GID8|BX571856.1|mhci|seq185
antigen64|Q6GID8|BX571856.1|mhci|seq185	antigen64|Q6GID8|CP000253.1|mhci|seq181
antigen64|Q6GID8|BX571856.1|mhci|seq185	antigen64|Q6GID8|BX571856.1|mhci|seq186
antigen64|Q6GID8|BX571856.1|mhci|seq185	antigen64|Q6GID8|CP000253.1|mhci|seq182
antigen64|Q6GID8|BX571856.1|mhci|seq217	antigen64|Q6GID8|BX571856.1|mhci|seq217
antigen64|Q6GID8|BX571856.1|mhci|seq217	antigen64|Q6GID8|CP000253.1|mhci|seq213
antigen64|Q6GID8|BX571856.1|mhci|seq249	antigen64|Q6GID8|BX571856.1|mhci|seq249
antigen64|Q6GID8|BX571856.1|mhci|seq249	antigen64|Q6GID8|CP000253.1|mhci|seq245
antigen64|Q6GID8|BX571856.1|mhci|seq249	antigen64|Q6GID8|BX571856.1|mhci|seq250
antigen64|Q6GID8|BX571856.1|mhci|seq249	antigen64|Q6GID8|CP000253.1|mhci|seq246
antigen64|Q6GID8|BX571856.1|mhci|seq281	antigen64|Q6GID8|BX571856.1|mhci|seq281
antigen64|Q6GID8|BX571856.1|mhci|seq281	antigen64|Q6GID8|CP000253.1|mhci|seq273
antigen64|Q6GID8|BX571856.1|mhci|seq281	antigen64|Q6GID8|BX571856.1|mhci|seq282
antigen64|Q6GID8|BX571856.1|mhci|seq281	antigen64|Q6GID8|CP000253.1|mhci|seq274
antigen64|Q6GID8|BX571856.1|mhci|seq313	antigen64|Q6GID8|BX571856.1|mhci|seq313
antigen64|Q6GID8|BX571856.1|mhci|seq313	antigen64|Q6GID8|CP000253.1|mhci|seq309
antigen64|Q6GID8|CP000253.1|mhci|seq88	antigen64|Q6GID8|CP000253.1|mhci|seq88
antigen64|Q6GID8|CP000253.1|mhci|seq88	antigen64|Q6GID8|CP000253.1|mhci|seq87
antigen64|Q6GID8|CP000253.1|mhci|seq120	antigen64|Q6GID8|CP000253.1|mhci|seq120
antigen64|Q6GID8|CP000253.1|mhci|seq120	antigen64|Q6GID8|BX571856.1|mhci|seq120
antigen64|Q6GID8|CP000253.1|mhci|seq152	antigen64|Q6GID8|CP000253.1|mhci|seq152
antigen64|Q6GID8|CP000253.1|mhci|seq344	antigen64|Q6GID8|CP000253.1|mhci|seq344
antigen64|Q6GID8|CP000253.1|mhci|seq344	antigen64|Q6GID8|BX571856.1|mhci|seq344
antigen64|Q6GID8|CP000253.1|mhci|seq376	antigen64|Q6GID8|CP000253.1|mhci|seq376
antigen64|Q6GID8|CP000253.1|mhci|seq376	antigen64|Q6GID8|BX571856.1|mhci|seq376
antigen64|Q6GID8|CP000253.1|mhci|seq408	antigen64|Q6GID8|CP000253.1|mhci|seq408
antigen64|Q6GID8|CP000253.1|mhci|seq408	antigen64|Q6GID8|BX571856.1|mhci|seq408
antigen64|Q6GID8|BX571856.1|mhci|seq90	antigen64|Q6GID8|BX571856.1|mhci|seq90
antigen64|Q6GID8|BX571856.1|mhci|seq218	antigen64|Q6GID8|BX571856.1|mhci|seq218
antigen64|Q6GID8|BX571856.1|mhci|seq218	antigen64|Q6GID8|CP000253.1|mhci|seq214
antigen64|Q6GID8|BX571856.1|mhci|seq314	antigen64|Q6GID8|BX571856.1|mhci|seq314
antigen64|Q6GID8|BX571856.1|mhci|seq314	antigen64|Q6GID8|CP000253.1|mhci|seq310
antigen64|Q6GID8|CP000253.1|mhci|seq25	antigen64|Q6GID8|CP000253.1|mhci|seq25
antigen64|Q6GID8|CP000253.1|mhci|seq25	antigen64|Q6GID8|BX571856.1|mhci|seq25
antigen64|Q6GID8|CP000253.1|mhci|seq57	antigen64|Q6GID8|CP000253.1|mhci|seq57
antigen64|Q6GID8|CP000253.1|mhci|seq57	antigen64|Q6GID8|BX571856.1|mhci|seq57
antigen64|Q6GID8|CP000253.1|mhci|seq89	antigen64|Q6GID8|CP000253.1|mhci|seq89
antigen64|Q6GID8|CP000253.1|mhci|seq121	antigen64|Q6GID8|CP000253.1|mhci|seq121
antigen64|Q6GID8|CP000253.1|mhci|seq121	antigen64|Q6GID8|BX571856.1|mhci|seq121
antigen64|Q6GID8|CP000253.1|mhci|seq121	antigen64|Q6GID8|BX571856.1|mhci|seq122
antigen64|Q6GID8|CP000253.1|mhci|seq121	antigen64|Q6GID8|CP000253.1|mhci|seq122
antigen64|Q6GID8|CP000253.1|mhci|seq153	antigen64|Q6GID8|CP000253.1|mhci|seq153
antigen64|Q6GID8|CP000253.1|mhci|seq153	antigen64|Q6GID8|BX571856.1|mhci|seq153
antigen64|Q6GID8|CP000253.1|mhci|seq153	antigen64|Q6GID8|CP000253.1|mhci|seq154
antigen64|Q6GID8|CP000253.1|mhci|seq153	antigen64|Q6GID8|BX571856.1|mhci|seq154
antigen64|Q6GID8|CP000253.1|mhci|seq345	antigen64|Q6GID8|CP000253.1|mhci|seq345
antigen64|Q6GID8|CP000253.1|mhci|seq345	antigen64|Q6GID8|BX571856.1|mhci|seq345
antigen64|Q6GID8|CP000253.1|mhci|seq345	antigen64|Q6GID8|CP000253.1|mhci|seq346
antigen64|Q6GID8|CP000253.1|mhci|seq345	antigen64|Q6GID8|BX571856.1|mhci|seq346
antigen64|Q6GID8|CP000253.1|mhci|seq377	antigen64|Q6GID8|CP000253.1|mhci|seq377
antigen64|Q6GID8|CP000253.1|mhci|seq377	antigen64|Q6GID8|BX571856.1|mhci|seq377
antigen64|Q6GID8|CP000253.1|mhci|seq377	antigen64|Q6GID8|CP000253.1|mhci|seq378
antigen64|Q6GID8|CP000253.1|mhci|seq377	antigen64|Q6GID8|BX571856.1|mhci|seq378
antigen64|Q6GID8|CP000253.1|mhci|seq409	antigen64|Q6GID8|CP000253.1|mhci|seq409
antigen64|Q6GID8|CP000253.1|mhci|seq409	antigen64|Q6GID8|BX571856.1|mhci|seq409
antigen64|Q6GID8|CP000253.1|mhci|seq409	antigen64|Q6GID8|CP000253.1|mhci|seq410
antigen64|Q6GID8|CP000253.1|mhci|seq409	antigen64|Q6GID8|BX571856.1|mhci|seq410
antigen64|Q6GID8|BX571856.1|mhci|seq91	antigen64|Q6GID8|BX571856.1|mhci|seq91
antigen64|Q6GID8|BX571856.1|mhci|seq91	antigen64|Q6GID8|BX571856.1|mhci|seq92
antigen64|Q6GID8|BX571856.1|mhci|seq187	antigen64|Q6GID8|BX571856.1|mhci|seq187
antigen64|Q6GID8|BX571856.1|mhci|seq187	antigen64|Q6GID8|CP000253.1|mhci|seq183
antigen64|Q6GID8|BX571856.1|mhci|seq219	antigen64|Q6GID8|BX571856.1|mhci|seq219
antigen64|Q6GID8|BX571856.1|mhci|seq219	antigen64|Q6GID8|CP000253.1|mhci|seq215
antigen64|Q6GID8|BX571856.1|mhci|seq251	antigen64|Q6GID8|BX571856.1|mhci|seq251
antigen64|Q6GID8|BX571856.1|mhci|seq251	antigen64|Q6GID8|CP000253.1|mhci|seq247
antigen64|Q6GID8|BX571856.1|mhci|seq283	antigen64|Q6GID8|BX571856.1|mhci|seq283
antigen64|Q6GID8|BX571856.1|mhci|seq283	antigen64|Q6GID8|CP000253.1|mhci|seq275
antigen64|Q6GID8|BX571856.1|mhci|seq315	antigen64|Q6GID8|BX571856.1|mhci|seq315
antigen64|Q6GID8|BX571856.1|mhci|seq315	antigen64|Q6GID8|CP000253.1|mhci|seq311
antigen64|Q6GID8|BX571856.1|mhci|seq347	antigen64|Q6GID8|BX571856.1|mhci|seq347
antigen64|Q6GID8|CP000253.1|mhci|seq26	antigen64|Q6GID8|CP000253.1|mhci|seq26
antigen64|Q6GID8|CP000253.1|mhci|seq26	antigen64|Q6GID8|BX571856.1|mhci|seq26
antigen64|Q6GID8|CP000253.1|mhci|seq58	antigen64|Q6GID8|CP000253.1|mhci|seq58
antigen64|Q6GID8|CP000253.1|mhci|seq58	antigen64|Q6GID8|BX571856.1|mhci|seq58
antigen64|Q6GID8|CP000253.1|mhci|seq90	antigen64|Q6GID8|CP000253.1|mhci|seq90
antigen64|Q6GID8|BX571856.1|mhci|seq188	antigen64|Q6GID8|BX571856.1|mhci|seq188
antigen64|Q6GID8|BX571856.1|mhci|seq188	antigen64|Q6GID8|CP000253.1|mhci|seq184
antigen64|Q6GID8|BX571856.1|mhci|seq220	antigen64|Q6GID8|BX571856.1|mhci|seq220
antigen64|Q6GID8|BX571856.1|mhci|seq220	antigen64|Q6GID8|CP000253.1|mhci|seq216
antigen64|Q6GID8|BX571856.1|mhci|seq252	antigen64|Q6GID8|BX571856.1|mhci|seq252
antigen64|Q6GID8|BX571856.1|mhci|seq252	antigen64|Q6GID8|CP000253.1|mhci|seq248
antigen64|Q6GID8|BX571856.1|mhci|seq284	antigen64|Q6GID8|BX571856.1|mhci|seq284
antigen64|Q6GID8|BX571856.1|mhci|seq284	antigen64|Q6GID8|CP000253.1|mhci|seq276
antigen64|Q6GID8|BX571856.1|mhci|seq316	antigen64|Q6GID8|BX571856.1|mhci|seq316
antigen64|Q6GID8|BX571856.1|mhci|seq316	antigen64|Q6GID8|CP000253.1|mhci|seq312
antigen64|Q6GID8|BX571856.1|mhci|seq348	antigen64|Q6GID8|BX571856.1|mhci|seq348
antigen64|Q6GID8|CP000253.1|mhci|seq27	antigen64|Q6GID8|CP000253.1|mhci|seq27
antigen64|Q6GID8|CP000253.1|mhci|seq27	antigen64|Q6GID8|BX571856.1|mhci|seq27
antigen64|Q6GID8|CP000253.1|mhci|seq27	antigen64|Q6GID8|CP000253.1|mhci|seq28
antigen64|Q6GID8|CP000253.1|mhci|seq27	antigen64|Q6GID8|BX571856.1|mhci|seq28
antigen64|Q6GID8|CP000253.1|mhci|seq59	antigen64|Q6GID8|CP000253.1|mhci|seq59
antigen64|Q6GID8|CP000253.1|mhci|seq59	antigen64|Q6GID8|BX571856.1|mhci|seq59
antigen64|Q6GID8|CP000253.1|mhci|seq59	antigen64|Q6GID8|CP000253.1|mhci|seq60
antigen64|Q6GID8|CP000253.1|mhci|seq59	antigen64|Q6GID8|BX571856.1|mhci|seq60
antigen64|Q6GID8|CP000253.1|mhci|seq91	antigen64|Q6GID8|CP000253.1|mhci|seq91
antigen64|Q6GID8|CP000253.1|mhci|seq91	antigen64|Q6GID8|CP000253.1|mhci|seq92
antigen64|Q6GID8|CP000253.1|mhci|seq123	antigen64|Q6GID8|CP000253.1|mhci|seq123
antigen64|Q6GID8|CP000253.1|mhci|seq123	antigen64|Q6GID8|BX571856.1|mhci|seq123
antigen64|Q6GID8|CP000253.1|mhci|seq155	antigen64|Q6GID8|CP000253.1|mhci|seq155
antigen64|Q6GID8|CP000253.1|mhci|seq155	antigen64|Q6GID8|BX571856.1|mhci|seq155
antigen64|Q6GID8|CP000253.1|mhci|seq283	antigen64|Q6GID8|CP000253.1|mhci|seq283
antigen64|Q6GID8|CP000253.1|mhci|seq283	antigen64|Q6GID8|BX571856.1|mhci|seq291
antigen64|Q6GID8|CP000253.1|mhci|seq315	antigen64|Q6GID8|CP000253.1|mhci|seq315
antigen64|Q6GID8|CP000253.1|mhci|seq347	antigen64|Q6GID8|CP000253.1|mhci|seq347
antigen64|Q6GID8|CP000253.1|mhci|seq379	antigen64|Q6GID8|CP000253.1|mhci|seq379
antigen64|Q6GID8|CP000253.1|mhci|seq379	antigen64|Q6GID8|BX571856.1|mhci|seq379
antigen64|Q6GID8|CP000253.1|mhci|seq411	antigen64|Q6GID8|CP000253.1|mhci|seq411
antigen64|Q6GID8|CP000253.1|mhci|seq411	antigen64|Q6GID8|BX571856.1|mhci|seq411
antigen64|Q6GID8|BX571856.1|mhci|seq189	antigen64|Q6GID8|BX571856.1|mhci|seq189
antigen64|Q6GID8|BX571856.1|mhci|seq189	antigen64|Q6GID8|CP000253.1|mhci|seq185
antigen64|Q6GID8|BX571856.1|mhci|seq221	antigen64|Q6GID8|BX571856.1|mhci|seq221
antigen64|Q6GID8|BX571856.1|mhci|seq221	antigen64|Q6GID8|CP000253.1|mhci|seq217
antigen64|Q6GID8|BX571856.1|mhci|seq253	antigen64|Q6GID8|BX571856.1|mhci|seq253
antigen64|Q6GID8|BX571856.1|mhci|seq253	antigen64|Q6GID8|CP000253.1|mhci|seq249
antigen64|Q6GID8|BX571856.1|mhci|seq253	antigen64|Q6GID8|BX571856.1|mhci|seq254
antigen64|Q6GID8|BX571856.1|mhci|seq253	antigen64|Q6GID8|CP000253.1|mhci|seq250
antigen64|Q6GID8|BX571856.1|mhci|seq285	antigen64|Q6GID8|BX571856.1|mhci|seq285
antigen64|Q6GID8|BX571856.1|mhci|seq285	antigen64|Q6GID8|CP000253.1|mhci|seq277
antigen64|Q6GID8|BX571856.1|mhci|seq285	antigen64|Q6GID8|BX571856.1|mhci|seq286
antigen64|Q6GID8|BX571856.1|mhci|seq285	antigen64|Q6GID8|CP000253.1|mhci|seq278
antigen64|Q6GID8|BX571856.1|mhci|seq317	antigen64|Q6GID8|BX571856.1|mhci|seq317
antigen64|Q6GID8|BX571856.1|mhci|seq317	antigen64|Q6GID8|CP000253.1|mhci|seq313
antigen64|Q6GID8|BX571856.1|mhci|seq317	antigen64|Q6GID8|BX571856.1|mhci|seq318
antigen64|Q6GID8|BX571856.1|mhci|seq317	antigen64|Q6GID8|CP000253.1|mhci|seq314
antigen64|Q6GID8|CP000253.1|mhci|seq124	antigen64|Q6GID8|CP000253.1|mhci|seq124
antigen64|Q6GID8|CP000253.1|mhci|seq124	antigen64|Q6GID8|BX571856.1|mhci|seq124
antigen64|Q6GID8|CP000253.1|mhci|seq156	antigen64|Q6GID8|CP000253.1|mhci|seq156
antigen64|Q6GID8|CP000253.1|mhci|seq156	antigen64|Q6GID8|BX571856.1|mhci|seq156
antigen64|Q6GID8|CP000253.1|mhci|seq252	antigen64|Q6GID8|CP000253.1|mhci|seq252
antigen64|Q6GID8|CP000253.1|mhci|seq284	antigen64|Q6GID8|CP000253.1|mhci|seq284
antigen64|Q6GID8|CP000253.1|mhci|seq284	antigen64|Q6GID8|BX571856.1|mhci|seq292
antigen64|Q6GID8|CP000253.1|mhci|seq316	antigen64|Q6GID8|CP000253.1|mhci|seq316
antigen64|Q6GID8|CP000253.1|mhci|seq348	antigen64|Q6GID8|CP000253.1|mhci|seq348
antigen64|Q6GID8|CP000253.1|mhci|seq380	antigen64|Q6GID8|CP000253.1|mhci|seq380
antigen64|Q6GID8|CP000253.1|mhci|seq380	antigen64|Q6GID8|BX571856.1|mhci|seq380
antigen64|Q6GID8|CP000253.1|mhci|seq412	antigen64|Q6GID8|CP000253.1|mhci|seq412
antigen64|Q6GID8|CP000253.1|mhci|seq412	antigen64|Q6GID8|BX571856.1|mhci|seq412
antigen64|Q6GID8|BX571856.1|mhci|seq190	antigen64|Q6GID8|BX571856.1|mhci|seq190
antigen64|Q6GID8|BX571856.1|mhci|seq190	antigen64|Q6GID8|CP000253.1|mhci|seq186
antigen64|Q6GID8|BX571856.1|mhci|seq222	antigen64|Q6GID8|BX571856.1|mhci|seq222
antigen64|Q6GID8|BX571856.1|mhci|seq222	antigen64|Q6GID8|CP000253.1|mhci|seq218
antigen64|Q6GID8|CP000253.1|mhci|seq29	antigen64|Q6GID8|CP000253.1|mhci|seq29
antigen64|Q6GID8|CP000253.1|mhci|seq29	antigen64|Q6GID8|BX571856.1|mhci|seq29
antigen64|Q6GID8|CP000253.1|mhci|seq61	antigen64|Q6GID8|CP000253.1|mhci|seq61
antigen64|Q6GID8|CP000253.1|mhci|seq61	antigen64|Q6GID8|BX571856.1|mhci|seq61
antigen64|Q6GID8|CP000253.1|mhci|seq93	antigen64|Q6GID8|CP000253.1|mhci|seq93
antigen64|Q6GID8|CP000253.1|mhci|seq93	antigen64|Q6GID8|BX571856.1|mhci|seq93
antigen64|Q6GID8|CP000253.1|mhci|seq125	antigen64|Q6GID8|CP000253.1|mhci|seq125
antigen64|Q6GID8|CP000253.1|mhci|seq125	antigen64|Q6GID8|BX571856.1|mhci|seq125
antigen64|Q6GID8|CP000253.1|mhci|seq157	antigen64|Q6GID8|CP000253.1|mhci|seq157
antigen64|Q6GID8|CP000253.1|mhci|seq157	antigen64|Q6GID8|BX571856.1|mhci|seq157
antigen64|Q6GID8|CP000253.1|mhci|seq157	antigen64|Q6GID8|CP000253.1|mhci|seq158
antigen64|Q6GID8|CP000253.1|mhci|seq157	antigen64|Q6GID8|BX571856.1|mhci|seq158
antigen64|Q6GID8|CP000253.1|mhci|seq253	antigen64|Q6GID8|CP000253.1|mhci|seq253
antigen64|Q6GID8|CP000253.1|mhci|seq253	antigen64|Q6GID8|CP000253.1|mhci|seq254
antigen64|Q6GID8|CP000253.1|mhci|seq285	antigen64|Q6GID8|CP000253.1|mhci|seq285
antigen64|Q6GID8|CP000253.1|mhci|seq285	antigen64|Q6GID8|BX571856.1|mhci|seq293
antigen64|Q6GID8|CP000253.1|mhci|seq317	antigen64|Q6GID8|CP000253.1|mhci|seq317
antigen64|Q6GID8|CP000253.1|mhci|seq381	antigen64|Q6GID8|CP000253.1|mhci|seq381
antigen64|Q6GID8|CP000253.1|mhci|seq381	antigen64|Q6GID8|BX571856.1|mhci|seq381
antigen64|Q6GID8|CP000253.1|mhci|seq413	antigen64|Q6GID8|CP000253.1|mhci|seq413
antigen64|Q6GID8|CP000253.1|mhci|seq413	antigen64|Q6GID8|BX571856.1|mhci|seq413
antigen64|Q6GID8|CP000253.1|mhci|seq413	antigen64|Q6GID8|CP000253.1|mhci|seq414
antigen64|Q6GID8|CP000253.1|mhci|seq413	antigen64|Q6GID8|BX571856.1|mhci|seq414
antigen64|Q6GID8|BX571856.1|mhci|seq159	antigen64|Q6GID8|BX571856.1|mhci|seq159
antigen64|Q6GID8|BX571856.1|mhci|seq191	antigen64|Q6GID8|BX571856.1|mhci|seq191
antigen64|Q6GID8|BX571856.1|mhci|seq191	antigen64|Q6GID8|CP000253.1|mhci|seq187
antigen64|Q6GID8|BX571856.1|mhci|seq223	antigen64|Q6GID8|BX571856.1|mhci|seq223
antigen64|Q6GID8|BX571856.1|mhci|seq223	antigen64|Q6GID8|CP000253.1|mhci|seq219
antigen64|Q6GID8|BX571856.1|mhci|seq255	antigen64|Q6GID8|BX571856.1|mhci|seq255
antigen64|Q6GID8|BX571856.1|mhci|seq255	antigen64|Q6GID8|CP000253.1|mhci|seq251
antigen64|Q6GID8|BX571856.1|mhci|seq287	antigen64|Q6GID8|BX571856.1|mhci|seq287
antigen64|Q6GID8|BX571856.1|mhci|seq287	antigen64|Q6GID8|CP000253.1|mhci|seq279
antigen64|Q6GID8|BX571856.1|mhci|seq319	antigen64|Q6GID8|BX571856.1|mhci|seq319
antigen64|Q6GID8|CP000253.1|mhci|seq30	antigen64|Q6GID8|CP000253.1|mhci|seq30
antigen64|Q6GID8|CP000253.1|mhci|seq30	antigen64|Q6GID8|BX571856.1|mhci|seq30
antigen64|Q6GID8|CP000253.1|mhci|seq62	antigen64|Q6GID8|CP000253.1|mhci|seq62
antigen64|Q6GID8|CP000253.1|mhci|seq62	antigen64|Q6GID8|BX571856.1|mhci|seq62
antigen64|Q6GID8|CP000253.1|mhci|seq94	antigen64|Q6GID8|CP000253.1|mhci|seq94
antigen64|Q6GID8|CP000253.1|mhci|seq94	antigen64|Q6GID8|BX571856.1|mhci|seq94
antigen64|Q6GID8|CP000253.1|mhci|seq126	antigen64|Q6GID8|CP000253.1|mhci|seq126
antigen64|Q6GID8|CP000253.1|mhci|seq126	antigen64|Q6GID8|BX571856.1|mhci|seq126
antigen64|Q6GID8|CP000253.1|mhci|seq286	antigen64|Q6GID8|CP000253.1|mhci|seq286
antigen64|Q6GID8|CP000253.1|mhci|seq286	antigen64|Q6GID8|BX571856.1|mhci|seq294
antigen64|Q6GID8|CP000253.1|mhci|seq382	antigen64|Q6GID8|CP000253.1|mhci|seq382
antigen64|Q6GID8|CP000253.1|mhci|seq382	antigen64|Q6GID8|BX571856.1|mhci|seq382
antigen64|Q6GID8|BX571856.1|mhci|seq160	antigen64|Q6GID8|BX571856.1|mhci|seq160
antigen64|Q6GID8|BX571856.1|mhci|seq192	antigen64|Q6GID8|BX571856.1|mhci|seq192
antigen64|Q6GID8|BX571856.1|mhci|seq192	antigen64|Q6GID8|CP000253.1|mhci|seq188
antigen64|Q6GID8|BX571856.1|mhci|seq224	antigen64|Q6GID8|BX571856.1|mhci|seq224
antigen64|Q6GID8|BX571856.1|mhci|seq224	antigen64|Q6GID8|CP000253.1|mhci|seq220
antigen64|Q6GID8|BX571856.1|mhci|seq256	antigen64|Q6GID8|BX571856.1|mhci|seq256
antigen64|Q6GID8|BX571856.1|mhci|seq288	antigen64|Q6GID8|BX571856.1|mhci|seq288
antigen64|Q6GID8|BX571856.1|mhci|seq288	antigen64|Q6GID8|CP000253.1|mhci|seq280
antigen64|Q6GID8|BX571856.1|mhci|seq320	antigen64|Q6GID8|BX571856.1|mhci|seq320
antigen64|Q6GID8|CP000253.1|mhci|seq31	antigen64|Q6GID8|CP000253.1|mhci|seq31
antigen64|Q6GID8|CP000253.1|mhci|seq31	antigen64|Q6GID8|BX571856.1|mhci|seq31
antigen64|Q6GID8|CP000253.1|mhci|seq63	antigen64|Q6GID8|CP000253.1|mhci|seq63
antigen64|Q6GID8|CP000253.1|mhci|seq63	antigen64|Q6GID8|BX571856.1|mhci|seq63
antigen64|Q6GID8|CP000253.1|mhci|seq63	antigen64|Q6GID8|CP000253.1|mhci|seq64
antigen64|Q6GID8|CP000253.1|mhci|seq63	antigen64|Q6GID8|BX571856.1|mhci|seq64
antigen64|Q6GID8|CP000253.1|mhci|seq95	antigen64|Q6GID8|CP000253.1|mhci|seq95
antigen64|Q6GID8|CP000253.1|mhci|seq95	antigen64|Q6GID8|BX571856.1|mhci|seq95
antigen64|Q6GID8|CP000253.1|mhci|seq95	antigen64|Q6GID8|CP000253.1|mhci|seq96
antigen64|Q6GID8|CP000253.1|mhci|seq95	antigen64|Q6GID8|BX571856.1|mhci|seq96
antigen64|Q6GID8|CP000253.1|mhci|seq127	antigen64|Q6GID8|CP000253.1|mhci|seq127
antigen64|Q6GID8|CP000253.1|mhci|seq127	antigen64|Q6GID8|BX571856.1|mhci|seq127
antigen64|Q6GID8|CP000253.1|mhci|seq159	antigen64|Q6GID8|CP000253.1|mhci|seq159
antigen64|Q6GID8|CP000253.1|mhci|seq191	antigen64|Q6GID8|CP000253.1|mhci|seq191
antigen64|Q6GID8|CP000253.1|mhci|seq191	antigen64|Q6GID8|BX571856.1|mhci|seq195
antigen64|Q6GID8|CP000253.1|mhci|seq223	antigen64|Q6GID8|CP000253.1|mhci|seq223
antigen64|Q6GID8|CP000253.1|mhci|seq223	antigen64|Q6GID8|BX571856.1|mhci|seq227
antigen64|Q6GID8|CP000253.1|mhci|seq255	antigen64|Q6GID8|CP000253.1|mhci|seq255
antigen64|Q6GID8|CP000253.1|mhci|seq255	antigen64|Q6GID8|BX571856.1|mhci|seq259
antigen64|Q6GID8|CP000253.1|mhci|seq287	antigen64|Q6GID8|CP000253.1|mhci|seq287
antigen64|Q6GID8|CP000253.1|mhci|seq287	antigen64|Q6GID8|BX571856.1|mhci|seq295
antigen64|Q6GID8|CP000253.1|mhci|seq319	antigen64|Q6GID8|CP000253.1|mhci|seq319
antigen64|Q6GID8|CP000253.1|mhci|seq351	antigen64|Q6GID8|CP000253.1|mhci|seq351
antigen64|Q6GID8|CP000253.1|mhci|seq351	antigen64|Q6GID8|BX571856.1|mhci|seq351
antigen64|Q6GID8|CP000253.1|mhci|seq383	antigen64|Q6GID8|CP000253.1|mhci|seq383
antigen64|Q6GID8|CP000253.1|mhci|seq383	antigen64|Q6GID8|BX571856.1|mhci|seq383
antigen64|Q6GID8|BX571856.1|mhci|seq1	antigen64|Q6GID8|BX571856.1|mhci|seq1
antigen64|Q6GID8|BX571856.1|mhci|seq33	antigen64|Q6GID8|BX571856.1|mhci|seq33
antigen64|Q6GID8|BX571856.1|mhci|seq65	antigen64|Q6GID8|BX571856.1|mhci|seq65
antigen64|Q6GID8|BX571856.1|mhci|seq97	antigen64|Q6GID8|BX571856.1|mhci|seq97
