antigen76|Q5HGQ3|BA000018.3|mhci|seq495	antigen76|Q5HGQ3|BA000018.3|mhci|seq495
antigen76|Q5HGQ3|BX571856.1|mhci|seq502	antigen76|Q5HGQ3|BX571856.1|mhci|seq501
antigen76|Q5HGQ3|BX571856.1|mhci|seq534	antigen76|Q5HGQ3|BX571856.1|mhci|seq534
antigen76|Q5HGQ3|BX571856.1|mhci|seq534	antigen76|Q5HGQ3|BA000018.3|mhci|seq534
antigen76|Q5HGQ3|BA000018.3|mhci|seq124	antigen76|Q5HGQ3|BA000018.3|mhci|seq124
antigen76|Q5HGQ3|BA000018.3|mhci|seq252	antigen76|Q5HGQ3|BA000018.3|mhci|seq252
antigen76|Q5HGQ3|BX571856.1|mhci|seq23	antigen76|Q5HGQ3|BX571856.1|mhci|seq23
antigen76|Q5HGQ3|BX571856.1|mhci|seq23	antigen76|Q5HGQ3|BA000018.3|mhci|seq23
antigen76|Q5HGQ3|BX571856.1|mhci|seq55	antigen76|Q5HGQ3|BX571856.1|mhci|seq55
antigen76|Q5HGQ3|BX571856.1|mhci|seq55	antigen76|Q5HGQ3|BA000018.3|mhci|seq55
antigen76|Q5HGQ3|BX571856.1|mhci|seq215	antigen76|Q5HGQ3|BX571856.1|mhci|seq215
antigen76|Q5HGQ3|BX571856.1|mhci|seq215	antigen76|Q5HGQ3|BA000018.3|mhci|seq215
antigen76|Q5HGQ3|BX571856.1|mhci|seq247	antigen76|Q5HGQ3|BX571856.1|mhci|seq247
antigen76|Q5HGQ3|BX571856.1|mhci|seq247	antigen76|Q5HGQ3|BA000018.3|mhci|seq247
antigen76|Q5HGQ3|BX571856.1|mhci|seq279	antigen76|Q5HGQ3|BX571856.1|mhci|seq279
antigen76|Q5HGQ3|BX571856.1|mhci|seq311	antigen76|Q5HGQ3|BX571856.1|mhci|seq311
antigen76|Q5HGQ3|BX571856.1|mhci|seq311	antigen76|Q5HGQ3|BA000018.3|mhci|seq311
antigen76|Q5HGQ3|BX571856.1|mhci|seq343	antigen76|Q5HGQ3|BX571856.1|mhci|seq343
antigen76|Q5HGQ3|BX571856.1|mhci|seq343	antigen76|Q5HGQ3|BA000018.3|mhci|seq343
antigen76|Q5HGQ3|BX571856.1|mhci|seq375	antigen76|Q5HGQ3|BX571856.1|mhci|seq375
antigen76|Q5HGQ3|BX571856.1|mhci|seq375	antigen76|Q5HGQ3|BA000018.3|mhci|seq375
antigen76|Q5HGQ3|BX571856.1|mhci|seq407	antigen76|Q5HGQ3|BX571856.1|mhci|seq407
antigen76|Q5HGQ3|BX571856.1|mhci|seq439	antigen76|Q5HGQ3|BX571856.1|mhci|seq439
antigen76|Q5HGQ3|BX571856.1|mhci|seq439	antigen76|Q5HGQ3|BA000018.3|mhci|seq439
antigen76|Q5HGQ3|BX571856.1|mhci|seq471	antigen76|Q5HGQ3|BX571856.1|mhci|seq471
antigen76|Q5HGQ3|BX571856.1|mhci|seq471	antigen76|Q5HGQ3|BA000018.3|mhci|seq471
antigen76|Q5HGQ3|BX571856.1|mhci|seq503	antigen76|Q5HGQ3|BX571856.1|mhci|seq503
antigen76|Q5HGQ3|BX571856.1|mhci|seq503	antigen76|Q5HGQ3|BA000018.3|mhci|seq503
antigen76|Q5HGQ3|BX571856.1|mhci|seq535	antigen76|Q5HGQ3|BX571856.1|mhci|seq535
antigen76|Q5HGQ3|BX571856.1|mhci|seq535	antigen76|Q5HGQ3|BA000018.3|mhci|seq535
antigen76|Q5HGQ3|BA000018.3|mhci|seq125	antigen76|Q5HGQ3|BA000018.3|mhci|seq125
antigen76|Q5HGQ3|BX571856.1|mhci|seq24	antigen76|Q5HGQ3|BX571856.1|mhci|seq24
antigen76|Q5HGQ3|BX571856.1|mhci|seq24	antigen76|Q5HGQ3|BA000018.3|mhci|seq24
antigen76|Q5HGQ3|BX571856.1|mhci|seq56	antigen76|Q5HGQ3|BX571856.1|mhci|seq56
antigen76|Q5HGQ3|BX571856.1|mhci|seq56	antigen76|Q5HGQ3|BA000018.3|mhci|seq56
antigen76|Q5HGQ3|BX571856.1|mhci|seq88	antigen76|Q5HGQ3|BX571856.1|mhci|seq88
antigen76|Q5HGQ3|BX571856.1|mhci|seq88	antigen76|Q5HGQ3|BA000018.3|mhci|seq88
antigen76|Q5HGQ3|BX571856.1|mhci|seq120	antigen76|Q5HGQ3|BX571856.1|mhci|seq120
antigen76|Q5HGQ3|BX571856.1|mhci|seq120	antigen76|Q5HGQ3|BA000018.3|mhci|seq120
antigen76|Q5HGQ3|BX571856.1|mhci|seq152	antigen76|Q5HGQ3|BX571856.1|mhci|seq152
antigen76|Q5HGQ3|BX571856.1|mhci|seq152	antigen76|Q5HGQ3|BA000018.3|mhci|seq152
antigen76|Q5HGQ3|BX571856.1|mhci|seq184	antigen76|Q5HGQ3|BX571856.1|mhci|seq184
antigen76|Q5HGQ3|BX571856.1|mhci|seq184	antigen76|Q5HGQ3|BA000018.3|mhci|seq184
antigen76|Q5HGQ3|BX571856.1|mhci|seq216	antigen76|Q5HGQ3|BX571856.1|mhci|seq216
antigen76|Q5HGQ3|BX571856.1|mhci|seq216	antigen76|Q5HGQ3|BA000018.3|mhci|seq216
antigen76|Q5HGQ3|BX571856.1|mhci|seq248	antigen76|Q5HGQ3|BX571856.1|mhci|seq248
antigen76|Q5HGQ3|BX571856.1|mhci|seq248	antigen76|Q5HGQ3|BA000018.3|mhci|seq248
antigen76|Q5HGQ3|BX571856.1|mhci|seq280	antigen76|Q5HGQ3|BX571856.1|mhci|seq280
antigen76|Q5HGQ3|BX571856.1|mhci|seq312	antigen76|Q5HGQ3|BX571856.1|mhci|seq312
antigen76|Q5HGQ3|BX571856.1|mhci|seq312	antigen76|Q5HGQ3|BA000018.3|mhci|seq312
antigen76|Q5HGQ3|BX571856.1|mhci|seq344	antigen76|Q5HGQ3|BX571856.1|mhci|seq344
antigen76|Q5HGQ3|BX571856.1|mhci|seq344	antigen76|Q5HGQ3|BA000018.3|mhci|seq344
antigen76|Q5HGQ3|BX571856.1|mhci|seq376	antigen76|Q5HGQ3|BX571856.1|mhci|seq376
antigen76|Q5HGQ3|BX571856.1|mhci|seq376	antigen76|Q5HGQ3|BA000018.3|mhci|seq376
antigen76|Q5HGQ3|BX571856.1|mhci|seq408	antigen76|Q5HGQ3|BX571856.1|mhci|seq408
antigen76|Q5HGQ3|BX571856.1|mhci|seq440	antigen76|Q5HGQ3|BX571856.1|mhci|seq440
antigen76|Q5HGQ3|BX571856.1|mhci|seq440	antigen76|Q5HGQ3|BA000018.3|mhci|seq440
antigen76|Q5HGQ3|BX571856.1|mhci|seq472	antigen76|Q5HGQ3|BX571856.1|mhci|seq472
antigen76|Q5HGQ3|BX571856.1|mhci|seq472	antigen76|Q5HGQ3|BA000018.3|mhci|seq472
antigen76|Q5HGQ3|BX571856.1|mhci|seq504	antigen76|Q5HGQ3|BX571856.1|mhci|seq504
antigen76|Q5HGQ3|BX571856.1|mhci|seq504	antigen76|Q5HGQ3|BA000018.3|mhci|seq504
antigen76|Q5HGQ3|BX571856.1|mhci|seq536	antigen76|Q5HGQ3|BX571856.1|mhci|seq536
antigen76|Q5HGQ3|BX571856.1|mhci|seq536	antigen76|Q5HGQ3|BA000018.3|mhci|seq536
antigen76|Q5HGQ3|BA000018.3|mhci|seq193	antigen76|Q5HGQ3|BA000018.3|mhci|seq193
antigen76|Q5HGQ3|BA000018.3|mhci|seq193	antigen76|Q5HGQ3|BX571856.1|mhci|seq193
antigen76|Q5HGQ3|BA000018.3|mhci|seq225	antigen76|Q5HGQ3|BA000018.3|mhci|seq225
antigen76|Q5HGQ3|BA000018.3|mhci|seq225	antigen76|Q5HGQ3|BX571856.1|mhci|seq225
antigen76|Q5HGQ3|BA000018.3|mhci|seq225	antigen76|Q5HGQ3|BA000018.3|mhci|seq226
antigen76|Q5HGQ3|BA000018.3|mhci|seq225	antigen76|Q5HGQ3|BX571856.1|mhci|seq226
antigen76|Q5HGQ3|BA000018.3|mhci|seq257	antigen76|Q5HGQ3|BA000018.3|mhci|seq257
antigen76|Q5HGQ3|BA000018.3|mhci|seq257	antigen76|Q5HGQ3|BX571856.1|mhci|seq257
antigen76|Q5HGQ3|BA000018.3|mhci|seq257	antigen76|Q5HGQ3|BA000018.3|mhci|seq258
antigen76|Q5HGQ3|BA000018.3|mhci|seq257	antigen76|Q5HGQ3|BX571856.1|mhci|seq258
antigen76|Q5HGQ3|BA000018.3|mhci|seq289	antigen76|Q5HGQ3|BA000018.3|mhci|seq289
antigen76|Q5HGQ3|BA000018.3|mhci|seq289	antigen76|Q5HGQ3|BX571856.1|mhci|seq289
antigen76|Q5HGQ3|BA000018.3|mhci|seq289	antigen76|Q5HGQ3|BA000018.3|mhci|seq290
antigen76|Q5HGQ3|BA000018.3|mhci|seq289	antigen76|Q5HGQ3|BX571856.1|mhci|seq290
antigen76|Q5HGQ3|BA000018.3|mhci|seq321	antigen76|Q5HGQ3|BA000018.3|mhci|seq321
antigen76|Q5HGQ3|BA000018.3|mhci|seq321	antigen76|Q5HGQ3|BX571856.1|mhci|seq321
antigen76|Q5HGQ3|BA000018.3|mhci|seq321	antigen76|Q5HGQ3|BA000018.3|mhci|seq322
antigen76|Q5HGQ3|BA000018.3|mhci|seq321	antigen76|Q5HGQ3|BX571856.1|mhci|seq322
antigen76|Q5HGQ3|BA000018.3|mhci|seq353	antigen76|Q5HGQ3|BA000018.3|mhci|seq353
antigen76|Q5HGQ3|BA000018.3|mhci|seq353	antigen76|Q5HGQ3|BX571856.1|mhci|seq353
antigen76|Q5HGQ3|BA000018.3|mhci|seq353	antigen76|Q5HGQ3|BA000018.3|mhci|seq354
antigen76|Q5HGQ3|BA000018.3|mhci|seq353	antigen76|Q5HGQ3|BX571856.1|mhci|seq354
antigen76|Q5HGQ3|BA000018.3|mhci|seq385	antigen76|Q5HGQ3|BA000018.3|mhci|seq385
antigen76|Q5HGQ3|BA000018.3|mhci|seq385	antigen76|Q5HGQ3|BX571856.1|mhci|seq385
antigen76|Q5HGQ3|BA000018.3|mhci|seq385	antigen76|Q5HGQ3|BA000018.3|mhci|seq386
antigen76|Q5HGQ3|BA000018.3|mhci|seq385	antigen76|Q5HGQ3|BX571856.1|mhci|seq386
antigen76|Q5HGQ3|BA000018.3|mhci|seq417	antigen76|Q5HGQ3|BA000018.3|mhci|seq417
antigen76|Q5HGQ3|BA000018.3|mhci|seq417	antigen76|Q5HGQ3|BX571856.1|mhci|seq417
antigen76|Q5HGQ3|BA000018.3|mhci|seq417	antigen76|Q5HGQ3|BA000018.3|mhci|seq418
antigen76|Q5HGQ3|BA000018.3|mhci|seq417	antigen76|Q5HGQ3|BX571856.1|mhci|seq418
antigen76|Q5HGQ3|BA000018.3|mhci|seq449	antigen76|Q5HGQ3|BA000018.3|mhci|seq449
antigen76|Q5HGQ3|BA000018.3|mhci|seq449	antigen76|Q5HGQ3|BX571856.1|mhci|seq449
antigen76|Q5HGQ3|BA000018.3|mhci|seq449	antigen76|Q5HGQ3|BA000018.3|mhci|seq450
antigen76|Q5HGQ3|BA000018.3|mhci|seq449	antigen76|Q5HGQ3|BX571856.1|mhci|seq450
antigen76|Q5HGQ3|BA000018.3|mhci|seq481	antigen76|Q5HGQ3|BA000018.3|mhci|seq481
antigen76|Q5HGQ3|BA000018.3|mhci|seq481	antigen76|Q5HGQ3|BX571856.1|mhci|seq481
antigen76|Q5HGQ3|BA000018.3|mhci|seq481	antigen76|Q5HGQ3|BA000018.3|mhci|seq482
antigen76|Q5HGQ3|BA000018.3|mhci|seq481	antigen76|Q5HGQ3|BX571856.1|mhci|seq482
antigen76|Q5HGQ3|BA000018.3|mhci|seq513	antigen76|Q5HGQ3|BA000018.3|mhci|seq513
antigen76|Q5HGQ3|BA000018.3|mhci|seq513	antigen76|Q5HGQ3|BX571856.1|mhci|seq513
antigen76|Q5HGQ3|BA000018.3|mhci|seq513	antigen76|Q5HGQ3|BA000018.3|mhci|seq514
antigen76|Q5HGQ3|BA000018.3|mhci|seq513	antigen76|Q5HGQ3|BX571856.1|mhci|seq514
antigen76|Q5HGQ3|BX571856.1|mhci|seq28	antigen76|Q5HGQ3|BX571856.1|mhci|seq28
antigen76|Q5HGQ3|BX571856.1|mhci|seq28	antigen76|Q5HGQ3|BA000018.3|mhci|seq28
antigen76|Q5HGQ3|BX571856.1|mhci|seq60	antigen76|Q5HGQ3|BX571856.1|mhci|seq60
antigen76|Q5HGQ3|BX571856.1|mhci|seq60	antigen76|Q5HGQ3|BA000018.3|mhci|seq60
antigen76|Q5HGQ3|BX571856.1|mhci|seq92	antigen76|Q5HGQ3|BX571856.1|mhci|seq92
antigen76|Q5HGQ3|BX571856.1|mhci|seq92	antigen76|Q5HGQ3|BA000018.3|mhci|seq92
antigen76|Q5HGQ3|BX571856.1|mhci|seq124	antigen76|Q5HGQ3|BX571856.1|mhci|seq124
antigen76|Q5HGQ3|BX571856.1|mhci|seq156	antigen76|Q5HGQ3|BX571856.1|mhci|seq156
antigen76|Q5HGQ3|BX571856.1|mhci|seq156	antigen76|Q5HGQ3|BA000018.3|mhci|seq156
antigen76|Q5HGQ3|BX571856.1|mhci|seq188	antigen76|Q5HGQ3|BX571856.1|mhci|seq188
antigen76|Q5HGQ3|BX571856.1|mhci|seq188	antigen76|Q5HGQ3|BA000018.3|mhci|seq188
antigen76|Q5HGQ3|BX571856.1|mhci|seq220	antigen76|Q5HGQ3|BX571856.1|mhci|seq220
antigen76|Q5HGQ3|BX571856.1|mhci|seq220	antigen76|Q5HGQ3|BA000018.3|mhci|seq220
antigen76|Q5HGQ3|BX571856.1|mhci|seq252	antigen76|Q5HGQ3|BX571856.1|mhci|seq252
antigen76|Q5HGQ3|BX571856.1|mhci|seq284	antigen76|Q5HGQ3|BX571856.1|mhci|seq284
antigen76|Q5HGQ3|BX571856.1|mhci|seq284	antigen76|Q5HGQ3|BA000018.3|mhci|seq284
antigen76|Q5HGQ3|BX571856.1|mhci|seq316	antigen76|Q5HGQ3|BX571856.1|mhci|seq316
antigen76|Q5HGQ3|BX571856.1|mhci|seq316	antigen76|Q5HGQ3|BA000018.3|mhci|seq316
antigen76|Q5HGQ3|BX571856.1|mhci|seq348	antigen76|Q5HGQ3|BX571856.1|mhci|seq348
antigen76|Q5HGQ3|BX571856.1|mhci|seq348	antigen76|Q5HGQ3|BA000018.3|mhci|seq348
antigen76|Q5HGQ3|BX571856.1|mhci|seq380	antigen76|Q5HGQ3|BX571856.1|mhci|seq380
antigen76|Q5HGQ3|BX571856.1|mhci|seq380	antigen76|Q5HGQ3|BA000018.3|mhci|seq380
antigen76|Q5HGQ3|BX571856.1|mhci|seq412	antigen76|Q5HGQ3|BX571856.1|mhci|seq412
antigen76|Q5HGQ3|BX571856.1|mhci|seq412	antigen76|Q5HGQ3|BA000018.3|mhci|seq412
antigen76|Q5HGQ3|BX571856.1|mhci|seq444	antigen76|Q5HGQ3|BX571856.1|mhci|seq444
antigen76|Q5HGQ3|BX571856.1|mhci|seq444	antigen76|Q5HGQ3|BA000018.3|mhci|seq444
antigen76|Q5HGQ3|BX571856.1|mhci|seq476	antigen76|Q5HGQ3|BX571856.1|mhci|seq476
antigen76|Q5HGQ3|BX571856.1|mhci|seq476	antigen76|Q5HGQ3|BA000018.3|mhci|seq476
antigen76|Q5HGQ3|BX571856.1|mhci|seq508	antigen76|Q5HGQ3|BX571856.1|mhci|seq508
antigen76|Q5HGQ3|BX571856.1|mhci|seq508	antigen76|Q5HGQ3|BA000018.3|mhci|seq508
antigen76|Q5HGQ3|BA000018.3|mhci|seq2	antigen76|Q5HGQ3|BA000018.3|mhci|seq2
antigen76|Q5HGQ3|BA000018.3|mhci|seq2	antigen76|Q5HGQ3|BX571856.1|mhci|seq2
antigen76|Q5HGQ3|BA000018.3|mhci|seq98	antigen76|Q5HGQ3|BA000018.3|mhci|seq98
antigen76|Q5HGQ3|BA000018.3|mhci|seq98	antigen76|Q5HGQ3|BX571856.1|mhci|seq98
antigen76|Q5HGQ3|BA000018.3|mhci|seq98	antigen76|Q5HGQ3|BA000018.3|mhci|seq99
antigen76|Q5HGQ3|BA000018.3|mhci|seq98	antigen76|Q5HGQ3|BX571856.1|mhci|seq99
antigen76|Q5HGQ3|BA000018.3|mhci|seq130	antigen76|Q5HGQ3|BA000018.3|mhci|seq130
antigen76|Q5HGQ3|BA000018.3|mhci|seq130	antigen76|Q5HGQ3|BX571856.1|mhci|seq130
antigen76|Q5HGQ3|BA000018.3|mhci|seq130	antigen76|Q5HGQ3|BA000018.3|mhci|seq131
antigen76|Q5HGQ3|BA000018.3|mhci|seq130	antigen76|Q5HGQ3|BX571856.1|mhci|seq131
antigen76|Q5HGQ3|BA000018.3|mhci|seq162	antigen76|Q5HGQ3|BA000018.3|mhci|seq162
antigen76|Q5HGQ3|BA000018.3|mhci|seq162	antigen76|Q5HGQ3|BX571856.1|mhci|seq162
antigen76|Q5HGQ3|BA000018.3|mhci|seq162	antigen76|Q5HGQ3|BA000018.3|mhci|seq163
antigen76|Q5HGQ3|BA000018.3|mhci|seq162	antigen76|Q5HGQ3|BX571856.1|mhci|seq163
antigen76|Q5HGQ3|BA000018.3|mhci|seq194	antigen76|Q5HGQ3|BA000018.3|mhci|seq194
antigen76|Q5HGQ3|BA000018.3|mhci|seq194	antigen76|Q5HGQ3|BX571856.1|mhci|seq194
antigen76|Q5HGQ3|BX571856.1|mhci|seq29	antigen76|Q5HGQ3|BX571856.1|mhci|seq29
antigen76|Q5HGQ3|BX571856.1|mhci|seq29	antigen76|Q5HGQ3|BA000018.3|mhci|seq29
antigen76|Q5HGQ3|BX571856.1|mhci|seq29	antigen76|Q5HGQ3|BX571856.1|mhci|seq30
antigen76|Q5HGQ3|BX571856.1|mhci|seq29	antigen76|Q5HGQ3|BA000018.3|mhci|seq30
antigen76|Q5HGQ3|BX571856.1|mhci|seq61	antigen76|Q5HGQ3|BX571856.1|mhci|seq61
antigen76|Q5HGQ3|BX571856.1|mhci|seq61	antigen76|Q5HGQ3|BA000018.3|mhci|seq61
antigen76|Q5HGQ3|BX571856.1|mhci|seq61	antigen76|Q5HGQ3|BX571856.1|mhci|seq62
antigen76|Q5HGQ3|BX571856.1|mhci|seq61	antigen76|Q5HGQ3|BA000018.3|mhci|seq62
antigen76|Q5HGQ3|BX571856.1|mhci|seq93	antigen76|Q5HGQ3|BX571856.1|mhci|seq93
antigen76|Q5HGQ3|BX571856.1|mhci|seq93	antigen76|Q5HGQ3|BA000018.3|mhci|seq93
antigen76|Q5HGQ3|BX571856.1|mhci|seq125	antigen76|Q5HGQ3|BX571856.1|mhci|seq125
antigen76|Q5HGQ3|BX571856.1|mhci|seq157	antigen76|Q5HGQ3|BX571856.1|mhci|seq157
antigen76|Q5HGQ3|BX571856.1|mhci|seq157	antigen76|Q5HGQ3|BA000018.3|mhci|seq157
antigen76|Q5HGQ3|BX571856.1|mhci|seq189	antigen76|Q5HGQ3|BX571856.1|mhci|seq189
antigen76|Q5HGQ3|BX571856.1|mhci|seq189	antigen76|Q5HGQ3|BA000018.3|mhci|seq189
antigen76|Q5HGQ3|BX571856.1|mhci|seq221	antigen76|Q5HGQ3|BX571856.1|mhci|seq221
antigen76|Q5HGQ3|BX571856.1|mhci|seq221	antigen76|Q5HGQ3|BA000018.3|mhci|seq221
antigen76|Q5HGQ3|BX571856.1|mhci|seq221	antigen76|Q5HGQ3|BX571856.1|mhci|seq222
antigen76|Q5HGQ3|BX571856.1|mhci|seq221	antigen76|Q5HGQ3|BA000018.3|mhci|seq222
antigen76|Q5HGQ3|BX571856.1|mhci|seq253	antigen76|Q5HGQ3|BX571856.1|mhci|seq253
antigen76|Q5HGQ3|BX571856.1|mhci|seq253	antigen76|Q5HGQ3|BA000018.3|mhci|seq253
antigen76|Q5HGQ3|BX571856.1|mhci|seq253	antigen76|Q5HGQ3|BX571856.1|mhci|seq254
antigen76|Q5HGQ3|BX571856.1|mhci|seq253	antigen76|Q5HGQ3|BA000018.3|mhci|seq254
antigen76|Q5HGQ3|BX571856.1|mhci|seq285	antigen76|Q5HGQ3|BX571856.1|mhci|seq285
antigen76|Q5HGQ3|BX571856.1|mhci|seq285	antigen76|Q5HGQ3|BA000018.3|mhci|seq285
antigen76|Q5HGQ3|BX571856.1|mhci|seq285	antigen76|Q5HGQ3|BX571856.1|mhci|seq286
antigen76|Q5HGQ3|BX571856.1|mhci|seq285	antigen76|Q5HGQ3|BA000018.3|mhci|seq286
antigen76|Q5HGQ3|BX571856.1|mhci|seq317	antigen76|Q5HGQ3|BX571856.1|mhci|seq317
antigen76|Q5HGQ3|BX571856.1|mhci|seq317	antigen76|Q5HGQ3|BA000018.3|mhci|seq317
antigen76|Q5HGQ3|BX571856.1|mhci|seq317	antigen76|Q5HGQ3|BX571856.1|mhci|seq318
antigen76|Q5HGQ3|BX571856.1|mhci|seq317	antigen76|Q5HGQ3|BA000018.3|mhci|seq318
antigen76|Q5HGQ3|BX571856.1|mhci|seq349	antigen76|Q5HGQ3|BX571856.1|mhci|seq349
antigen76|Q5HGQ3|BX571856.1|mhci|seq349	antigen76|Q5HGQ3|BA000018.3|mhci|seq349
antigen76|Q5HGQ3|BX571856.1|mhci|seq349	antigen76|Q5HGQ3|BX571856.1|mhci|seq350
antigen76|Q5HGQ3|BX571856.1|mhci|seq349	antigen76|Q5HGQ3|BA000018.3|mhci|seq350
antigen76|Q5HGQ3|BX571856.1|mhci|seq381	antigen76|Q5HGQ3|BX571856.1|mhci|seq381
antigen76|Q5HGQ3|BX571856.1|mhci|seq381	antigen76|Q5HGQ3|BA000018.3|mhci|seq381
antigen76|Q5HGQ3|BX571856.1|mhci|seq381	antigen76|Q5HGQ3|BX571856.1|mhci|seq382
antigen76|Q5HGQ3|BX571856.1|mhci|seq381	antigen76|Q5HGQ3|BA000018.3|mhci|seq382
antigen76|Q5HGQ3|BX571856.1|mhci|seq413	antigen76|Q5HGQ3|BX571856.1|mhci|seq413
antigen76|Q5HGQ3|BX571856.1|mhci|seq413	antigen76|Q5HGQ3|BA000018.3|mhci|seq413
antigen76|Q5HGQ3|BX571856.1|mhci|seq413	antigen76|Q5HGQ3|BX571856.1|mhci|seq414
antigen76|Q5HGQ3|BX571856.1|mhci|seq413	antigen76|Q5HGQ3|BA000018.3|mhci|seq414
antigen76|Q5HGQ3|BX571856.1|mhci|seq445	antigen76|Q5HGQ3|BX571856.1|mhci|seq445
antigen76|Q5HGQ3|BX571856.1|mhci|seq445	antigen76|Q5HGQ3|BA000018.3|mhci|seq445
antigen76|Q5HGQ3|BX571856.1|mhci|seq445	antigen76|Q5HGQ3|BX571856.1|mhci|seq446
antigen76|Q5HGQ3|BX571856.1|mhci|seq445	antigen76|Q5HGQ3|BA000018.3|mhci|seq446
antigen76|Q5HGQ3|BX571856.1|mhci|seq477	antigen76|Q5HGQ3|BX571856.1|mhci|seq477
antigen76|Q5HGQ3|BX571856.1|mhci|seq477	antigen76|Q5HGQ3|BA000018.3|mhci|seq477
antigen76|Q5HGQ3|BX571856.1|mhci|seq477	antigen76|Q5HGQ3|BX571856.1|mhci|seq478
antigen76|Q5HGQ3|BX571856.1|mhci|seq477	antigen76|Q5HGQ3|BA000018.3|mhci|seq478
antigen76|Q5HGQ3|BX571856.1|mhci|seq509	antigen76|Q5HGQ3|BX571856.1|mhci|seq509
antigen76|Q5HGQ3|BX571856.1|mhci|seq509	antigen76|Q5HGQ3|BA000018.3|mhci|seq509
antigen76|Q5HGQ3|BX571856.1|mhci|seq509	antigen76|Q5HGQ3|BX571856.1|mhci|seq510
antigen76|Q5HGQ3|BX571856.1|mhci|seq509	antigen76|Q5HGQ3|BA000018.3|mhci|seq510
antigen76|Q5HGQ3|BA000018.3|mhci|seq3	antigen76|Q5HGQ3|BA000018.3|mhci|seq3
antigen76|Q5HGQ3|BA000018.3|mhci|seq3	antigen76|Q5HGQ3|BX571856.1|mhci|seq3
antigen76|Q5HGQ3|BA000018.3|mhci|seq35	antigen76|Q5HGQ3|BA000018.3|mhci|seq35
antigen76|Q5HGQ3|BA000018.3|mhci|seq35	antigen76|Q5HGQ3|BX571856.1|mhci|seq35
antigen76|Q5HGQ3|BA000018.3|mhci|seq67	antigen76|Q5HGQ3|BA000018.3|mhci|seq67
antigen76|Q5HGQ3|BA000018.3|mhci|seq67	antigen76|Q5HGQ3|BX571856.1|mhci|seq67
antigen76|Q5HGQ3|BA000018.3|mhci|seq195	antigen76|Q5HGQ3|BA000018.3|mhci|seq195
antigen76|Q5HGQ3|BA000018.3|mhci|seq195	antigen76|Q5HGQ3|BX571856.1|mhci|seq195
antigen76|Q5HGQ3|BA000018.3|mhci|seq227	antigen76|Q5HGQ3|BA000018.3|mhci|seq227
antigen76|Q5HGQ3|BA000018.3|mhci|seq227	antigen76|Q5HGQ3|BX571856.1|mhci|seq227
antigen76|Q5HGQ3|BA000018.3|mhci|seq259	antigen76|Q5HGQ3|BA000018.3|mhci|seq259
antigen76|Q5HGQ3|BA000018.3|mhci|seq291	antigen76|Q5HGQ3|BA000018.3|mhci|seq291
antigen76|Q5HGQ3|BA000018.3|mhci|seq291	antigen76|Q5HGQ3|BX571856.1|mhci|seq291
antigen76|Q5HGQ3|BA000018.3|mhci|seq323	antigen76|Q5HGQ3|BA000018.3|mhci|seq323
antigen76|Q5HGQ3|BA000018.3|mhci|seq323	antigen76|Q5HGQ3|BX571856.1|mhci|seq323
antigen76|Q5HGQ3|BA000018.3|mhci|seq355	antigen76|Q5HGQ3|BA000018.3|mhci|seq355
antigen76|Q5HGQ3|BA000018.3|mhci|seq355	antigen76|Q5HGQ3|BX571856.1|mhci|seq355
antigen76|Q5HGQ3|BA000018.3|mhci|seq387	antigen76|Q5HGQ3|BA000018.3|mhci|seq387
antigen76|Q5HGQ3|BA000018.3|mhci|seq387	antigen76|Q5HGQ3|BX571856.1|mhci|seq387
antigen76|Q5HGQ3|BA000018.3|mhci|seq419	antigen76|Q5HGQ3|BA000018.3|mhci|seq419
antigen76|Q5HGQ3|BA000018.3|mhci|seq451	antigen76|Q5HGQ3|BA000018.3|mhci|seq451
antigen76|Q5HGQ3|BA000018.3|mhci|seq451	antigen76|Q5HGQ3|BX571856.1|mhci|seq451
antigen76|Q5HGQ3|BA000018.3|mhci|seq483	antigen76|Q5HGQ3|BA000018.3|mhci|seq483
antigen76|Q5HGQ3|BA000018.3|mhci|seq483	antigen76|Q5HGQ3|BX571856.1|mhci|seq483
antigen76|Q5HGQ3|BA000018.3|mhci|seq515	antigen76|Q5HGQ3|BA000018.3|mhci|seq515
antigen76|Q5HGQ3|BA000018.3|mhci|seq515	antigen76|Q5HGQ3|BX571856.1|mhci|seq515
antigen76|Q5HGQ3|BX571856.1|mhci|seq94	antigen76|Q5HGQ3|BX571856.1|mhci|seq94
antigen76|Q5HGQ3|BX571856.1|mhci|seq94	antigen76|Q5HGQ3|BA000018.3|mhci|seq94
antigen76|Q5HGQ3|BX571856.1|mhci|seq94	antigen76|Q5HGQ3|BX571856.1|mhci|seq95
antigen76|Q5HGQ3|BX571856.1|mhci|seq94	antigen76|Q5HGQ3|BA000018.3|mhci|seq95
antigen76|Q5HGQ3|BX571856.1|mhci|seq126	antigen76|Q5HGQ3|BX571856.1|mhci|seq126
antigen76|Q5HGQ3|BX571856.1|mhci|seq126	antigen76|Q5HGQ3|BA000018.3|mhci|seq126
antigen76|Q5HGQ3|BX571856.1|mhci|seq126	antigen76|Q5HGQ3|BX571856.1|mhci|seq127
antigen76|Q5HGQ3|BX571856.1|mhci|seq126	antigen76|Q5HGQ3|BA000018.3|mhci|seq127
antigen76|Q5HGQ3|BX571856.1|mhci|seq158	antigen76|Q5HGQ3|BX571856.1|mhci|seq158
