antigen46|Q2YWH4|BX571856.1|mhci|seq709	antigen46|Q2YWH4|BX571856.1|mhci|seq709
antigen46|Q2YWH4|BX571856.1|mhci|seq593	antigen46|Q2YWH4|BX571856.1|mhci|seq593
antigen46|Q2YWH4|BX571856.1|mhci|seq1009	antigen46|Q2YWH4|BX571856.1|mhci|seq1009
antigen46|Q2YWH4|CP000253.1|mhci|seq182	antigen46|Q2YWH4|CP000253.1|mhci|seq182
antigen46|Q2YWH4|CP000253.1|mhci|seq310	antigen46|Q2YWH4|CP000253.1|mhci|seq310
antigen46|Q2YWH4|CP000253.1|mhci|seq406	antigen46|Q2YWH4|CP000253.1|mhci|seq406
antigen46|Q2YWH4|CP000253.1|mhci|seq502	antigen46|Q2YWH4|CP000253.1|mhci|seq502
antigen46|Q2YWH4|CP000253.1|mhci|seq598	antigen46|Q2YWH4|CP000253.1|mhci|seq598
antigen46|Q2YWH4|CP000253.1|mhci|seq854	antigen46|Q2YWH4|CP000253.1|mhci|seq854
antigen46|Q2YWH4|CP000253.1|mhci|seq854	antigen46|Q2YWH4|BX571856.1|mhci|seq850
antigen46|Q2YWH4|CP000253.1|mhci|seq854	antigen46|Q2YWH4|CP002114.3|mhci|seq846
antigen46|Q2YWH4|CP000253.1|mhci|seq919	antigen46|Q2YWH4|CP000253.1|mhci|seq919
antigen46|Q2YWH4|CP000253.1|mhci|seq919	antigen46|Q2YWH4|CP002114.3|mhci|seq915
antigen46|Q2YWH4|CP002114.3|mhci|seq133	antigen46|Q2YWH4|CP002114.3|mhci|seq133
antigen46|Q2YWH4|CP002114.3|mhci|seq165	antigen46|Q2YWH4|CP002114.3|mhci|seq165
antigen46|Q2YWH4|CP002114.3|mhci|seq229	antigen46|Q2YWH4|CP002114.3|mhci|seq229
antigen46|Q2YWH4|CP002114.3|mhci|seq261	antigen46|Q2YWH4|CP002114.3|mhci|seq261
antigen46|Q2YWH4|CP002114.3|mhci|seq261	antigen46|Q2YWH4|CP000253.1|mhci|seq265
antigen46|Q2YWH4|CP002114.3|mhci|seq453	antigen46|Q2YWH4|CP002114.3|mhci|seq453
antigen46|Q2YWH4|CP002114.3|mhci|seq485	antigen46|Q2YWH4|CP002114.3|mhci|seq485
antigen46|Q2YWH4|CP002114.3|mhci|seq549	antigen46|Q2YWH4|CP002114.3|mhci|seq549
antigen46|Q2YWH4|CP002114.3|mhci|seq581	antigen46|Q2YWH4|CP002114.3|mhci|seq581
antigen46|Q2YWH4|CP002114.3|mhci|seq709	antigen46|Q2YWH4|CP002114.3|mhci|seq709
antigen46|Q2YWH4|CP002114.3|mhci|seq1029	antigen46|Q2YWH4|CP002114.3|mhci|seq1029
antigen46|Q2YWH4|CP002114.3|mhci|seq1029	antigen46|Q2YWH4|CP000253.1|mhci|seq1029
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|CP002114.3|mhci|seq1125
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|CP000253.1|mhci|seq1125
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|CP000253.1|mhci|seq1126
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|BX571856.1|mhci|seq1126
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|CP002114.3|mhci|seq1126
antigen46|Q2YWH4|CP002114.3|mhci|seq1125	antigen46|Q2YWH4|BX571856.1|mhci|seq1125
antigen46|Q2YWH4|BX571856.1|mhci|seq179	antigen46|Q2YWH4|BX571856.1|mhci|seq179
antigen46|Q2YWH4|BX571856.1|mhci|seq179	antigen46|Q2YWH4|CP000253.1|mhci|seq179
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|BX571856.1|mhci|seq403
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|CP002114.3|mhci|seq403
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|CP002114.3|mhci|seq404
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|CP000253.1|mhci|seq408
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|BX571856.1|mhci|seq404
antigen46|Q2YWH4|BX571856.1|mhci|seq403	antigen46|Q2YWH4|CP000253.1|mhci|seq407
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|BX571856.1|mhci|seq595
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|CP002114.3|mhci|seq595
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|CP002114.3|mhci|seq596
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|CP000253.1|mhci|seq600
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|BX571856.1|mhci|seq596
antigen46|Q2YWH4|BX571856.1|mhci|seq595	antigen46|Q2YWH4|CP000253.1|mhci|seq599
antigen46|Q2YWH4|BX571856.1|mhci|seq1139	antigen46|Q2YWH4|BX571856.1|mhci|seq1139
antigen46|Q2YWH4|BX571856.1|mhci|seq1140	antigen46|Q2YWH4|BX571856.1|mhci|seq1140
antigen46|Q2YWH4|CP000253.1|mhci|seq281	antigen46|Q2YWH4|CP000253.1|mhci|seq281
antigen46|Q2YWH4|CP000253.1|mhci|seq601	antigen46|Q2YWH4|CP000253.1|mhci|seq601
antigen46|Q2YWH4|CP000253.1|mhci|seq601	antigen46|Q2YWH4|CP002114.3|mhci|seq597
antigen46|Q2YWH4|CP000253.1|mhci|seq921	antigen46|Q2YWH4|CP000253.1|mhci|seq921
antigen46|Q2YWH4|CP000253.1|mhci|seq921	antigen46|Q2YWH4|CP002114.3|mhci|seq917
antigen46|Q2YWH4|CP002114.3|mhci|seq167	antigen46|Q2YWH4|CP002114.3|mhci|seq167
antigen46|Q2YWH4|CP002114.3|mhci|seq679	antigen46|Q2YWH4|CP002114.3|mhci|seq679
antigen46|Q2YWH4|BX571856.1|mhci|seq21	antigen46|Q2YWH4|BX571856.1|mhci|seq21
antigen46|Q2YWH4|BX571856.1|mhci|seq181	antigen46|Q2YWH4|BX571856.1|mhci|seq181
antigen46|Q2YWH4|BX571856.1|mhci|seq277	antigen46|Q2YWH4|BX571856.1|mhci|seq277
antigen46|Q2YWH4|BX571856.1|mhci|seq469	antigen46|Q2YWH4|BX571856.1|mhci|seq469
antigen46|Q2YWH4|BX571856.1|mhci|seq182	antigen46|Q2YWH4|BX571856.1|mhci|seq182
antigen46|Q2YWH4|BX571856.1|mhci|seq278	antigen46|Q2YWH4|BX571856.1|mhci|seq278
antigen46|Q2YWH4|BX571856.1|mhci|seq470	antigen46|Q2YWH4|BX571856.1|mhci|seq470
antigen46|Q2YWH4|BX571856.1|mhci|seq566	antigen46|Q2YWH4|BX571856.1|mhci|seq566
antigen46|Q2YWH4|BX571856.1|mhci|seq598	antigen46|Q2YWH4|BX571856.1|mhci|seq598
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|CP000253.1|mhci|seq283
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|CP002114.3|mhci|seq279
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|CP002114.3|mhci|seq280
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|BX571856.1|mhci|seq276
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|CP000253.1|mhci|seq284
antigen46|Q2YWH4|CP000253.1|mhci|seq283	antigen46|Q2YWH4|BX571856.1|mhci|seq275
antigen46|Q2YWH4|CP000253.1|mhci|seq603	antigen46|Q2YWH4|CP000253.1|mhci|seq603
antigen46|Q2YWH4|CP000253.1|mhci|seq603	antigen46|Q2YWH4|CP002114.3|mhci|seq599
antigen46|Q2YWH4|CP000253.1|mhci|seq699	antigen46|Q2YWH4|CP000253.1|mhci|seq699
antigen46|Q2YWH4|CP000253.1|mhci|seq731	antigen46|Q2YWH4|CP000253.1|mhci|seq731
antigen46|Q2YWH4|CP000253.1|mhci|seq859	antigen46|Q2YWH4|CP000253.1|mhci|seq859
antigen46|Q2YWH4|CP000253.1|mhci|seq891	antigen46|Q2YWH4|CP000253.1|mhci|seq891
antigen46|Q2YWH4|CP000253.1|mhci|seq891	antigen46|Q2YWH4|CP002114.3|mhci|seq887
antigen46|Q2YWH4|CP000253.1|mhci|seq1179	antigen46|Q2YWH4|CP000253.1|mhci|seq1179
antigen46|Q2YWH4|CP002114.3|mhci|seq41	antigen46|Q2YWH4|CP002114.3|mhci|seq41
antigen46|Q2YWH4|CP002114.3|mhci|seq73	antigen46|Q2YWH4|CP002114.3|mhci|seq73
antigen46|Q2YWH4|CP002114.3|mhci|seq169	antigen46|Q2YWH4|CP002114.3|mhci|seq169
antigen46|Q2YWH4|CP002114.3|mhci|seq233	antigen46|Q2YWH4|CP002114.3|mhci|seq233
antigen46|Q2YWH4|CP002114.3|mhci|seq233	antigen46|Q2YWH4|CP000253.1|mhci|seq237
antigen46|Q2YWH4|CP002114.3|mhci|seq297	antigen46|Q2YWH4|CP002114.3|mhci|seq297
antigen46|Q2YWH4|CP002114.3|mhci|seq297	antigen46|Q2YWH4|CP000253.1|mhci|seq301
antigen46|Q2YWH4|CP002114.3|mhci|seq617	antigen46|Q2YWH4|CP002114.3|mhci|seq617
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|BX571856.1|mhci|seq279
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|BX571856.1|mhci|seq280
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|CP002114.3|mhci|seq263
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|CP000253.1|mhci|seq267
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|CP002114.3|mhci|seq264
antigen46|Q2YWH4|BX571856.1|mhci|seq279	antigen46|Q2YWH4|CP000253.1|mhci|seq268
antigen46|Q2YWH4|BX571856.1|mhci|seq599	antigen46|Q2YWH4|BX571856.1|mhci|seq599
antigen46|Q2YWH4|BX571856.1|mhci|seq631	antigen46|Q2YWH4|BX571856.1|mhci|seq631
antigen46|Q2YWH4|BX571856.1|mhci|seq663	antigen46|Q2YWH4|BX571856.1|mhci|seq663
antigen46|Q2YWH4|BX571856.1|mhci|seq695	antigen46|Q2YWH4|BX571856.1|mhci|seq695
antigen46|Q2YWH4|BX571856.1|mhci|seq727	antigen46|Q2YWH4|BX571856.1|mhci|seq727
antigen46|Q2YWH4|BX571856.1|mhci|seq855	antigen46|Q2YWH4|BX571856.1|mhci|seq855
antigen46|Q2YWH4|BX571856.1|mhci|seq887	antigen46|Q2YWH4|BX571856.1|mhci|seq887
antigen46|Q2YWH4|BX571856.1|mhci|seq919	antigen46|Q2YWH4|BX571856.1|mhci|seq919
antigen46|Q2YWH4|CP000253.1|mhci|seq604	antigen46|Q2YWH4|CP000253.1|mhci|seq604
antigen46|Q2YWH4|CP000253.1|mhci|seq604	antigen46|Q2YWH4|CP002114.3|mhci|seq600
antigen46|Q2YWH4|CP000253.1|mhci|seq700	antigen46|Q2YWH4|CP000253.1|mhci|seq700
antigen46|Q2YWH4|CP000253.1|mhci|seq732	antigen46|Q2YWH4|CP000253.1|mhci|seq732
antigen46|Q2YWH4|CP000253.1|mhci|seq860	antigen46|Q2YWH4|CP000253.1|mhci|seq860
antigen46|Q2YWH4|CP000253.1|mhci|seq892	antigen46|Q2YWH4|CP000253.1|mhci|seq892
antigen46|Q2YWH4|CP000253.1|mhci|seq892	antigen46|Q2YWH4|CP002114.3|mhci|seq888
antigen46|Q2YWH4|CP000253.1|mhci|seq1180	antigen46|Q2YWH4|CP000253.1|mhci|seq1180
antigen46|Q2YWH4|CP002114.3|mhci|seq42	antigen46|Q2YWH4|CP002114.3|mhci|seq42
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|CP002114.3|mhci|seq170
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|CP000253.1|mhci|seq170
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|CP000253.1|mhci|seq171
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|BX571856.1|mhci|seq171
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|CP002114.3|mhci|seq171
antigen46|Q2YWH4|CP002114.3|mhci|seq170	antigen46|Q2YWH4|BX571856.1|mhci|seq170
antigen46|Q2YWH4|CP002114.3|mhci|seq234	antigen46|Q2YWH4|CP002114.3|mhci|seq234
antigen46|Q2YWH4|CP002114.3|mhci|seq234	antigen46|Q2YWH4|CP000253.1|mhci|seq238
antigen46|Q2YWH4|CP002114.3|mhci|seq298	antigen46|Q2YWH4|CP002114.3|mhci|seq298
antigen46|Q2YWH4|CP002114.3|mhci|seq298	antigen46|Q2YWH4|CP000253.1|mhci|seq302
antigen46|Q2YWH4|CP000253.1|mhci|seq591	antigen46|Q2YWH4|CP000253.1|mhci|seq591
antigen46|Q2YWH4|CP000253.1|mhci|seq591	antigen46|Q2YWH4|BX571856.1|mhci|seq587
antigen46|Q2YWH4|CP000253.1|mhci|seq591	antigen46|Q2YWH4|CP002114.3|mhci|seq587
antigen46|Q2YWH4|CP000253.1|mhci|seq687	antigen46|Q2YWH4|CP000253.1|mhci|seq687
antigen46|Q2YWH4|CP000253.1|mhci|seq687	antigen46|Q2YWH4|BX571856.1|mhci|seq683
antigen46|Q2YWH4|CP000253.1|mhci|seq687	antigen46|Q2YWH4|CP002114.3|mhci|seq683
antigen46|Q2YWH4|CP000253.1|mhci|seq719	antigen46|Q2YWH4|CP000253.1|mhci|seq719
antigen46|Q2YWH4|CP000253.1|mhci|seq751	antigen46|Q2YWH4|CP000253.1|mhci|seq751
antigen46|Q2YWH4|CP000253.1|mhci|seq751	antigen46|Q2YWH4|BX571856.1|mhci|seq747
antigen46|Q2YWH4|CP000253.1|mhci|seq751	antigen46|Q2YWH4|CP002114.3|mhci|seq747
antigen46|Q2YWH4|CP000253.1|mhci|seq783	antigen46|Q2YWH4|CP000253.1|mhci|seq783
antigen46|Q2YWH4|CP000253.1|mhci|seq783	antigen46|Q2YWH4|BX571856.1|mhci|seq779
antigen46|Q2YWH4|CP000253.1|mhci|seq783	antigen46|Q2YWH4|CP002114.3|mhci|seq779
antigen46|Q2YWH4|CP000253.1|mhci|seq815	antigen46|Q2YWH4|CP000253.1|mhci|seq815
antigen46|Q2YWH4|CP000253.1|mhci|seq815	antigen46|Q2YWH4|BX571856.1|mhci|seq811
antigen46|Q2YWH4|CP000253.1|mhci|seq815	antigen46|Q2YWH4|CP002114.3|mhci|seq811
antigen46|Q2YWH4|CP000253.1|mhci|seq847	antigen46|Q2YWH4|CP000253.1|mhci|seq847
antigen46|Q2YWH4|CP000253.1|mhci|seq847	antigen46|Q2YWH4|BX571856.1|mhci|seq843
antigen46|Q2YWH4|CP000253.1|mhci|seq847	antigen46|Q2YWH4|CP002114.3|mhci|seq839
antigen46|Q2YWH4|CP000253.1|mhci|seq879	antigen46|Q2YWH4|CP000253.1|mhci|seq879
antigen46|Q2YWH4|CP000253.1|mhci|seq879	antigen46|Q2YWH4|BX571856.1|mhci|seq875
antigen46|Q2YWH4|CP000253.1|mhci|seq879	antigen46|Q2YWH4|CP002114.3|mhci|seq875
antigen46|Q2YWH4|CP000253.1|mhci|seq943	antigen46|Q2YWH4|CP000253.1|mhci|seq943
antigen46|Q2YWH4|CP000253.1|mhci|seq943	antigen46|Q2YWH4|BX571856.1|mhci|seq939
antigen46|Q2YWH4|CP000253.1|mhci|seq943	antigen46|Q2YWH4|CP002114.3|mhci|seq939
antigen46|Q2YWH4|CP000253.1|mhci|seq975	antigen46|Q2YWH4|CP000253.1|mhci|seq975
antigen46|Q2YWH4|CP000253.1|mhci|seq975	antigen46|Q2YWH4|BX571856.1|mhci|seq971
antigen46|Q2YWH4|CP000253.1|mhci|seq975	antigen46|Q2YWH4|CP002114.3|mhci|seq971
antigen46|Q2YWH4|CP000253.1|mhci|seq1071	antigen46|Q2YWH4|CP000253.1|mhci|seq1071
antigen46|Q2YWH4|CP002114.3|mhci|seq61	antigen46|Q2YWH4|CP002114.3|mhci|seq61
antigen46|Q2YWH4|CP002114.3|mhci|seq221	antigen46|Q2YWH4|CP002114.3|mhci|seq221
antigen46|Q2YWH4|CP002114.3|mhci|seq445	antigen46|Q2YWH4|CP002114.3|mhci|seq445
antigen46|Q2YWH4|CP002114.3|mhci|seq445	antigen46|Q2YWH4|CP000253.1|mhci|seq449
antigen46|Q2YWH4|CP002114.3|mhci|seq541	antigen46|Q2YWH4|CP002114.3|mhci|seq541
antigen46|Q2YWH4|CP002114.3|mhci|seq541	antigen46|Q2YWH4|BX571856.1|mhci|seq533
antigen46|Q2YWH4|CP002114.3|mhci|seq541	antigen46|Q2YWH4|CP000253.1|mhci|seq541
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|CP002114.3|mhci|seq989
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|CP000253.1|mhci|seq989
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|BX571856.1|mhci|seq985
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|CP002114.3|mhci|seq990
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|CP000253.1|mhci|seq990
antigen46|Q2YWH4|CP002114.3|mhci|seq989	antigen46|Q2YWH4|BX571856.1|mhci|seq986
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP002114.3|mhci|seq1021
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP000253.1|mhci|seq1021
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|BX571856.1|mhci|seq1017
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP000253.1|mhci|seq708
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|BX571856.1|mhci|seq704
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP002114.3|mhci|seq704
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP002114.3|mhci|seq1022
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP000253.1|mhci|seq1022
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|BX571856.1|mhci|seq1018
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP000253.1|mhci|seq709
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|BX571856.1|mhci|seq705
antigen46|Q2YWH4|CP002114.3|mhci|seq1021	antigen46|Q2YWH4|CP002114.3|mhci|seq705
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|CP002114.3|mhci|seq1053
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|CP000253.1|mhci|seq1053
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|BX571856.1|mhci|seq1049
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|CP002114.3|mhci|seq1054
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|CP000253.1|mhci|seq1054
antigen46|Q2YWH4|CP002114.3|mhci|seq1053	antigen46|Q2YWH4|BX571856.1|mhci|seq1050
antigen46|Q2YWH4|BX571856.1|mhci|seq235	antigen46|Q2YWH4|BX571856.1|mhci|seq235
antigen46|Q2YWH4|BX571856.1|mhci|seq459	antigen46|Q2YWH4|BX571856.1|mhci|seq459
antigen46|Q2YWH4|BX571856.1|mhci|seq651	antigen46|Q2YWH4|BX571856.1|mhci|seq651
antigen46|Q2YWH4|BX571856.1|mhci|seq715	antigen46|Q2YWH4|BX571856.1|mhci|seq715
antigen46|Q2YWH4|BX571856.1|mhci|seq907	antigen46|Q2YWH4|BX571856.1|mhci|seq907
antigen46|Q2YWH4|BX571856.1|mhci|seq907	antigen46|Q2YWH4|CP000253.1|mhci|seq911
antigen46|Q2YWH4|CP000253.1|mhci|seq80	antigen46|Q2YWH4|CP000253.1|mhci|seq80
antigen46|Q2YWH4|CP000253.1|mhci|seq80	antigen46|Q2YWH4|BX571856.1|mhci|seq80
antigen46|Q2YWH4|CP000253.1|mhci|seq80	antigen46|Q2YWH4|CP002114.3|mhci|seq76
antigen46|Q2YWH4|CP000253.1|mhci|seq112	antigen46|Q2YWH4|CP000253.1|mhci|seq112
antigen46|Q2YWH4|CP000253.1|mhci|seq112	antigen46|Q2YWH4|BX571856.1|mhci|seq112
antigen46|Q2YWH4|CP000253.1|mhci|seq112	antigen46|Q2YWH4|CP002114.3|mhci|seq108
antigen46|Q2YWH4|CP000253.1|mhci|seq592	antigen46|Q2YWH4|CP000253.1|mhci|seq592
antigen46|Q2YWH4|CP000253.1|mhci|seq592	antigen46|Q2YWH4|BX571856.1|mhci|seq588
antigen46|Q2YWH4|CP000253.1|mhci|seq592	antigen46|Q2YWH4|CP002114.3|mhci|seq588
antigen46|Q2YWH4|CP000253.1|mhci|seq688	antigen46|Q2YWH4|CP000253.1|mhci|seq688
antigen46|Q2YWH4|CP000253.1|mhci|seq688	antigen46|Q2YWH4|BX571856.1|mhci|seq684
antigen46|Q2YWH4|CP000253.1|mhci|seq688	antigen46|Q2YWH4|CP002114.3|mhci|seq684
antigen46|Q2YWH4|CP000253.1|mhci|seq720	antigen46|Q2YWH4|CP000253.1|mhci|seq720
antigen46|Q2YWH4|CP000253.1|mhci|seq752	antigen46|Q2YWH4|CP000253.1|mhci|seq752
antigen46|Q2YWH4|CP000253.1|mhci|seq752	antigen46|Q2YWH4|BX571856.1|mhci|seq748
antigen46|Q2YWH4|CP000253.1|mhci|seq752	antigen46|Q2YWH4|CP002114.3|mhci|seq748
antigen46|Q2YWH4|CP000253.1|mhci|seq784	antigen46|Q2YWH4|CP000253.1|mhci|seq784
antigen46|Q2YWH4|CP000253.1|mhci|seq784	antigen46|Q2YWH4|BX571856.1|mhci|seq780
antigen46|Q2YWH4|CP000253.1|mhci|seq784	antigen46|Q2YWH4|CP002114.3|mhci|seq780
antigen46|Q2YWH4|CP000253.1|mhci|seq816	antigen46|Q2YWH4|CP000253.1|mhci|seq816
antigen46|Q2YWH4|CP000253.1|mhci|seq816	antigen46|Q2YWH4|BX571856.1|mhci|seq812
antigen46|Q2YWH4|CP000253.1|mhci|seq816	antigen46|Q2YWH4|CP002114.3|mhci|seq812
antigen46|Q2YWH4|CP000253.1|mhci|seq848	antigen46|Q2YWH4|CP000253.1|mhci|seq848
antigen46|Q2YWH4|CP000253.1|mhci|seq848	antigen46|Q2YWH4|BX571856.1|mhci|seq844
antigen46|Q2YWH4|CP000253.1|mhci|seq848	antigen46|Q2YWH4|CP002114.3|mhci|seq840
antigen46|Q2YWH4|CP000253.1|mhci|seq880	antigen46|Q2YWH4|CP000253.1|mhci|seq880
antigen46|Q2YWH4|CP000253.1|mhci|seq880	antigen46|Q2YWH4|BX571856.1|mhci|seq876
antigen46|Q2YWH4|CP000253.1|mhci|seq880	antigen46|Q2YWH4|CP002114.3|mhci|seq876
antigen46|Q2YWH4|CP000253.1|mhci|seq912	antigen46|Q2YWH4|CP000253.1|mhci|seq912
antigen46|Q2YWH4|CP000253.1|mhci|seq944	antigen46|Q2YWH4|CP000253.1|mhci|seq944
antigen46|Q2YWH4|CP000253.1|mhci|seq944	antigen46|Q2YWH4|BX571856.1|mhci|seq940
antigen46|Q2YWH4|CP000253.1|mhci|seq944	antigen46|Q2YWH4|CP002114.3|mhci|seq940
antigen46|Q2YWH4|CP000253.1|mhci|seq976	antigen46|Q2YWH4|CP000253.1|mhci|seq976
antigen46|Q2YWH4|CP000253.1|mhci|seq976	antigen46|Q2YWH4|BX571856.1|mhci|seq972
antigen46|Q2YWH4|CP000253.1|mhci|seq976	antigen46|Q2YWH4|CP002114.3|mhci|seq972
antigen46|Q2YWH4|CP002114.3|mhci|seq62	antigen46|Q2YWH4|CP002114.3|mhci|seq62
antigen46|Q2YWH4|CP002114.3|mhci|seq222	antigen46|Q2YWH4|CP002114.3|mhci|seq222
antigen46|Q2YWH4|CP002114.3|mhci|seq446	antigen46|Q2YWH4|CP002114.3|mhci|seq446
antigen46|Q2YWH4|CP002114.3|mhci|seq446	antigen46|Q2YWH4|CP000253.1|mhci|seq450
antigen46|Q2YWH4|CP002114.3|mhci|seq542	antigen46|Q2YWH4|CP002114.3|mhci|seq542
antigen46|Q2YWH4|CP002114.3|mhci|seq542	antigen46|Q2YWH4|BX571856.1|mhci|seq534
antigen46|Q2YWH4|CP002114.3|mhci|seq542	antigen46|Q2YWH4|CP000253.1|mhci|seq542
antigen46|Q2YWH4|BX571856.1|mhci|seq76	antigen46|Q2YWH4|BX571856.1|mhci|seq76
antigen46|Q2YWH4|BX571856.1|mhci|seq236	antigen46|Q2YWH4|BX571856.1|mhci|seq236
antigen46|Q2YWH4|BX571856.1|mhci|seq652	antigen46|Q2YWH4|BX571856.1|mhci|seq652
antigen46|Q2YWH4|BX571856.1|mhci|seq716	antigen46|Q2YWH4|BX571856.1|mhci|seq716
antigen46|Q2YWH4|BX571856.1|mhci|seq908	antigen46|Q2YWH4|BX571856.1|mhci|seq908
antigen46|Q2YWH4|BX571856.1|mhci|seq302	antigen46|Q2YWH4|BX571856.1|mhci|seq302
antigen46|Q2YWH4|BX571856.1|mhci|seq334	antigen46|Q2YWH4|BX571856.1|mhci|seq334
antigen46|Q2YWH4|BX571856.1|mhci|seq430	antigen46|Q2YWH4|BX571856.1|mhci|seq430
antigen46|Q2YWH4|BX571856.1|mhci|seq494	antigen46|Q2YWH4|BX571856.1|mhci|seq494
antigen46|Q2YWH4|CP000253.1|mhci|seq211	antigen46|Q2YWH4|CP000253.1|mhci|seq211
antigen46|Q2YWH4|CP000253.1|mhci|seq211	antigen46|Q2YWH4|CP002114.3|mhci|seq207
antigen46|Q2YWH4|CP000253.1|mhci|seq339	antigen46|Q2YWH4|CP000253.1|mhci|seq339
antigen46|Q2YWH4|CP000253.1|mhci|seq339	antigen46|Q2YWH4|CP002114.3|mhci|seq335
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|CP000253.1|mhci|seq371
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|BX571856.1|mhci|seq367
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|CP002114.3|mhci|seq363
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|CP000253.1|mhci|seq372
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|BX571856.1|mhci|seq368
antigen46|Q2YWH4|CP000253.1|mhci|seq371	antigen46|Q2YWH4|CP002114.3|mhci|seq364
antigen46|Q2YWH4|CP000253.1|mhci|seq467	antigen46|Q2YWH4|CP000253.1|mhci|seq467
antigen46|Q2YWH4|CP000253.1|mhci|seq659	antigen46|Q2YWH4|CP000253.1|mhci|seq659
antigen46|Q2YWH4|CP000253.1|mhci|seq819	antigen46|Q2YWH4|CP000253.1|mhci|seq819
