Gene,Description
mvaA,
mvaS,
MW0925,
trxB,
trxA,
guaA,
gmk,
adk,
relA,
nrdI,
nrdE,
nrdF,
tmk,
smbA,
thyA,
cmk,
ctrA,
pta,
MW1007,
MW1094,
MW1631,
MW2054,
folB,
MW0521,
dfrA,
folC,
folK,
folP,
MW0888,
MW1545,
nadE,
MW1854,
metK,
MW0795,
MW0796,
MW0797,
MW0798,
MW0799,
MW1572,
fer,
ribC,
lysP,
MW1126,
bex,
obg,
MW1617,
MW1548,
MW1364,
cysE,
MW1860,
MW0976,
MW1973,
MW0014,
MW0232,
MW0681,
MW0708,
MW1104,
MW1240,
MW1350,
MW1512,
MW1549,
MW1621,
MW1697,
MW1727,
MW1788,
MW1832,
MW1871,
MW1872,
MW1975,
MW1976,
MW2040,
MW2090,
MW2217,
MW0003,
MW0434,
MW0544,
MW0732,
MW0813,
MW0837,
MW0867,
MW0902,
MW0973,
MW0986,
MW1009,
MW1042,
MW1106,
MW1150,
MW1151,
MW1483,
MW1522,
MW1567,
MW1596,
MW1610,
MW1692,
MW1747,
MW1748,
MW2381,
MW2422,
MW0338,
MW1250,
hld,
MW2218,
MW2221,
MW2353,
Mu50 gene,
SAV0001,
SAV0002,
SAV0016,
SAV0366,
SAV0478,
SAV0484,
SAV1212,
SAV1264,
SAV1453,
SAV1562,
SAV1587,
SAV1684,
SAV1685,
SAV1703,
SAV1904,
SAV1905,
SAV0005,
SAV0006,
SAV1250,
SAV1354,
SAV1355,
SAV1473,
SAV1641,
SAV1642,
SAV1449,
SAV1616,
SAV2490,
SAV0542,
SAV0543,
SAV1561,
SAV2224,
SAV1089,
SAV1239,
SAV1240,
SAV1275,
SAV1457,
SAV1504,
SAV1621,
SAV1621,
SAV2712,
SAV0018,
SAV0019,
SAV1266,
SAV1498,
SAV0616,
SAV0780,
SAV0997,
SAV1309,
SAV1362,
SAV1339,
SAV1610,
SAV0365,
SAV0367,
SAV0537,
SAV0538,
SAV0539,
SAV0540,
SAV0545,
SAV0546,
SAV1128,
SAV1224,
SAV1238,
SAV1241,
SAV1256,
SAV1273,
SAV1575,
SAV1645,
SAV1647,
SAV1678,
SAV1679,
SAV1719,
SAV2120,
SAV2217,
SAV2218,
SAV2223,
SAV2225,
SAV2226,
SAV2227,
SAV2231,
SAV2232,
SAV2233,
SAV2234,
SAV2235,
SAV2236,
SAV2237,
SAV2238,
SAV2239,
SAV2240,
SAV2241,
SAV2242,
SAV2243,
SAV2244,
SAV2245,
SAV2246,
SAV2247,
SAV2248,
SAV2249,
SAV2250,
SAV2714,
SAV0501,
SAV0009,
SAV0490,
SAV0517,
SAV0528,
SAV0530,
SAV0607,
SAV0996,
SAV1138,
SAV1139,
SAV1193,
SAV1263,
SAV1618,
SAV1630,
SAV1631,
SAV1663,
SAV1683,
SAV1729,
SAV1760,
SAV1899,
SAV1900,
SAV1901,
SAV0509,
SAV0502,
SAV0548,
SAV1257,
SAV1259,
SAV1269,
SAV1528,
SAV1633,
SAV1680,
SAV2118,
SAV2228,
SAV1579,
SAV1580,
SAV1581,
SAV2029,
SAV2030,
SAV1888,
SAV1091,
SAV0534,
SAV0753,
SAV0965,
SAV1237,
SAV1637,
SAV2090,
SAV0983,
SAV0984,
SAV1011,
SAV1229,
SAV1230,
SAV1232,
SAV1456,
SAV1700,
SAV1701,
SAV2071,
SAV2098,
SAV0944,
SAV1261,
SAV1283,
SAV1727,
SAV1898,
SAV0499,
SAV2154,
SAV2161,
SAV0738,
SAV1018,
SAV1151,
SAV1182,
SAV1183,
SAV1260,
SAV1418,
SAV1450,
SAV1632,
SAV1740,
SAV1892,
SAV2082,
SAV2083,
SAV2099,
SAV2262,
SAV1374,
SAV1375,
SAV0254,
SAV0257,
SAV0636,
SAV0637,
SAV0638,
SAV0639,
SAV0641,
SAV0747,
SAV0932,
SAV0933,
SAV0934,
SAV0935,
SAV0507,
SAV1180,
SAV1189,
SAV1185,
SAV1186,
SAV1717,
SAV2709,
SAV1184,
SAV1446,
SAV1113,
SAV1181,
SAV2711,
SAV1057,
SAV1360,
SAV1481,
SAV0500,
SAV0773,
SAV0774,
SAV0775,
SAV0776,
SAV0962,
SAV1342,
SAV1697,
SAV1698,
SAV2125,
SAV0772,
SAV1222,
SAV1505,
SAV1511,
SAV2336,
SAV1245,
SAV1310,
SAV0766,
SAV0760,
SAV1083,
SAV0255,
SAV0354,
SAV0590,
SAV0591,
SAV0592,
SAV2346,
SAV2545,
SAV2546,
SAV1041,
SAV0764,
SAV1145,
SAV0391,
SAV1209,
SAV2229,
SAV1634,
SAV0730,
SAV0731,
SAV0732,
SAV0482,
SAV1258,
SAV1427,
SAV1478,
SAV2127,
SAV0588,
SAV1125,
SAV1211,
SAV1688,
SAV2130,
SAV0515,
SAV0566,
SAV1426,
SAV1662,
SAV0516,
SAV0514,
SAV1007,
SAV1594,
SAV1912,
SAV1913,
SAV1790,
SAV0842,
SAV0843,
SAV0844,
SAV0845,
SAV0846,
SAV1622,
SAV1484,
SAV1272,
SAV1681,
SAV1243,
SAV1567,
SAV1644,
SAV1673,
SAV1597,
SAV1475,
SAV0529,
SAV1919,
SAV1093,
SAV2049,
SAV0014,
SAV0256,
SAV0719,
SAV0746,
SAV1221,
SAV1353,
SAV1460,
SAV1560,
SAV1598,
SAV1677,
SAV1754,
SAV1789,
SAV1847,
SAV1891,
SAV1930,
SAV1931,
SAV2051,
SAV2052,
SAV2116,
SAV2163,
SAV2299,
SAV0003,
SAV0479,
SAV0589,
SAV0770,
SAV0931,
SAV0955,
SAV0985,
SAV1022,
SAV1090,
SAV1103,
SAV1127,
SAV1160,
SAV1223,
SAV1267,
SAV1268,
SAV1531,
SAV1570,
SAV1617,
SAV1646,
SAV1666,
SAV1749,
SAV0418,
SAV2476,
SAV2457,
SAV2504,
SAV0362,
SAV1363,
SAV2035,
SAV2300,
SAV2303,
dnaA,
dnaN,
dnaC,
ssb,
dnaX,
holB,
priA,
polC,
SA1286,
dnaG,
SA1415,
dnaI,
dnaB,
dnaE,
lig,
pcrA,
gyrB,
gyrA,
SA1093,
parE,
parC,
hu,
ruvB,
ruvA,
recU,
SA1444,
SA2278,
rpoB,
rpoC,
sigA,
rpoA,
SA0940,
rimM,
trmD,
SA1118,
SA1290,
SA1335,
SA1449,
SA1449,
thdF,
rnpA,
vicR,
vicK,
nusA,
SA1329,
sarA,
rnr,
SA0856,
glnR,
msrR,
lexA,
greA,
rpsF,
rpsR,
rplK,
rplA,
rplJ,
rplL,
rpsL,
rpsG,
rpmF,
rpmB,
rpsP,
rplS,
rpsB,
rpsO,
rpsU,
rpmA,
rplU,
rplT,
rpmI,
rpsD,
rpmE,
rpsI,
rplM,
rplQ,
rpsK,
rpsM,
rpmJ,
rplO,
rpmD,
rpsE,
rplR,
rplF,
rpsH,
rpsN,
rplE,
rplX,
rplN,
rpsQ,
rpmC,
rplP,
rpsC,
rplV,
rpsS,
rplB,
rplW,
rplD,
rplC,
rpmH,
rplY,
serS,
metS,
lysS,
gltX,
cysS,
argS,
trpS,
pheS,
pheT,
ileS,
proS,
alaS,
aspS,
hisS,
valS,
thrS,
tyrS,
leuS,
SA1715,
SA1716,
SA1717,
SA0467,
pth,
tufA,
SA1100,
frr,
infB,
SA1359,
SA1459,
infC,
prfA,
infA,
dnaJ,
dnaK,
grpE,
groEL,
groES,
map,
pdf1,
secE,
secA,
spsB,
ffh,
secF,
SA1893,
FabH,
fab,
fabI,
plsX,
fabD,
hmrB,
SA1289,
accA,
SA1523,
dpj,
SA1901,
SA0805,
cdsA,
pgsA,
SA1548,
SA1714,
gcaD,
glmS,
glmM(femD),
SA0693,
murE,
murI,
mraY,
murD,
uppS,
murG,
pbp2,
lytH,
murC,
SA1708,
murF,
ddlA,
murA,
fmhB,
femA,
femB,
SA0244,
SA0247,
tagA,
tagH,
tagG,
tagB,
tagD,
llm,
dltA,
dltB,
dltC,
dltD,
SA0465,
ftsL,
SA1032,
ftsA,
ftsZ,
SA1539,
SA2498,
div1b,
SA1279,
SA0962,
pbpA,
gidA,
fmtA,
fmtC,
ebpS,
prs,
pgk,
tpi,
pgm,
eno,
pgi,
tkt,
pykA,
pfk,
fbaA,
gap,
cfxE,
SA1336,
gnd,
SA2127,
sucC,
glnA,
SA0721,
hprK,
ptsH,
SA0245,
SA0342,
mvaK1,
mvaD,
mvaK2,
fni,
mvaA,
mvaS,
SA0894,
trxB,
trxA,
guaA,
gmk,
adk,
relA,
nrdI,
nrdE,
nrdF,
tmk,
smbA,
thyA,
cmk,
ctrA,
pta,
SA0973,
SA1054,
SA1511,
SA1932,
folB,
SA0524,
dfrA,
folC,
folK,
folP,
SA0865,
SA1422,
nadE,
SA1729,
metK,
SA0774,
SA0775,
SA0776,
SA0777,
SA0778,
SA1450,
fer,
ribC,
lysP,
SA1086,
bex,
obg,
SA1497,
SA1425,
SA1307,
cysE,
SA1735,
pdhA,
SA1854,
SA0013,
SA0246,
SA0674,
SA0701,
SA1064,
SA1187,
SA1293,
SA1389,
SA1426,
SA1501,
SA1575,
SA1607,
SA1665,
SA1707,
SA1744,
SA1745,
SA1856,
SA1857,
SA1918,
SA1967,
ssaA,
SA0003,
SA0437,
SA0546,
SA0725,
SA0792,
SA0816,
SA0844,
SA0878,
SA0941,
SA0954,
SA0975,
SAS035,
SA1066,
SA1110,
SA1111,
SA1361,
SA1399,
SA1445,
SA1472,
SAS051,
SA1570,
SA0379,
SA2264,
SA2246,
SA2292,
SA0350,
SAS044,
hld,
SAS083,
SA2096,
DNAA,
DNAC,
dnaX,
pcrA,
rpoB,
rpoC,
rpoA,
ykqC,
rnpA,
rpsF,
rpsR,
rplK,
rplJ,
rpmA,
rplT,
rpmI,
rpsD,
ytiA,
rpsI,
rplM,
rplQ,
rpsK,
rpsM,
rplO,
rpsE,
rplR,
rplF,
rpsH,
rplE,
rplX,
rplN,
rpsQ,
rplP,
rpsC,
rplV,
rpsS,
rplB,
rplD,
rplC,
serS,
lysS,
cysS,
pheS,
ileS,
proS,
alaS,
valS,
thrS,
tyrS,
tufA,
tsf,
secA,
yhdO,
murB,
ytwP,
BAB44590.1,
adk,
yurY,
yurX,
obg,
ywfL,
ysxB,
SAUSA300_0001,
SAUSA300_0002,
SAUSA300_0003,
SAUSA300_0004,
SAUSA300_0005,
SAUSA300_0006,
SAUSA300_0009,
SAUSA300_0013,
SAUSA300_0014,
SAUSA300_0015,
SAUSA300_0016,
SAUSA300_0020,
SAUSA300_0021,
SAUSA300_0022,
SAUSA300_0023,
SAUSA300_0024,
SAUSA300_0089,
SAUSA300_0248,
SAUSA300_0249,
SAUSA300_0250,
SAUSA300_0251,
SAUSA300_0252,
SAUSA300_0363,
SAUSA300_0366,
SAUSA300_0367,
SAUSA300_0368,
SAUSA300_0386,
SAUSA300_0387,
SAUSA300_0388,
SAUSA300_0389,
SAUSA300_0425,
SAUSA300_0426,
SAUSA300_0452,
SAUSA300_0453,
SAUSA300_0454,
SAUSA300_0458,
SAUSA300_0459,
SAUSA300_0460,
SAUSA300_0461,
SAUSA300_0462,
SAUSA300_0463,
SAUSA300_0467,
SAUSA300_0468,
SAUSA300_0477,
SAUSA300_0478,
SAUSA300_0479,
SAUSA300_0480,
SAUSA300_0481,
SAUSA300_0482,
SAUSA300_0483,
SAUSA300_0484,
SAUSA300_0485,
SAUSA300_0487,
SAUSA300_0492,
SAUSA300_0493,
SAUSA300_0494,
SAUSA300_0496,
SAUSA300_0513,
SAUSA300_0514,
SAUSA300_0515,
SAUSA300_0516,
SAUSA300_0517,
SAUSA300_0518,
SAUSA300_0522,
SAUSA300_0523,
SAUSA300_0524,
SAUSA300_0525,
SAUSA300_0527,
SAUSA300_0528,
SAUSA300_0529,
SAUSA300_0530,
SAUSA300_0531,
SAUSA300_0532,
SAUSA300_0533,
SAUSA300_0553,
SAUSA300_0552,
SAUSA300_0551,
SAUSA300_0570,
SAUSA300_0571,
SAUSA300_0572,
SAUSA300_0573,
SAUSA300_0574,
SAUSA300_0595,
SAUSA300_0596,
SAUSA300_0623,
SAUSA300_0624,
SAUSA300_0625,
SAUSA300_0626,
SAUSA300_0627,
SAUSA300_0628,
SAUSA300_0636,
SAUSA300_0637,
SAUSA300_0638,
SAUSA300_0639,
SAUSA300_0703,
SAUSA300_0715,
SAUSA300_0716,
SAUSA300_0717,
SAUSA300_0722,
SAUSA300_0731,
SAUSA300_0737,
SAUSA300_0738,
SAUSA300_0743,
SAUSA300_0744,
SAUSA300_0745,
SAUSA300_0746,
SAUSA300_0747,
SAUSA300_0748,
SAUSA300_0749,
SAUSA300_0750,
SAUSA300_0755,
SAUSA300_0756,
SAUSA300_0757,
SAUSA300_0758,
SAUSA300_0759,
SAUSA300_0760,
SAUSA300_0761,
SAUSA300_0763,
SAUSA300_0764,
SAUSA300_0765,
SAUSA300_0818,
SAUSA300_0819,
SAUSA300_0820,
SAUSA300_0821,
SAUSA300_0822,
SAUSA300_0835,
SAUSA300_0836,
SAUSA300_0837,
SAUSA300_0838,
SAUSA300_0858,
SAUSA300_0865,
SAUSA300_0866,
SAUSA300_0867,
SAUSA300_0868,
SAUSA300_0885,
SAUSA300_0886,
SAUSA300_0897,
SAUSA300_0898,
SAUSA300_0906,
SAUSA300_0907,
SAUSA300_0908,
SAUSA300_0909,
SAUSA300_0910,
SAUSA300_0911,
SAUSA300_0912,
SAUSA300_0919,
SAUSA300_0920,
SAUSA300_0921,
SAUSA300_0922,
SAUSA300_0944,
SAUSA300_0945,
SAUSA300_0946,
SAUSA300_0947,
SAUSA300_0948,
SAUSA300_0983,
SAUSA300_0984,
SAUSA300_0989,
SAUSA300_0990,
SAUSA300_0991,
SAUSA300_1013,
SAUSA300_1023,
SAUSA300_1024,
SAUSA300_1026,
SAUSA300_1027,
SAUSA300_1037,
SAUSA300_1038,
SAUSA300_1044,
SAUSA300_1049,
SAUSA300_1050,
SAUSA300_1051,
SAUSA300_1072,
SAUSA300_1073,
SAUSA300_1074,
SAUSA300_1075,
SAUSA300_1076,
SAUSA300_1077,
SAUSA300_1078,
SAUSA300_1079,
SAUSA300_1080,
SAUSA300_1081,
SAUSA300_1082,
SAUSA300_1083,
SAUSA300_1084,
SAUSA300_1085,
SAUSA300_1086,
SAUSA300_1087,
SAUSA300_1102,
SAUSA300_1103,
SAUSA300_1104,
SAUSA300_1105,
SAUSA300_1108,
SAUSA300_1109,
SAUSA300_1110,
SAUSA300_1111,
SAUSA300_1112,
SAUSA300_1113,
SAUSA300_1114,
SAUSA300_1115,
SAUSA300_1116,
SAUSA300_1117,
SAUSA300_1121,
SAUSA300_1122,
SAUSA300_1123,
SAUSA300_1124,
SAUSA300_1125,
SAUSA300_1127,
SAUSA300_1128,
SAUSA300_1129,
SAUSA300_1130,
SAUSA300_1131,
SAUSA300_1132,
SAUSA300_1133,
SAUSA300_1134,
SAUSA300_1136,
SAUSA300_1137,
SAUSA300_1142,
SAUSA300_1143,
SAUSA300_1149,
SAUSA300_1150,
SAUSA300_1151,
SAUSA300_1152,
SAUSA300_1153,
SAUSA300_1154,
SAUSA300_1155,
SAUSA300_1156,
SAUSA300_1157,
SAUSA300_1158,
SAUSA300_1159,
SAUSA300_1160,
SAUSA300_1161,
SAUSA300_1162,
SAUSA300_1166,
SAUSA300_1168,
SAUSA300_1169,
SAUSA300_1170,
SAUSA300_1171,
SAUSA300_1172,
SAUSA300_1173,
SAUSA300_1174,
SAUSA300_1175,
SAUSA300_1176,
SAUSA300_1200,
SAUSA300_1201,
SAUSA300_1237,
SAUSA300_1239,
SAUSA300_1249,
SAUSA300_1250,
SAUSA300_1251,
SAUSA300_1257,
SAUSA300_1269,
SAUSA300_1270,
SAUSA300_1312,
SAUSA300_1311,
SAUSA300_1310,
SAUSA300_1319,
SAUSA300_1318,
SAUSA300_1320,
SAUSA300_1340,
SAUSA300_1341,
SAUSA300_1344,
SAUSA300_1343,
SAUSA300_1342,
SAUSA300_1349,
SAUSA300_1348,
SAUSA300_1347,
SAUSA300_1346,
SAUSA300_1354,
SAUSA300_1353,
SAUSA300_1352,
SAUSA300_1351,
SAUSA300_1360,
SAUSA300_1359,
SAUSA300_1362,
SAUSA300_1364,
SAUSA300_1363,
SAUSA300_1367,
SAUSA300_1366,
SAUSA300_1373,
SAUSA300_1453,
SAUSA300_1454,
SAUSA300_1460,
SAUSA300_1459,
SAUSA300_1467,
SAUSA300_1466,
SAUSA300_1465,
SAUSA300_1464,
SAUSA300_1476,
SAUSA300_1475,
SAUSA300_1474,
SAUSA300_1473,
SAUSA300_1472,
SAUSA300_1471,
SAUSA300_1470,
SAUSA300_1491,
SAUSA300_1490,
SAUSA300_1492,
SAUSA300_1493,
SAUSA300_1511,
SAUSA300_1520,
SAUSA300_1519,
SAUSA300_1521,
SAUSA300_1522,
SAUSA300_1525,
SAUSA300_1531,
SAUSA300_1530,
SAUSA300_1529,
SAUSA300_1528,
SAUSA300_1527,
SAUSA300_1526,
SAUSA300_1535,
SAUSA300_1542,
SAUSA300_1541,
SAUSA300_1540,
SAUSA300_1539,
SAUSA300_1538,
SAUSA300_1537,
SAUSA300_1536,
SAUSA300_1545,
SAUSA300_1548,
SAUSA300_1547,
SAUSA300_1546,
SAUSA300_1558,
SAUSA300_1557,
SAUSA300_1556,
SAUSA300_1555,
SAUSA300_1554,
SAUSA300_1553,
SAUSA300_1552,
SAUSA300_1551,
SAUSA300_1550,
SAUSA300_1549,
SAUSA300_1571,
SAUSA300_1570,
SAUSA300_1569,
SAUSA300_1568,
SAUSA300_1567,
SAUSA300_1575,
SAUSA300_1574,
SAUSA300_1573,
SAUSA300_1572,
SAUSA300_1579,
SAUSA300_1578,
SAUSA300_1587,
SAUSA300_1586,
SAUSA300_1590,
SAUSA300_1589,
SAUSA300_1588,
SAUSA300_1593,
SAUSA300_1600,
SAUSA300_1599,
SAUSA300_1598,
SAUSA300_1597,
SAUSA300_1596,
SAUSA300_1595,
SAUSA300_1594,
SAUSA300_1603,
SAUSA300_1602,
SAUSA300_1601,
SAUSA300_1611,
SAUSA300_1610,
SAUSA300_1619,
SAUSA300_1618,
SAUSA300_1617,
SAUSA300_1616,
SAUSA300_1615,
SAUSA300_1614,
SAUSA300_1620,
SAUSA300_1624,
SAUSA300_1623,
SAUSA300_1627,
SAUSA300_1626,
SAUSA300_1625,
SAUSA300_1629,
SAUSA300_1632,
SAUSA300_1631,
SAUSA300_1630,
SAUSA300_1636,
SAUSA300_1635,
SAUSA300_1634,
SAUSA300_1645,
SAUSA300_1644,
SAUSA300_1647,
SAUSA300_1646,
SAUSA300_1650,
SAUSA300_1649,
SAUSA300_1658,
SAUSA300_1657,
SAUSA300_1666,
SAUSA300_1673,
SAUSA300_1675,
SAUSA300_1691,
SAUSA300_1690,
SAUSA300_1689,
SAUSA300_1688,
SAUSA300_1687,
SAUSA300_1686,
SAUSA300_1700,
SAUSA300_1699,
SAUSA300_1698,
SAUSA300_1704,
SAUSA300_1703,
SAUSA300_1729,
SAUSA300_1730,
SAUSA300_1748,
SAUSA300_1749,
SAUSA300_1793,
SAUSA300_1792,
SAUSA300_1791,
SAUSA300_1869,
SAUSA300_1873,
SAUSA300_1872,
SAUSA300_1879,
SAUSA300_1878,
SAUSA300_1882,
SAUSA300_1881,
SAUSA300_1880,
SAUSA300_1887,
SAUSA300_1886,
SAUSA300_1885,
SAUSA300_1884,
SAUSA300_1894,
SAUSA300_1893,
SAUSA300_1899,
SAUSA300_1900,
SAUSA300_1914,
SAUSA300_1913,
SAUSA300_1912,
SAUSA300_1911,
SAUSA300_1910,
SAUSA300_1983,
SAUSA300_1982,
SAUSA300_1988,
SAUSA300_2005,
SAUSA300_2004,
SAUSA300_2003,
SAUSA300_2002,
SAUSA300_2031,
SAUSA300_2030,
SAUSA300_2029,
SAUSA300_2028,
SAUSA300_2027,
SAUSA300_2039,
SAUSA300_2038,
SAUSA300_2046,
SAUSA300_2056,
SAUSA300_2055,
SAUSA300_2054,
SAUSA300_2062,
SAUSA300_2061,
SAUSA300_2060,
SAUSA300_2059,
SAUSA300_2058,
SAUSA300_2057,
SAUSA300_2073,
SAUSA300_2072,
SAUSA300_2071,
SAUSA300_2070,
SAUSA300_2069,
SAUSA300_2074,
SAUSA300_2079,
SAUSA300_2081,
SAUSA300_2084,
SAUSA300_2104,
SAUSA300_2113,
SAUSA300_2112,
SAUSA300_2111,
SAUSA300_2172,
SAUSA300_2171,
SAUSA300_2182,
SAUSA300_2181,
SAUSA300_2180,
SAUSA300_2179,
SAUSA300_2178,
SAUSA300_2177,
SAUSA300_2205,
SAUSA300_2204,
SAUSA300_2203,
SAUSA300_2202,
SAUSA300_2201,
SAUSA300_2200,
SAUSA300_2199,
SAUSA300_2198,
SAUSA300_2197,
SAUSA300_2196,
SAUSA300_2195,
SAUSA300_2194,
SAUSA300_2193,
SAUSA300_2192,
SAUSA300_2191,
SAUSA300_2190,
SAUSA300_2189,
SAUSA300_2188,
SAUSA300_2187,
SAUSA300_2186,
SAUSA300_2185,
SAUSA300_2184,
SAUSA300_2183,
SAUSA300_2214,
SAUSA300_2213,
SAUSA300_2238,
SAUSA300_2239,
SAUSA300_2240,
SAUSA300_2241,
SAUSA300_2242,
SAUSA300_2243,
SAUSA300_2244,
SAUSA300_2283,
SAUSA300_2293,
SAUSA300_2292,
SAUSA300_2483,
SAUSA300_2484,
SAUSA300_2646,
SAUSA300_2645,
SAUSA300_2644,
SAUSA300_2643,
SAUSA300_2647,
SAUSA300_2648,
dnaA,
dnaN,
0003,
recF,
gyrB,
gyrA,
serS,
0013,
gdpP,
rplI,
dnaB,
walR,
walK,
walH,
walI,
walJ,
0089,
tarF,
tarI,
ispD,
tarJ,
tarL,
tarS,
0363,
rpsF,
ssb,
rpsR,
xpt,
pbuX,
guaB,
guaA,
mpsA,
mpsB,
dnaX,
0453,
recR,
0458,
tmk,
pstA,
holB,
0462,
0463,
metS,
0468,
glmU,
prs,
rplY,
pth,
mfd,
0482,
0483,
0484,
divIC,
tilS,
folP,
folB,
folK,
lysS,
gltX,
cysE,
cysS,
0516,
0517,
0518,
rplK,
rplA,
rplJ,
rplL,
rpoB,
rpoC,
rplGB,
rpsL,
0531,
fusA,
tuf,
0553,
0552,
folE2,
eutD,
lipL,
mvaK1,
mvaD,
mvaK2,
0595,
argS,
tagA,
tagH,
tagG,
tagB,
tagX,
tagD,
dhaK,
dhal,
dhaM,
0639,
ltaS,
nrdI,
nrdE,
nrdF,
murB,
tagO,
secA,
prfB,
hprK,
lgt,
0745,
0746,
trxB,
0748,
0749,
0750,
gapR,
gapA,
pgk,
tpiA,
pgm,
eno,
0761,
est,
rnr,
smpB,
sufC,
sufD,
sufS,
sufU,
sufB,
dltA,
dltB,
dltC,
dltD,
0858,
pgi,
0866,
spsA,
spsB,
fabH,
fabF,
trpS,
spxA,
0906,
relQ,
ppnK,
0909,
mgtE,
cpaA,
fabI,
murE,
0920,
prfC,
0922,
menA,
0945,
menD,
0947,
menB,
ptsH,
ptsI,
rnjA,
rpoY,
def,
ftsW,
rsmD,
coaD,
1026,
rpmF,
pheS,
pheT,
trxA,
murI,
1050,
1051,
mraZ,
mraW,
ftsL,
pbpA,
mraY,
murD,
divIB,
ftsA,
ftsZ,
1081,
1082,
sepF,
1084,
1085,
1086,
ileS,
gmk,
rpoZ,
coaBC,
priA,
def,
fmt,
sun,
rlmN,
stpI,
pknB,
rsgA,
rpe,
thiN,
rpmB,
fapR,
plsX,
fabD,
fabG,
acpP,
smc,
ftsY,
1129,
ffh,
rpsP,
rimM,
trmD,
rplS,
rbgA,
rnhB,
dprA,
topA,
rpsB,
tsf,
pyrH,
frr,
uppS,
cdsA,
rasP,
proS,
polC,
rimP,
nusA,
1160,
1161,
infB,
rpsO,
rnjB,
ftsK,
1170,
1171,
1172,
1173,
1174,
rodZ,
pgsA,
glnR,
glnA,
lexA,
tkt,
plsY,
parE,
parC,
msrR,
femA,
femB,
1312,
murG,
1310,
folA,
1318,
thyA,
recU,
pbp2,
dnaD,
nth,
1342,
1349,
papS,
birA,
1346,
1354,
1353,
1352,
1351,
ubiE,
1359,
hup,
engA,
gpsA,
cmk,
1366,
fer,
rnz,
zwf,
1460,
gnd,
ipdA,
bfmBAA,
1465,
bmfBB,
accB,
accC,
1474,
nusB,
xseA,
xseB,
1470,
pepQ2,
efp,
1492,
1493,
rpmG,
trmK,
1519,
rpoD,
dnaG,
glyS,
phoH,
ybeY,
dgcA,
cdd,
era,
recO,
rpsU,
hrcA,
grpE,
dnaK,
dnaJ,
prmA,
rsmE,
mtaB,
rpsT,
comEB,
comEC,
holA,
mtnN,
1557,
1556,
aroE,
1554,
nadD,
1552,
1551,
1550,
1549,
1571,
1570,
1569,
udk,
greA,
alaS,
1574,
1573,
1572,
iscS,
mnmA,
hisS,
aspS,
relA,
dtd,
lytH,
secF,
obgE,
1599,
ruvA,
ruvB,
queA,
tgt,
yajC,
rplU,
1602,
rpmA,
valS,
folC,
hemA,
hemX,
hemC,
hemD,
hemB,
hemL,
engB,
1624,
1623,
infC,
rpmI,
rplT,
thrS,
nrdR,
dnaB,
dnaI,
polA,
mutM,
coaE,
pfkA,
pykA,
accD,
accA,
1650,
dnaE,
1658,
ackA,
rpsD,
plsC,
tyrS,
1691,
1690,
1689,
1688,
1687,
murC,
murJ,
1699,
1698,
leuS,
1703,
1729,
metK,
1748,
1749,
1793,
1792,
cbf1,
map,
murT,
gatD,
dgkB,
rumA,
gatC,
gatA,
gatB,
pcrB,
pcrA,
ligA,
1884,
pncB,
nadE,
pncA,
ppaC,
pmtR,
pmtA,
pmtB,
pmtC,
pmtD,
groES,
groEL,
hld,
tsaE,
tsaB,
rimI,
gcp,
2031,
2030,
2029,
acpS,
alr,
ddl,
murF,
oxaA,
2056,
murA,
fabZ,
atpF,
atpH,
atpA,
atpG,
atpD,
atpC,
tdk,
prfA,
prmC,
2070,
ptpB,
rpmE2,
fbaA,
pyrG,
coaA,
glmS,
dacA,
ybbR,
glmM,
rplM,
rpsI,
infA,
rpmJ,
rpsM,
rpsK,
rpoA,
rplQ,
rpsJ,
rplC,
rplD,
rplW,
rplB,
rpsS,
rplV,
rpsC,
rplP,
rpmC,
rpsQ,
rplN,
rplX,
rplE,
rpsN,
rpsH,
rplF,
rplR,
rpsE,
rpmD,
rplO,
secY,
adK,
femX,
2213,
ureA,
ureB,
ureC,
ureE,
ureF,
ureG,
ureD,
rpiA,
corA,
fni,
mvaA,
mvaS,
trmE,
gidA,
gidB,
2643,
rnpA,
rpmH,
