antigen14|A5IRD0|CP000253.1|mhcii|seq6120	antigen14|A5IRD0|CP000253.1|mhcii|seq6120
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2305
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq10850
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq10851
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1476
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6276
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq10852
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1477
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6277
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1478
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5574
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6278
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1479
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5575
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6279
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1480
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5576
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6280
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5577
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq6281
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5546
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5578
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5547
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5579
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2124
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5548
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2125
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq5549
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1550
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1551
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1552
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1553
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1554
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq1555
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq340
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq341
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3189
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq342
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3190
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq10582
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq343
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3191
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq344
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3192
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq345
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3193
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq3194
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2300
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2301
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2302
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2303
antigen14|A5IRD0|CP000253.1|mhcii|seq2305	antigen14|A5IRD0|CP000253.1|mhcii|seq2304
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2785
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8993
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq898
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq899
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq900
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9124
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq901
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9125
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq902
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8486
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9126
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8487
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9127
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6632
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8488
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9128
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6633
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9129
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9801
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6634
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9802
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6635
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9803
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6636
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9804
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq6637
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9589
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9590
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9591
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4344
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9592
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4345
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9593
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4346
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq9594
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4347
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2780
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4348
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2781
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq4349
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8989
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2782
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8990
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2783
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8991
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq2784
antigen14|A5IRD0|CP000253.1|mhcii|seq2785	antigen14|A5IRD0|CP000253.1|mhcii|seq8992
antigen14|A5IRD0|CP000253.1|mhcii|seq3105	antigen14|A5IRD0|CP000253.1|mhcii|seq3105
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3329
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq5953
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq5954
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10562
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq9411
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10563
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq9412
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10564
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq9413
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10565
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq9414
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10566
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10567
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4392
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4584
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4393
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4585
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4394
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4586
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq235
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4587
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq7083
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10667
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq236
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4588
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq7084
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq9324
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10668
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq237
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq4589
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq7085
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10669
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq238
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq7086
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10670
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq239
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq7087
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10671
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq240
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq10672
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2105
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2106
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2107
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2108
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3324
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2109
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3325
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq2110
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3326
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3327
antigen14|A5IRD0|CP000253.1|mhcii|seq3329	antigen14|A5IRD0|CP000253.1|mhcii|seq3328
antigen14|A5IRD0|CP000253.1|mhcii|seq3361	antigen14|A5IRD0|CP000253.1|mhcii|seq3361
antigen14|A5IRD0|CP000253.1|mhcii|seq3361	antigen14|A5IRD0|CP000253.1|mhcii|seq3362
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3425
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1409
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1410
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3426
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1411
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3427
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1412
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3428
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1413
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq2128
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq2129
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq2130
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq2131
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10707
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq2132
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10708
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10996
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10709
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3422
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3423
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq1408
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq3424
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq8095
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10710
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq10711
antigen14|A5IRD0|CP000253.1|mhcii|seq3425	antigen14|A5IRD0|CP000253.1|mhcii|seq8096
antigen14|A5IRD0|CP000253.1|mhcii|seq3841	antigen14|A5IRD0|CP000253.1|mhcii|seq3841
antigen14|A5IRD0|CP000253.1|mhcii|seq4065	antigen14|A5IRD0|CP000253.1|mhcii|seq4065
antigen14|A5IRD0|CP000253.1|mhcii|seq4065	antigen14|A5IRD0|CP000253.1|mhcii|seq4066
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4289
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11555
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11556
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11557
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8743
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8744
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8745
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8746
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3659
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8747
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq8748
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11628
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7917
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11629
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7918
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11630
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2735
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7919
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11631
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2736
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3056
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7920
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq11632
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2737
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3057
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7921
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2738
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3058
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq7922
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2739
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3059
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq2740
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3028
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3029
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3639
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3640
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6392
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3641
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6393
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3642
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6394
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3643
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6395
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq3644
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4284
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6396
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4285
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq6397
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4286
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4287
antigen14|A5IRD0|CP000253.1|mhcii|seq4289	antigen14|A5IRD0|CP000253.1|mhcii|seq4288
antigen14|A5IRD0|CP000253.1|mhcii|seq4545	antigen14|A5IRD0|CP000253.1|mhcii|seq4545
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq4769
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq8994
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq9859
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq9860
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq9861
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq9862
antigen14|A5IRD0|CP000253.1|mhcii|seq4769	antigen14|A5IRD0|CP000253.1|mhcii|seq871
