antigen5|Q7A768|CP000253.1|mhcii|seq4739	antigen5|Q7A768|CP000253.1|mhcii|seq4739
antigen5|Q7A768|CP000253.1|mhcii|seq746	antigen5|Q7A768|CP000253.1|mhcii|seq883
antigen5|Q7A768|CP000253.1|mhcii|seq746	antigen5|Q7A768|CP000253.1|mhcii|seq884
antigen5|Q7A768|CP000253.1|mhcii|seq746	antigen5|Q7A768|CP000253.1|mhcii|seq2394
antigen5|Q7A768|CP000253.1|mhcii|seq746	antigen5|Q7A768|CP000253.1|mhcii|seq2395
antigen5|Q7A768|CP000253.1|mhcii|seq746	antigen5|Q7A768|CP000253.1|mhcii|seq1280
antigen5|Q7A768|CP000253.1|mhcii|seq906	antigen5|Q7A768|CP000253.1|mhcii|seq906
antigen5|Q7A768|CP000253.1|mhcii|seq1322	antigen5|Q7A768|CP000253.1|mhcii|seq1322
antigen5|Q7A768|CP000253.1|mhcii|seq3562	antigen5|Q7A768|CP000253.1|mhcii|seq3562
antigen5|Q7A768|CP000253.1|mhcii|seq3562	antigen5|Q7A768|CP000253.1|mhcii|seq3563
antigen5|Q7A768|CP000253.1|mhcii|seq3562	antigen5|Q7A768|CP000253.1|mhcii|seq3564
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3818
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3819
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3491
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3489
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3490
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2531
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq216
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2532
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq217
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3492
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1029
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2181
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2533
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq218
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3493
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1030
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2182
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2534
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq219
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3494
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1031
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2183
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1032
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2184
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1033
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1133
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1134
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1135
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq1136
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3000
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3001
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3002
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3003
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3004
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3005
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3488
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2180
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2178
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2179
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq3817
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2799
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2797
antigen5|Q7A768|CP000253.1|mhcii|seq3818	antigen5|Q7A768|CP000253.1|mhcii|seq2798
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5002
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq411
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4225
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq2786
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4587
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq2787
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4588
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4227
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4226
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4228
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4229
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4230
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4231
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq2788
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4589
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq997
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq2789
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4590
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq998
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4999
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq408
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5000
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq409
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5001
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq410
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5003
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq412
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5005
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq414
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5004
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq413
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq5006
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq727
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq728
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq729
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq730
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq732
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq731
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq733
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq734
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4223
antigen5|Q7A768|CP000253.1|mhcii|seq5002	antigen5|Q7A768|CP000253.1|mhcii|seq4224
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq5194
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq5192
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq5193
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq2380
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq2381
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq2768
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq2769
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq3447
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq3448
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq670
antigen5|Q7A768|CP000253.1|mhcii|seq5194	antigen5|Q7A768|CP000253.1|mhcii|seq671
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq139
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq1414
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq1415
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq137
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq138
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq4924
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq4925
antigen5|Q7A768|CP000253.1|mhcii|seq139	antigen5|Q7A768|CP000253.1|mhcii|seq4926
antigen5|Q7A768|CP000253.1|mhcii|seq331	antigen5|Q7A768|CP000253.1|mhcii|seq331
antigen5|Q7A768|CP000253.1|mhcii|seq1131	antigen5|Q7A768|CP000253.1|mhcii|seq1131
antigen5|Q7A768|CP000253.1|mhcii|seq1131	antigen5|Q7A768|CP000253.1|mhcii|seq1132
antigen5|Q7A768|CP000253.1|mhcii|seq1547	antigen5|Q7A768|CP000253.1|mhcii|seq1547
antigen5|Q7A768|CP000253.1|mhcii|seq1547	antigen5|Q7A768|CP000253.1|mhcii|seq4800
antigen5|Q7A768|CP000253.1|mhcii|seq2475	antigen5|Q7A768|CP000253.1|mhcii|seq2475
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq2603
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq2602
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq2604
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq2605
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq258
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq19
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq257
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq18
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq3265
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq3266
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq259
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq20
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq260
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq21
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq3263
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq256
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq17
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq3264
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq1640
antigen5|Q7A768|CP000253.1|mhcii|seq2603	antigen5|Q7A768|CP000253.1|mhcii|seq1641
antigen5|Q7A768|CP000253.1|mhcii|seq2827	antigen5|Q7A768|CP000253.1|mhcii|seq2827
antigen5|Q7A768|CP000253.1|mhcii|seq2923	antigen5|Q7A768|CP000253.1|mhcii|seq2923
antigen5|Q7A768|CP000253.1|mhcii|seq3307	antigen5|Q7A768|CP000253.1|mhcii|seq3307
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3403
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq5441
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3400
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3401
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3402
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3404
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq3405
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4761
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq172
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1852
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4762
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq173
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1853
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq379
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4464
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1718
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4763
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq174
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1854
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq380
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4465
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1719
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4764
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq175
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1855
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq381
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4466
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1720
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq382
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq4467
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq1721
antigen5|Q7A768|CP000253.1|mhcii|seq3403	antigen5|Q7A768|CP000253.1|mhcii|seq5440
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3531
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1761
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5575
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq2376
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3528
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5576
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3529
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5577
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3530
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5578
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4171
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5067
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5579
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4172
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5068
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5580
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4173
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5069
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4174
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5070
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4175
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5071
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3152
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4176
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq5072
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3153
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq4753
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1170
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3154
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1171
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3155
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1172
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq3156
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1173
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1174
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1175
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq89
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq90
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1083
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1084
antigen5|Q7A768|CP000253.1|mhcii|seq3531	antigen5|Q7A768|CP000253.1|mhcii|seq1085
antigen5|Q7A768|CP000253.1|mhcii|seq3787	antigen5|Q7A768|CP000253.1|mhcii|seq3787
antigen5|Q7A768|CP000253.1|mhcii|seq3787	antigen5|Q7A768|CP000253.1|mhcii|seq4886
antigen5|Q7A768|CP000253.1|mhcii|seq3787	antigen5|Q7A768|CP000253.1|mhcii|seq3788
antigen5|Q7A768|CP000253.1|mhcii|seq3787	antigen5|Q7A768|CP000253.1|mhcii|seq4887
antigen5|Q7A768|CP000253.1|mhcii|seq4267	antigen5|Q7A768|CP000253.1|mhcii|seq4267
antigen5|Q7A768|CP000253.1|mhcii|seq4267	antigen5|Q7A768|CP000253.1|mhcii|seq332
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4331
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2696
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4328
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2633
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4569
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2697
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4329
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2634
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4570
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2698
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2699
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4330
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2636
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4572
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2635
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4571
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4332
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq4333
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2543
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2544
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2545
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2928
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq247
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2929
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq248
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2930
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq249
antigen5|Q7A768|CP000253.1|mhcii|seq4331	antigen5|Q7A768|CP000253.1|mhcii|seq2931
