antigen184|A7X1D2|CP000253.1|mhcii|seq1	antigen184|A7X1D2|CP000253.1|mhcii|seq1
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq2023
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1352
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1928
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq2024
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1353
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1929
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1930
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1228
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq493
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1229
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq494
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1230
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq495
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1231
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1775
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq496
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1232
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1776
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq497
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1233
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1777
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1778
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1779
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1780
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1790
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1791
antigen184|A7X1D2|CP000253.1|mhcii|seq1795	antigen184|A7X1D2|CP000253.1|mhcii|seq1792
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq2147
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq143
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1723
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1388
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1385
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1386
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1387
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1389
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1390
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1391
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq142
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq144
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq2148
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1174
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq145
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq2149
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1175
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq146
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq2150
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1176
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1813
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1811
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1812
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1814
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1815
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1816
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1721
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq954
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq951
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq952
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq953
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq955
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq956
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq957
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1722
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1724
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1725
antigen184|A7X1D2|CP000253.1|mhcii|seq2147	antigen184|A7X1D2|CP000253.1|mhcii|seq1726
antigen184|A7X1D2|CP000253.1|mhcii|seq2371	antigen184|A7X1D2|CP000253.1|mhcii|seq2371
antigen184|A7X1D2|CP000253.1|mhcii|seq2371	antigen184|A7X1D2|CP000253.1|mhcii|seq2372
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq36
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq33
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq34
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq35
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq835
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq836
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq837
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq838
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2502
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq839
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2503
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq840
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq1960
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2504
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2505
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq301
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq302
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq303
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq304
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq880
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq305
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq881
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq306
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq882
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq883
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq884
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2292
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2516
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq885
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2293
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2517
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2294
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2518
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq695
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2519
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq696
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq2520
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq665
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq697
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq666
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq698
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq667
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq699
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq668
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq700
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq669
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq670
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq734
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq31
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq735
antigen184|A7X1D2|CP000253.1|mhcii|seq36	antigen184|A7X1D2|CP000253.1|mhcii|seq32
antigen184|A7X1D2|CP000253.1|mhcii|seq292	antigen184|A7X1D2|CP000253.1|mhcii|seq292
antigen184|A7X1D2|CP000253.1|mhcii|seq292	antigen184|A7X1D2|CP000253.1|mhcii|seq293
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq612
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq611
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq613
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq614
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq1901
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq1902
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq2327
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq2326
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq2328
antigen184|A7X1D2|CP000253.1|mhcii|seq612	antigen184|A7X1D2|CP000253.1|mhcii|seq2329
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq676
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1937
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq673
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1934
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq674
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1935
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq675
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1936
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq677
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1938
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1107
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq632
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq569
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq633
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq570
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq634
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq571
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq573
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2361
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq769
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq770
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq771
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq772
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq773
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq646
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq678
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq1939
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq647
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq679
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq648
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq649
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq650
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq203
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq204
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq205
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq206
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq207
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2358
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2359
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2360
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2362
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2363
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq572
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq2364
antigen184|A7X1D2|CP000253.1|mhcii|seq676	antigen184|A7X1D2|CP000253.1|mhcii|seq574
antigen184|A7X1D2|CP000253.1|mhcii|seq1220	antigen184|A7X1D2|CP000253.1|mhcii|seq1220
antigen184|A7X1D2|CP000253.1|mhcii|seq1220	antigen184|A7X1D2|CP000253.1|mhcii|seq1219
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1540
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1537
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2337
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1538
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2338
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1539
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2339
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2340
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1096
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1097
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1098
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1835
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq620
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1836
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq621
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1837
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq622
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1838
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq463
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq623
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1839
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq464
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq624
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1840
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq465
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq625
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq466
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq562
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq467
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq563
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1203
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq372
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq564
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq373
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq565
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq374
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1910
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq375
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1911
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq376
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1912
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq185
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq377
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1913
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq186
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1914
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1915
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1535
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2335
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq1536
antigen184|A7X1D2|CP000253.1|mhcii|seq1540	antigen184|A7X1D2|CP000253.1|mhcii|seq2336
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2084
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2081
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2082
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2274
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2083
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2275
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2276
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2277
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2278
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq2279
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq137
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq1865
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq1897
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq138
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq1866
antigen184|A7X1D2|CP000253.1|mhcii|seq2084	antigen184|A7X1D2|CP000253.1|mhcii|seq1898
