antigen115|Q7A7G0|BX571856.1|mhcii|seq196	antigen115|Q7A7G0|BX571856.1|mhcii|seq196
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq846
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq847
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq1519
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq848
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq1520
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq1521
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq3351
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq3352
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq3353
antigen115|Q7A7G0|BX571856.1|mhcii|seq969	antigen115|Q7A7G0|BX571856.1|mhcii|seq3354
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1289
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq2053
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1697
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1698
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq2051
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq2052
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1290
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1291
antigen115|Q7A7G0|BX571856.1|mhcii|seq1289	antigen115|Q7A7G0|BX571856.1|mhcii|seq1288
antigen115|Q7A7G0|BX571856.1|mhcii|seq2249	antigen115|Q7A7G0|BX571856.1|mhcii|seq2249
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2313
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1025
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3362
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2311
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2312
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3366
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1026
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1027
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3363
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1028
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1380
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3138
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3364
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1381
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3139
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3365
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1382
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3140
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1383
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3141
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3367
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1384
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3142
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3368
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3369
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2314
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2315
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2316
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq2317
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3573
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3574
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq3575
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1535
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1536
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1023
antigen115|Q7A7G0|BX571856.1|mhcii|seq2313	antigen115|Q7A7G0|BX571856.1|mhcii|seq1024
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2569
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2564
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3204
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2565
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3205
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2566
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3206
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2567
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3207
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq40
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2568
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3208
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq41
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2857
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3209
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq42
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2858
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq43
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2859
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq44
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2828
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2860
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3084
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq45
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2829
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2861
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3085
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2830
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2862
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3086
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2831
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3087
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2832
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3088
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq369
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq3089
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq370
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1522
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq371
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1523
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq372
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1524
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1525
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1973
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1526
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1974
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1527
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq1975
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2487
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2488
antigen115|Q7A7G0|BX571856.1|mhcii|seq2569	antigen115|Q7A7G0|BX571856.1|mhcii|seq2140
antigen115|Q7A7G0|BX571856.1|mhcii|seq2953	antigen115|Q7A7G0|BX571856.1|mhcii|seq2953
antigen115|Q7A7G0|BX571856.1|mhcii|seq106	antigen115|Q7A7G0|BX571856.1|mhcii|seq106
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq170
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq1761
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq167
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq168
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq169
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq2601
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq2602
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq171
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq523
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq2603
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq172
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq524
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq525
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq526
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq527
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq1758
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq2622
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq1759
antigen115|Q7A7G0|BX571856.1|mhcii|seq170	antigen115|Q7A7G0|BX571856.1|mhcii|seq1760
antigen115|Q7A7G0|BX571856.1|mhcii|seq298	antigen115|Q7A7G0|BX571856.1|mhcii|seq298
antigen115|Q7A7G0|BX571856.1|mhcii|seq522	antigen115|Q7A7G0|BX571856.1|mhcii|seq522
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2538
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1604
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1605
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1606
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2535
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1608
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1607
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1609
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1610
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2536
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2537
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq587
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq584
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq585
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq586
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq588
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq589
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq590
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2539
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2445
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2446
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2447
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1744
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2448
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1745
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1746
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1747
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1748
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1749
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1750
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1244
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2268
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2265
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2266
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2267
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2269
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2270
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq2271
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1245
antigen115|Q7A7G0|BX571856.1|mhcii|seq2538	antigen115|Q7A7G0|BX571856.1|mhcii|seq1246
antigen115|Q7A7G0|BX571856.1|mhcii|seq619	antigen115|Q7A7G0|BX571856.1|mhcii|seq619
antigen115|Q7A7G0|BX571856.1|mhcii|seq619	antigen115|Q7A7G0|BX571856.1|mhcii|seq620
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq907
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq321
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq904
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq905
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq906
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq2026
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq908
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq243
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq244
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1204
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq245
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1205
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq246
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1206
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1562
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1147
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq1148
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq318
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq319
antigen115|Q7A7G0|BX571856.1|mhcii|seq907	antigen115|Q7A7G0|BX571856.1|mhcii|seq320
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq1387
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3145
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq1385
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3143
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq1386
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3144
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq1388
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3146
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq1389
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3147
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3576
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3577
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3578
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3579
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3580
antigen115|Q7A7G0|BX571856.1|mhcii|seq1387	antigen115|Q7A7G0|BX571856.1|mhcii|seq3581
antigen115|Q7A7G0|BX571856.1|mhcii|seq1483	antigen115|Q7A7G0|BX571856.1|mhcii|seq1483
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1995
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1186
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq227
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1187
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1992
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1993
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2793
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2790
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2791
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2792
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2794
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2795
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq2796
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1994
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1996
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq494
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq495
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq496
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq497
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1650
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1651
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1652
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1653
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq1654
antigen115|Q7A7G0|BX571856.1|mhcii|seq1995	antigen115|Q7A7G0|BX571856.1|mhcii|seq3546
