antigen111|A5ISH9|CP000253.1|mhcii|seq1	antigen111|A5ISH9|CP000253.1|mhcii|seq1
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2420
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq5876
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2421
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq5877
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2422
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3388
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2237
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3005
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3389
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq1982
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2238
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3006
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3390
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq1983
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2239
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3007
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3391
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq1984
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq2240
antigen111|A5ISH9|CP000253.1|mhcii|seq2242	antigen111|A5ISH9|CP000253.1|mhcii|seq3008
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2530
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2529
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq7497
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq7498
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq7499
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3116
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq7500
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3117
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3341
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3118
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3342
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3119
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3343
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3120
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3344
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3121
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3345
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3314
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3346
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3315
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq3316
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq759
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4247
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq760
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4248
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq505
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq761
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4249
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4793
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq506
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq762
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4250
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4794
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq507
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq763
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4251
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4795
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq508
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq764
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4252
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4796
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq509
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2525
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq4797
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq510
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2526
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq6974
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2047
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2527
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq6975
antigen111|A5ISH9|CP000253.1|mhcii|seq2530	antigen111|A5ISH9|CP000253.1|mhcii|seq2528
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2786
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2788
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2787
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq3554
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq3553
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq3555
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq3556
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq4103
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq1864
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq1863
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq1865
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq1866
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq4104
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2459
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2457
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2458
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq2460
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq7036
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq7037
antigen111|A5ISH9|CP000253.1|mhcii|seq2786	antigen111|A5ISH9|CP000253.1|mhcii|seq7038
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3106
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3105
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5064
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5065
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5066
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq4555
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5067
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq4556
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq4557
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq175
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq176
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq177
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq178
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3062
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3063
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3064
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3065
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3865
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq2810
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3066
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3866
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5722
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq475
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq2811
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3867
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5723
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq476
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq2812
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3868
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5724
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq477
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3101
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3869
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5725
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq478
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3102
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3870
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5726
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq479
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3103
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq5727
antigen111|A5ISH9|CP000253.1|mhcii|seq3106	antigen111|A5ISH9|CP000253.1|mhcii|seq3104
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3810
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2209
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3809
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2210
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2978
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2211
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2979
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4867
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2212
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq2980
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4868
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4869
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5797
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4870
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5798
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4871
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5799
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3880
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4872
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5800
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3881
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5513
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5801
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3882
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5514
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5802
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1899
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3883
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5515
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1900
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3884
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5516
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1901
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3885
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5517
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1902
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1903
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5935
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq1904
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5936
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq7440
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5937
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4466
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5938
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq4467
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5939
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq5940
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3805
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3806
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3807
antigen111|A5ISH9|CP000253.1|mhcii|seq3810	antigen111|A5ISH9|CP000253.1|mhcii|seq3808
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3906
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3905
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3075
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3907
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3076
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3050
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3534
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3535
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq4435
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq4436
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3734
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq5924
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq1911
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3735
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq5925
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq1912
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3903
antigen111|A5ISH9|CP000253.1|mhcii|seq3906	antigen111|A5ISH9|CP000253.1|mhcii|seq3904
antigen111|A5ISH9|CP000253.1|mhcii|seq3938	antigen111|A5ISH9|CP000253.1|mhcii|seq3938
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq4162
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq4161
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq6883
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq6884
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1029
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq6885
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq550
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1030
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq551
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1031
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq552
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1032
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq553
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1033
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq554
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1034
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq7274
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq555
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq7275
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1676
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1389
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1677
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1134
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1390
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1678
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1135
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1391
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1679
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1136
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1392
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq5168
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1137
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1393
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq5169
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1138
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq1394
antigen111|A5ISH9|CP000253.1|mhcii|seq4162	antigen111|A5ISH9|CP000253.1|mhcii|seq5170
