antigen95|Q7A7B2|CP000253.1|mhcii|seq4639	antigen95|Q7A7B2|CP000253.1|mhcii|seq4639
antigen95|Q7A7B2|CP000253.1|mhcii|seq4548	antigen95|Q7A7B2|CP000253.1|mhcii|seq4543
antigen95|Q7A7B2|CP000253.1|mhcii|seq4548	antigen95|Q7A7B2|CP000253.1|mhcii|seq6239
antigen95|Q7A7B2|CP000253.1|mhcii|seq4548	antigen95|Q7A7B2|CP000253.1|mhcii|seq13535
antigen95|Q7A7B2|CP000253.1|mhcii|seq4548	antigen95|Q7A7B2|CP000253.1|mhcii|seq4544
antigen95|Q7A7B2|CP000253.1|mhcii|seq4548	antigen95|Q7A7B2|CP000253.1|mhcii|seq6240
antigen95|Q7A7B2|CP000253.1|mhcii|seq5284	antigen95|Q7A7B2|CP000253.1|mhcii|seq5284
antigen95|Q7A7B2|CP000253.1|mhcii|seq5284	antigen95|Q7A7B2|CP000253.1|mhcii|seq5285
antigen95|Q7A7B2|CP000253.1|mhcii|seq5284	antigen95|Q7A7B2|CP000253.1|mhcii|seq5286
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5508
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5249
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5505
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5250
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5506
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5251
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5507
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15939
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5252
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15940
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5253
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15941
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15942
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15943
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq6856
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15944
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq6857
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq6858
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq6859
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq1901
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq1902
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5038
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5039
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5040
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5041
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5233
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5042
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5234
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5043
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5235
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15955
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq4308
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5236
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15956
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq16948
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5237
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15957
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq16949
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5238
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15958
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq16950
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15959
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15864
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15865
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15866
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15867
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15868
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq15869
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5503
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5248
antigen95|Q7A7B2|CP000253.1|mhcii|seq5508	antigen95|Q7A7B2|CP000253.1|mhcii|seq5504
antigen95|Q7A7B2|CP000253.1|mhcii|seq5540	antigen95|Q7A7B2|CP000253.1|mhcii|seq5540
antigen95|Q7A7B2|CP000253.1|mhcii|seq5540	antigen95|Q7A7B2|CP000253.1|mhcii|seq5539
antigen95|Q7A7B2|CP000253.1|mhcii|seq5540	antigen95|Q7A7B2|CP000253.1|mhcii|seq121
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5668
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1122
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5669
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5672
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6063
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6064
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4513
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4481
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5665
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4482
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4514
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5666
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq9282
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4483
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4515
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5667
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4484
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4485
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4486
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4487
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6055
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4488
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6056
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6057
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6058
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6059
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6060
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq12763
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq12764
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4509
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1118
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4510
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1119
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4511
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1120
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4480
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4512
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5664
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5954
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1121
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5953
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1123
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5955
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1124
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4516
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5956
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1125
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4517
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5957
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq1126
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4518
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5670
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5671
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5673
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq8716
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6061
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq8717
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4014
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq6062
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq8718
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4015
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq8719
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4016
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq8720
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4017
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4018
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4019
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq4020
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11158
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11159
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11160
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11161
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11162
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq11163
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5980
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5981
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5950
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5982
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5951
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5983
antigen95|Q7A7B2|CP000253.1|mhcii|seq5668	antigen95|Q7A7B2|CP000253.1|mhcii|seq5952
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12388
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12385
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12386
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12387
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4837
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12389
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4838
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12390
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4839
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12391
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq12392
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq17073
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq17074
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq17075
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq17076
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15767
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15768
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15769
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15770
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4251
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15771
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4252
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq15772
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4253
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4254
antigen95|Q7A7B2|CP000253.1|mhcii|seq12388	antigen95|Q7A7B2|CP000253.1|mhcii|seq4255
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12676
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3681
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq4705
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12673
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3682
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq4706
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12674
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3683
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq4707
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12675
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3684
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq4709
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12677
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12678
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq39
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1645
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1646
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1647
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1648
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1649
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1650
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq1651
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3679
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq3680
antigen95|Q7A7B2|CP000253.1|mhcii|seq12676	antigen95|Q7A7B2|CP000253.1|mhcii|seq12672
antigen95|Q7A7B2|CP000253.1|mhcii|seq13476	antigen95|Q7A7B2|CP000253.1|mhcii|seq13476
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq13700
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11777
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq13697
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq2562
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11778
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq13698
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11779
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq13699
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11780
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11781
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq11782
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq3911
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq3912
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7690
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7691
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7692
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7693
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7694
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7857
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7858
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7859
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7734
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq8470
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq12182
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7479
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7735
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq12183
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7480
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7736
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq12184
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7481
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7737
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq12185
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7482
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7738
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq12186
antigen95|Q7A7B2|CP000253.1|mhcii|seq13700	antigen95|Q7A7B2|CP000253.1|mhcii|seq7483
