antigen42|A5IPD1|CP002114.3|mhcii|seq262	antigen42|A5IPD1|CP002114.3|mhcii|seq262
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1137
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1138
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq85
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1269
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1493
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq86
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1238
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1270
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1494
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq87
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1239
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1271
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1495
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq88
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1240
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1272
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1496
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq89
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1241
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1273
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1497
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq90
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1242
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1243
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq668
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq669
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq670
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1150
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq671
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1151
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq672
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1152
antigen42|A5IPD1|CP002114.3|mhcii|seq705	antigen42|A5IPD1|CP002114.3|mhcii|seq705
antigen42|A5IPD1|CP002114.3|mhcii|seq961	antigen42|A5IPD1|CP002114.3|mhcii|seq961
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq1057
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq1552
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq1042
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq500
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq501
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq502
antigen42|A5IPD1|CP002114.3|mhcii|seq1057	antigen42|A5IPD1|CP002114.3|mhcii|seq637
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1633
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq417
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq833
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq418
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq834
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1571
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1572
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1573
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1574
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1575
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1576
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq170
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq171
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1163
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1164
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1165
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1166
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1648
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1073
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1074
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1586
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1075
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1587
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1076
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1588
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1077
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1589
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1078
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1590
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1591
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1178
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1179
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1180
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1628
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1660
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1181
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1629
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1661
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq414
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1182
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1630
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1662
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq415
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1631
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1663
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq416
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq832
antigen42|A5IPD1|CP002114.3|mhcii|seq1633	antigen42|A5IPD1|CP002114.3|mhcii|seq1632
antigen42|A5IPD1|CP002114.3|mhcii|seq1665	antigen42|A5IPD1|CP002114.3|mhcii|seq1665
antigen42|A5IPD1|CP002114.3|mhcii|seq706	antigen42|A5IPD1|CP002114.3|mhcii|seq706
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq898
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq289
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq353
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq385
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq897
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1825
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq290
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq354
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq386
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1826
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq291
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq355
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq387
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1827
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq356
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq388
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1828
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq357
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1029
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq358
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1030
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq551
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1031
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq552
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1032
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq553
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1033
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq10
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq11
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq12
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq13
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq14
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq15
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1167
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1168
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1208
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1209
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1210
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1211
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1212
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq893
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1213
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq286
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq894
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq287
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq895
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1183
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1823
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq288
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq896
antigen42|A5IPD1|CP002114.3|mhcii|seq898	antigen42|A5IPD1|CP002114.3|mhcii|seq1824
antigen42|A5IPD1|CP002114.3|mhcii|seq962	antigen42|A5IPD1|CP002114.3|mhcii|seq962
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1154
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1170
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1579
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1169
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1578
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1171
antigen42|A5IPD1|CP002114.3|mhcii|seq1154	antigen42|A5IPD1|CP002114.3|mhcii|seq1580
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1442
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1441
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1703
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1512
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1704
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1513
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1705
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq938
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1194
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1706
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq683
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq939
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1195
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1707
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq428
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq684
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq940
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1196
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1452
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq429
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq685
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq941
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1197
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1453
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq430
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq686
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq942
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1198
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1454
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq431
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq943
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1903
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq432
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1904
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq433
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1905
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1810
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1811
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1812
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1813
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1437
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1438
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq703
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1439
antigen42|A5IPD1|CP002114.3|mhcii|seq1442	antigen42|A5IPD1|CP002114.3|mhcii|seq1440
antigen42|A5IPD1|CP002114.3|mhcii|seq1634	antigen42|A5IPD1|CP002114.3|mhcii|seq1634
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1858
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq641
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1857
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq642
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1058
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq643
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1059
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1060
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1061
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1062
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1478
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1063
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1479
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1480
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1481
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1482
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1483
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq625
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1553
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq626
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1554
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq627
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1043
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1555
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq628
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1044
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1556
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1045
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1557
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1046
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1558
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1047
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1048
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq729
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq730
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq986
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq731
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq987
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq732
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq988
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq733
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1853
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq638
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1854
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq639
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq1855
antigen42|A5IPD1|CP002114.3|mhcii|seq1858	antigen42|A5IPD1|CP002114.3|mhcii|seq640
