antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq228
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq644
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1668
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq645
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1669
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq646
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1670
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq584
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq585
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq586
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq587
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq588
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq589
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq692
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq693
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq694
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq55
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq695
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq56
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq696
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1752
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq57
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1753
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq58
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1754
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq59
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1755
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq60
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1052
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq861
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1053
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq862
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1054
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq223
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1055
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1087
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq224
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq800
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1056
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1473
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1474
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1475
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq12
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq13
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq14
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq238
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1166
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq15
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq239
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq815
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1167
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq240
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq816
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq145
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq241
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq817
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq146
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq242
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq147
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq243
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq148
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq149
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq150
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq25
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq697
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq26
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq27
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq827
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq28
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq540
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq828
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1372
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq29
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq541
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq829
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1373
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq30
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq542
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq830
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1374
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1470
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq543
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq831
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1375
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1471
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq544
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq832
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1376
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1377	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1472
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq161
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq673
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq162
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq674
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq994
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq163
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq675
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq995
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq164
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq676
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq996
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1636
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq165
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq357
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq997
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1637
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq358
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq902
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq998
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1638
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq359
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq903
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq999
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1639
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq360
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq904
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1640
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq905
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq906
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq528
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq529
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1300
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1301
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1302
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1402
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1403
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1404
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1500
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1405
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1501
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1406
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1502
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq671
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1407
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1503
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq160
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq672
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1152
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1505	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1504
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq257
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq515
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq260
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq259
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq261
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq516
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq517
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq518
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1138
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1139
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1142
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1140
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1141
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq381
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1679
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1680
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq472
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq473
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq378
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq474
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq379
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq475
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq380
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq382
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq258	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq256
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq449
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1121
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1345
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq130
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1122
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1282
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1346
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq131
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1283
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1347
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq132
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1284
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq133
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1285
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1445
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq134
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1286
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq135
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1287
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1545
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1546
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1547
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1548
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1549
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1550
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq340
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq660
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq341
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq661
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq725
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq342
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq726
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq343
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq727
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq344
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1560
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq345
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1561
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1562
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq450	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1563
