query_accession,uniparc_upi,Uniprot_ID,organism
WP_000739564.1,UPI00000CADA5,A0A2U0IR43,Staphylococcus aureus
WP_000739573.1,UPI00020F29E3,A0AAE2ZWL4,Staphylococcus aureus
WP_000739582.1,UPI00000D9D86,A0A641AC18,Staphylococcus aureus
WP_000739584.1,UPI00020F1FB8,A0AAE8PDQ6,Staphylococcus aureus
WP_000739587.1,UPI00003B15C6,A0AAJ4YZ87,Staphylococcus aureus
WP_000744058.1,UPI00018498A8,B6VQW5,Staphylococcus aureus
WP_000744067.1,UPI00003B1A40,C4B852,Staphylococcus aureus
WP_000744096.1,UPI00000CAB45,C4B818,Staphylococcus aureus
WP_000744110.1,UPI00003B1369,C4B833,Staphylococcus aureus
WP_000745818.1,UPI00003B1B50,Q6G644,Staphylococcus aureus (strain MSSA476)
WP_000745891.1,UPI00000CADCA,A0A2U0ITG8,Staphylococcus aureus
WP_000745917.1,UPI00003B19CC,Q6GDH2,Staphylococcus aureus (strain MRSA252)
WP_000746599.1,UPI00000CADDE,Q9F0L7,Staphylococcus aureus
WP_000746679.1,UPI00000CAB6C,A0A2W3WBR7,Staphylococcus aureus
WP_000746680.1,UPI00000D9C5A,A0A641A8J4,Staphylococcus aureus
WP_000746688.1,UPI00003B13E9,A0A162G2W5,Staphylococcus aureus
WP_000747804.1,UPI00003B17AA,A0A166JHB2,Staphylococcus aureus
WP_000749061.1,UPI00020F254B,A0AAE2ZQ20,Staphylococcus aureus
WP_000749381.1,UPI00020F2C41,A0AAE2ZU90,Staphylococcus aureus
WP_000749385.1,UPI00003B14FE,A0AAJ4YW98,Staphylococcus aureus
WP_000749795.1,UPI00000D7784,W8UA89,Staphylococcus aureus
WP_000749796.1,UPI0001C0BB1E,A0A0U1MMC4,Staphylococcus aureus
WP_000749802.1,UPI00003B1732,A0AAJ4YUY7,Staphylococcus aureus
WP_000750406.1,UPI00003B1805,A0AAJ4YZ59,Staphylococcus aureus
WP_000750412.1,UPI000012A273,P0A0L2,Staphylococcus aureus
WP_000751200.1,UPI00020F29BD,A0AAE2ZTH7,Staphylococcus aureus
WP_000751207.1,UPI0000052311,A0A1J0J3G8,Staphylococcus aureus
WP_000751215.1,UPI00000CAC73,A0A2U0IJR9,Staphylococcus aureus
WP_000751263.1,UPI00000CAC78,A0A389VIP1,Staphylococcus aureus
WP_000751265.1,UPI00000B5BB6,A0A0Y9QEI6,Staphylococcus aureus
WP_000751267.1,UPI0000052252,P60158,Staphylococcus aureus
WP_000751274.1,UPI0001FAD49B,A0A2S6D294,Staphylococcus aureus
WP_000751275.1,UPI0001C0BD12,A0A8G2MAE5,Staphylococcus aureus
WP_000751697.1,UPI00020F1DA7,A0AAE3D3F5,Staphylococcus aureus
WP_000751698.1,UPI00003B15DF,A0AAJ4YYP0,Staphylococcus aureus
WP_000751704.1,UPI00000543AA,W8U6M5,Staphylococcus aureus
WP_000752002.1,UPI0001FAD4BB,A0AAE8PB46,Staphylococcus aureus
WP_000752005.1,UPI00000CAD3F,A0A391ERX3,Staphylococcus aureus
WP_000752008.1,UPI00000545E2,A0A0E8J2S9,Staphylococcus aureus
WP_000752015.1,UPI00003B185C,A0AAJ4YXY2,Staphylococcus aureus
WP_000753319.1,UPI00000CAB52,A0A3A2IVX8,Staphylococcus aureus
WP_000753321.1,UPI00000D9D00,A0A641A6Q5,Staphylococcus aureus
WP_000754443.1,UPI0000054792,W8U5S1,Staphylococcus aureus
WP_000754457.1,UPI00020F2C39,A0AAE2ZRY0,Staphylococcus aureus
WP_000754458.1,UPI00003B14F4,A0AAJ4YXI7,Staphylococcus aureus
WP_000755718.1,UPI000009B60A,A0A659ZYI3,Staphylococcus aureus
WP_000755719.1,UPI00003B16DB,A0A163VMG3,Staphylococcus aureus
WP_000755987.1,UPI00020F1DDE,A0A9Q4UZ21,Staphylococcus aureus
WP_000755991.1,UPI00000CAC68,A0A9P3DM65,Staphylococcus aureus
WP_000757397.1,UPI00000CAE0D,A0A389VCE2,Staphylococcus aureus
WP_000757407.1,UPI00000D9D17,A0A2L2E298,Staphylococcus aureus
WP_000759232.1,UPI00000549C9,W8U629,Staphylococcus aureus
WP_000759233.1,UPI00003B166F,A0AAJ4YYQ0,Staphylococcus aureus
WP_000759359.1,UPI00000D9FF9,A0A0M0Z384,Staphylococcus aureus
WP_000759360.1,UPI000175BEFF,A0AAE8PBZ9,Staphylococcus aureus
WP_000759366.1,UPI00000CAB21,A0A4P7PAF7,Staphylococcus aureus
WP_000764684.1,UPI00001D8A06,Q6YCN4,Staphylococcus aureus
WP_000764690.1,UPI00020F27C9,A0AAE2ZYQ6,Staphylococcus aureus
WP_000765183.1,UPI0000054811,W8USZ3,Staphylococcus aureus
WP_000765702.1,UPI00020F1FBA,A0AAE2ZVL9,Staphylococcus aureus
WP_000765703.1,UPI00003B15C1,A0A0E1XGV9,Staphylococcus aureus subsp. aureus MN8
WP_000765708.1,UPI00000543E3,W8UBJ3,Staphylococcus aureus
WP_000767929.1,UPI00000D9C76,A0A641AB29,Staphylococcus aureus
WP_000769141.1,UPI00000D9C7D,A0A641A8Q3,Staphylococcus aureus
WP_000769147.1,UPI00003B1404,A0A113W024,Staphylococcus aureus
WP_000769157.1,UPI0002598D98,A0AAX2MKD2,Staphylococcus aureus
WP_000769160.1,UPI00000CACF0,A0A3A5M257,Staphylococcus aureus
WP_000769415.1,UPI00000D4741,A0A9P3DMJ7,Staphylococcus aureus
WP_000769416.1,UPI000005471C,Q9S674,Staphylococcus aureus
WP_000769423.1,UPI00020F257F,A0AAE8PBX8,Staphylococcus aureus
WP_000769689.1,UPI0000054B19,X5EF25,Staphylococcus aureus
WP_000769690.1,UPI00003B154A,A0A0D1IQA4,Staphylococcus aureus
WP_000769692.1,UPI00020F237C,A0AAE8P9X9,Staphylococcus aureus
WP_000769694.1,UPI00000CAC86,A0A390J584,Staphylococcus aureus
WP_000769705.1,UPI00000D76EB,A0A2W3EU09,Staphylococcus aureus
WP_000769708.1,UPI0001C0BB14,A0A2S6DKY9,Staphylococcus aureus
WP_000769709.1,UPI00003B189E,A0A166JQS2,Staphylococcus aureus
WP_000769722.1,UPI00000D76CF,W8U6L2,Staphylococcus aureus
WP_000769723.1,UPI00003B13E4,A0AAJ4YZC1,Staphylococcus aureus
WP_000769820.1,UPI00000CAD0C,A0A3A5M4N3,Staphylococcus aureus
WP_000769824.1,UPI00020F2C64,A0AAE8PBR8,Staphylococcus aureus
WP_000769829.1,UPI00000AF124,Q9ZFS5,Staphylococcus aureus
WP_000769837.1,UPI00000D9C77,A0A641A9C5,Staphylococcus aureus
WP_000773985.1,UPI00003B1372,A0A166NT33,Staphylococcus aureus
WP_000773989.1,UPI0000054696,W8U713,Staphylococcus aureus
WP_000773992.1,UPI00020F2C30,A0AAE8TIP2,Staphylococcus aureus
WP_000778477.1,UPI00000D9C7A,A0A641A9M4,Staphylococcus aureus
WP_000778481.1,UPI00000B00C3,Q9ZFS4,Staphylococcus aureus
WP_000778498.1,UPI00020F2C62,A0AAE8PBN0,Staphylococcus aureus
WP_000778500.1,UPI00000CAC9D,A0A390F740,Staphylococcus aureus
WP_000778501.1,UPI0002598D97,A0AAX2K114,Staphylococcus aureus
WP_000778504.1,UPI00000B8C55,Q9ZFS3,Staphylococcus aureus
WP_000781345.1,UPI00000D9C75,A0A641A9M0,Staphylococcus aureus
WP_000781349.1,UPI00000CA998,A0A389XVZ5,Staphylococcus aureus
WP_000782119.1,UPI00005FE638,A0A090LRP9,Staphylococcus aureus
WP_000782121.1,UPI000005229F,W8TV96,Staphylococcus aureus
WP_000782130.1,UPI00003B17C6,A0AAJ4YVQ8,Staphylococcus aureus
WP_000782463.1,UPI00000C7F84,A0A390W8I0,Staphylococcus aureus
WP_000782464.1,UPI00000522A5,Q93UU8,Staphylococcus aureus
WP_000782622.1,UPI00000C7F55,A0A3M9H3Z7,Staphylococcus aureus
WP_000782736.1,UPI00000D7772,Q70MK4,Staphylococcus aureus
WP_000782739.1,UPI00003B18BC,A0A166PFD1,Staphylococcus aureus
WP_000782742.1,UPI00020F2C99,A0AAE8P9U8,Staphylococcus aureus
WP_000782834.1,UPI00003B13FD,A0A162GR70,Staphylococcus aureus
WP_000782836.1,UPI00020F2C68,A0AAE2ZU14,Staphylococcus aureus
WP_000782839.1,UPI00000D9C72,A0A641AAM4,Staphylococcus aureus
WP_000783428.1,UPI0000046EFC,P0A077,Staphylococcus aureus
WP_000784258.1,UPI00000BA6DB,Q9ZFS6,Staphylococcus aureus
WP_000784523.1,UPI00003B13FF,A0AAJ5CTM9,Staphylococcus aureus
WP_000784885.1,UPI0001B5A58B,A0A0C6DV42,Staphylococcus aureus
WP_000784892.1,UPI00003B13D3,I2FJE6,Staphylococcus aureus
WP_000787672.1,UPI00000546F6,X5DU72,Staphylococcus aureus
WP_000787777.1,UPI00000CAA28,A0A3A3AD99,Staphylococcus aureus
WP_000789522.1,UPI0000054C68,W8U5U4,Staphylococcus aureus
WP_000789525.1,UPI00020F2805,A0AAE3D640,Staphylococcus aureus
WP_000789812.1,UPI00000BD674,A0AAJ4YYA4,Staphylococcus aureus
WP_000789816.1,UPI0001DDA73E,A0A380E1J8,Staphylococcus aureus
WP_000789821.1,UPI00000D76CB,W8TMJ4,Staphylococcus aureus
WP_000790531.1,UPI00003B1328,A0A166DWI7,Staphylococcus aureus
WP_000790915.1,UPI00003B1A0D,A0A131JS96,Staphylococcus aureus
WP_000791402.1,UPI00003B1823,A0AAJ5CU40,Staphylococcus aureus
WP_000791411.1,UPI00000C7FA9,A0A389PZU7,Staphylococcus aureus
WP_000791416.1,UPI00020F2559,A0AAE8PCH5,Staphylococcus aureus
WP_000791417.1,UPI00000D9F0B,A0A641A4E5,Staphylococcus aureus
WP_000791575.1,UPI00003B15BB,A0A166Q7U6,Staphylococcus aureus
WP_000791580.1,UPI00000D9D87,A0A641A9N7,Staphylococcus aureus
WP_000791581.1,UPI000012A7A3,P0C6P2,Staphylococcus aureus
WP_000791702.1,UPI00000CAD25,Q33C64,Staphylococcus aureus
WP_000791703.1,UPI00020F2E4F,A0AAX2MI48,Staphylococcus aureus
WP_000791730.1,UPI00003B1A7E,E2GAH4,Staphylococcus aureus
WP_000792559.1,UPI00000CAA57,A0A389XS11,Staphylococcus aureus
WP_000792567.1,UPI00003B1935,A0A162H328,Staphylococcus aureus
WP_000792571.1,UPI00000D9FAF,A0A641A8U6,Staphylococcus aureus
WP_000792575.1,UPI00020F2A22,A0AAE2ZVL7,Staphylococcus aureus
WP_000793046.1,UPI00000D9CDB,A0A181GKX6,Staphylococcus aureus
WP_000793051.1,UPI00003B1497,A0AAJ5CSS1,Staphylococcus aureus
WP_000793061.1,UPI00020F2356,A0A0Z4LY14,Staphylococcus aureus
WP_000793067.1,UPI00000CAC85,A0A218M1Q9,Staphylococcus aureus
WP_000794580.1,UPI00003B1971,Q6GDU5,Staphylococcus aureus (strain MRSA252)
WP_000794614.1,UPI00000CAB43,Q99RD2,Staphylococcus aureus (strain Mu50 / ATCC 700699)
WP_000794647.1,UPI0002598DF1,A0AAX2K2C1,Staphylococcus aureus
WP_000794648.1,UPI00000D9FE8,A0A7K3N1M9,Staphylococcus aureus
WP_000794663.1,UPI00003B15C5,A0AAJ4YZA4,Staphylococcus aureus
WP_000808817.1,UPI00000D76A1,W8U915,Staphylococcus aureus
WP_000810440.1,UPI0002598E24,A0AAN1ZDM5,Staphylococcus aureus
WP_000810443.1,UPI00003B161A,B6V385,Staphylococcus aureus
WP_000813311.1,UPI00003B13E1,A0A166J6C2,Staphylococcus aureus
WP_000818278.1,UPI00000543F4,W8UBK2,Staphylococcus aureus
WP_000819679.1,UPI00003B159D,A0A166JMZ6,Staphylococcus aureus
WP_000819684.1,UPI00000CAB09,A0A390B6L2,Staphylococcus aureus
WP_000819690.1,UPI0000054B47,X5E203,Staphylococcus aureus
WP_000819697.1,UPI00020F2577,A0AAE2ZUT4,Staphylococcus aureus
WP_000819843.1,UPI00000DA0F2,Q99RL9,Staphylococcus aureus
WP_000821649.1,UPI00003B17BE,A5JNM2,Staphylococcus aureus
WP_000821657.1,UPI00020F27CB,A0AAE8PD09,Staphylococcus aureus
WP_000821658.1,UPI00000CAB25,A0A389VJ56,Staphylococcus aureus
WP_000822161.1,UPI00000D786E,A0A2C9TL89,Staphylococcus aureus
WP_000822171.1,UPI00020F3081,A0AAE8PAW7,Staphylococcus aureus
WP_000824464.1,UPI00000D9D1E,A0A641A5V3,Staphylococcus aureus
WP_000824482.1,UPI00000CABD9,A0A391DHU9,Staphylococcus aureus
WP_000824488.1,UPI00020F2E51,A0AAE8TIR2,Staphylococcus aureus
WP_000824491.1,UPI00003B1516,A0AAJ5CSE2,Staphylococcus aureus
WP_000825510.1,UPI0000054230,Q93PN3,Staphylococcus aureus
WP_000825530.1,UPI00000CAAB8,A0A2W3PXW4,Staphylococcus aureus
WP_000825533.1,UPI00003B141B,A0AAJ4YYD7,Staphylococcus aureus
WP_000825547.1,UPI00020F29B3,A0AAE8PAQ7,Staphylococcus aureus
WP_000825921.1,UPI00000CAB6A,Q7DI48,Staphylococcus aureus
WP_000825929.1,UPI0000054BA0,X5EJN4,Staphylococcus aureus
WP_000825937.1,UPI00003B1932,A0A166LM76,Staphylococcus aureus
WP_000825938.1,UPI00020F2A25,A0AAE8P9K4,Staphylococcus aureus
WP_000825947.1,UPI00000CAF1B,A0A131I431,Staphylococcus aureus
WP_000826658.1,UPI00003B1342,A0A166LCE3,Staphylococcus aureus
WP_000826669.1,UPI00000CAA8A,A0A389U9A3,Staphylococcus aureus
WP_000826671.1,UPI00000D9BD3,A0A5C8X6J1,Staphylococcus aureus
WP_000826997.1,UPI00000D9F94,A0A641A794,Staphylococcus aureus
WP_000827006.1,UPI0001DA22F4,A0A0D1HKW8,Staphylococcus aureus
WP_000827010.1,UPI00000CAB73,A0A391A4W5,Staphylococcus aureus
WP_000827012.1,UPI00020F27F1,A0AAE8P9H8,Staphylococcus aureus
WP_000827736.1,UPI00003B17EE,A0AAJ4YZF6,Staphylococcus aureus
WP_000827746.1,UPI00000D4719,A0A389PZW7,Staphylococcus aureus
WP_000827758.1,UPI0002598E0F,A0AAX2MNS4,Staphylococcus aureus
WP_000827761.1,UPI00000D9EE3,A0A641A3T5,Staphylococcus aureus
WP_000831610.1,UPI00000D7822,B0I1W0,Staphylococcus aureus
WP_000831691.1,UPI00003B17EA,A0AAJ4YY44,Staphylococcus aureus
WP_000831695.1,UPI00019CD78A,A0A2S6DNW9,Staphylococcus aureus
WP_000831697.1,UPI00000D9EE2,A0A641A4L8,Staphylococcus aureus
WP_000831700.1,UPI00000CAA5E,A0A390EPY9,Staphylococcus aureus
WP_000835971.1,UPI00000CAA2E,A0A2U0IK27,Staphylococcus aureus
WP_000835979.1,UPI00003B140B,A0AAJ5CTI4,Staphylococcus aureus
WP_000837100.1,UPI00020F17E4,A0AAE2ZWJ3,Staphylococcus aureus
WP_000837103.1,UPI0001AE98F4,A0A0G3D1I8,Staphylococcus aureus
WP_000837105.1,UPI00000546A5,X5DVD1,Staphylococcus aureus
WP_000837114.1,UPI00003B1365,A0A131JAK2,Staphylococcus aureus
WP_000837116.1,UPI00000CAA63,A0A389WRH0,Staphylococcus aureus
WP_000838204.1,UPI00000D9BFA,X5EIX3,Staphylococcus aureus
WP_000838205.1,UPI00000CAD2A,A0A390B8Q0,Staphylococcus aureus
WP_000838212.1,UPI00020F2C2E,A0AAE8PAR1,Staphylococcus aureus
WP_000841344.1,UPI00003B1640,A0AAJ4YZ19,Staphylococcus aureus
WP_000841351.1,UPI00000D77A5,W8UY38,Staphylococcus aureus
WP_000841390.1,UPI00003B1B3F,A0A641A7V7,Staphylococcus aureus
WP_000841404.1,UPI00000CAA64,A0A390ZLD1,Staphylococcus aureus
WP_000842033.1,UPI0000627624,Q6GDD3,Staphylococcus aureus (strain MRSA252)
WP_000842036.1,UPI00004B5D21,A0A2Y9TLI2,Staphylococcus aureus
WP_000842040.1,UPI0000627623,A0A2U0ITW0,Staphylococcus aureus
WP_000842277.1,UPI0000054AA6,W8UB74,Staphylococcus aureus
WP_000842278.1,UPI00003B160B,A0A0U1MKL6,Staphylococcus aureus
WP_000844410.1,UPI00000CAA02,A0A7R6NZL1,Staphylococcus aureus
WP_000844413.1,UPI00000542D8,X5E258,Staphylococcus aureus
WP_000849155.1,UPI00003B13E3,A0A166DEB6,Staphylococcus aureus
WP_000849163.1,UPI00000CAD53,A0A3A5LS85,Staphylococcus aureus
WP_000849173.1,UPI00020F2C79,A0AAE2ZW72,Staphylococcus aureus
WP_000857474.1,UPI00020F1FBB,A0AAE8TJK5,Staphylococcus aureus
WP_000857485.1,UPI00000D9D88,Q6SV31,Staphylococcus aureus
WP_000857488.1,UPI00000D4747,A0A0D6WII1,Staphylococcus aureus
WP_000871726.1,UPI00003B199C,A0A0Y9ABM8,Staphylococcus aureus
WP_000871731.1,UPI00000DA010,A0A0D6GUE2,Staphylococcus aureus
WP_000871736.1,UPI00020F1C06,A0AAE2ZW93,Staphylococcus aureus
WP_000871744.1,UPI00000CABBD,A0A391DD44,Staphylococcus aureus
WP_000873929.1,UPI00003B156D,A0A090N182,Staphylococcus aureus
WP_000873930.1,UPI00000D9D57,A0A641AA78,Staphylococcus aureus
WP_000875613.1,UPI00003B198D,A0AAJ4YV78,Staphylococcus aureus
WP_000877317.1,UPI00000DA049,A0A1M4RHY1,Staphylococcus aureus
WP_000877362.1,UPI0001B3B02E,A0A5D3UEU8,Staphylococcus aureus
WP_000877367.1,UPI00003B19EB,A0AAJ4Z045,Staphylococcus aureus
WP_000877369.1,UPI00000CAB75,A0A2X3QG95,Staphylococcus aureus
WP_000877372.1,UPI00024E4CD2,A0AAE8TJU3,Staphylococcus aureus
WP_000894028.1,UPI00003B187D,A0AAJ5CU80,Staphylococcus aureus
WP_000894032.1,UPI0000054628,Q9ZAI5,Staphylococcus aureus
WP_000911037.1,UPI0002598D7B,A0AAX2MGZ5,Staphylococcus aureus
WP_000911041.1,UPI00000D78B1,W8TVQ4,Staphylococcus aureus
WP_000913238.1,UPI00003B16B1,A0AAJ5CRM5,Staphylococcus aureus
WP_000913243.1,UPI00000C7F77,A0A9P2YV90,Staphylococcus aureus
WP_000915997.1,UPI00000CAA18,A0A391LQ43,Staphylococcus aureus
WP_000916694.1,UPI00020F27EA,A0AAE8P9W0,Staphylococcus aureus
WP_000916697.1,UPI00003B1937,A0A166QIC8,Staphylococcus aureus
WP_000916704.1,UPI00000D7877,A0A3M7ZM78,Staphylococcus aureus
WP_000916709.1,UPI00003B1B34,Q6G6Q1,Staphylococcus aureus (strain MSSA476)
WP_000916728.1,UPI00006E4559,A0A2U0ITH7,Staphylococcus aureus
WP_000916730.1,UPI00020F1BF0,A0AAE3D5U9,Staphylococcus aureus
WP_000916740.1,UPI00003B19DD,A0A166K1P5,Staphylococcus aureus
WP_000916746.1,UPI00003B1B55,A0A641A876,Staphylococcus aureus
WP_000919349.1,UPI0002598E29,A0AAX2MMZ9,Staphylococcus aureus
WP_000919350.1,UPI00000B6E0F,Q9LC46,Staphylococcus aureus
WP_000920038.1,UPI0000135521,C3VIQ5,Staphylococcus aureus
WP_000920042.1,UPI00000D453F,A0A9P3DML6,Staphylococcus aureus
WP_000928935.1,UPI0000054661,X5DZ18,Staphylococcus aureus
WP_000928937.1,UPI00003B1395,A0A131JPX7,Staphylococcus aureus
WP_000928938.1,UPI00000CAB61,A0A3A1VX69,Staphylococcus aureus
WP_000934439.1,UPI00003B1A67,Q6GBS5,Staphylococcus aureus (strain MSSA476)
WP_000934467.1,UPI00000CAA1F,A0A9P3DMH0,Staphylococcus aureus
WP_000943811.1,UPI00020F307A,A0AAE8TIS4,Staphylococcus aureus
WP_000943814.1,UPI00000D9C33,A0A641AA65,Staphylococcus aureus
WP_000943819.1,UPI00000D2F88,Q79SZ7,Staphylococcus aureus
WP_000943842.1,UPI00003B13AC,A0A0Z4ZGY7,Staphylococcus aureus
WP_000953731.1,UPI0002598E38,A0AAX2K025,Staphylococcus aureus
WP_000953748.1,UPI00000DA034,A0A6B5FIU0,Staphylococcus aureus
WP_000953755.1,UPI00000CAD98,A0A390ZED4,Staphylococcus aureus
WP_000971979.1,UPI00003B18DC,A0A2W2YHU2,Staphylococcus aureus
WP_000971980.1,UPI00000549F7,A0A0C2LBT4,Staphylococcus aureus
WP_000972273.1,UPI00046B6EFB,A0AAE2ZYH5,Staphylococcus aureus
WP_000972280.1,UPI00000CAC49,A0A5N5IGG7,Staphylococcus aureus
WP_000972284.1,UPI0000F53742,Q6G6I7,Staphylococcus aureus (strain MSSA476)
WP_000972657.1,UPI00000CAD1A,A0A9P2YX88,Staphylococcus aureus
WP_000977774.1,UPI0000054A8A,A0A2Y9TLP4,Staphylococcus aureus
WP_000977777.1,UPI00000CAB51,A0A390B4P9,Staphylococcus aureus
WP_000977788.1,UPI00003B1308,A0A0E1XCS8,Staphylococcus aureus subsp. aureus MN8
WP_000977793.1,UPI0002598E43,A0AAE2ZZ67,Staphylococcus aureus
WP_000977803.1,UPI00000CAD9C,A0A5N5IQ84,Staphylococcus aureus
WP_000977806.1,UPI00024E5003,A0AAE8TKI7,Staphylococcus aureus
WP_000992518.1,UPI00000CAA60,A0A9Q7J6Z3,Staphylococcus aureus
WP_000992521.1,UPI00000D9ED2,A0A641A6G6,Staphylococcus aureus
WP_000992530.1,UPI00020F181D,A0AAE3D6H3,Staphylococcus aureus
WP_000992536.1,UPI00003B17C8,A0AAJ4YX88,Staphylococcus aureus
WP_001002795.1,UPI00019CD7EE,A0AAE2ZZJ5,Staphylococcus aureus
WP_001005059.1,UPI00000D9EC2,A0A641A4T7,Staphylococcus aureus
WP_001032759.1,UPI00000D9E8C,A0A641A7D5,Staphylococcus aureus
WP_001032807.1,UPI00000C7F80,Q99TD3,Staphylococcus aureus (strain N315)
WP_001033320.1,UPI00000D9F06,A0A6B3INW0,Staphylococcus aureus
WP_001033875.1,UPI00003B13A3,A0A131JSY8,Staphylococcus aureus
WP_001033876.1,UPI00000545A3,Q99WS0,Staphylococcus aureus
WP_001033881.1,UPI0001C0BAE2,A0A8G2M8L9,Staphylococcus aureus
WP_001033882.1,UPI00020F307E,A0A9Q8DF91,Staphylococcus aureus
WP_001033885.1,UPI00000D9C29,A0A641A9C1,Staphylococcus aureus
WP_001034758.1,UPI00006E4545,A0A390ZI89,Staphylococcus aureus
WP_001034766.1,UPI00000CAA9A,A0A391E3Q8,Staphylococcus aureus
WP_001034774.1,UPI00000D9FD9,A0A5S9C563,Staphylococcus aureus
WP_001035599.1,UPI00000D2F89,O54462,Staphylococcus aureus
WP_001035616.1,UPI00000D5F14,O54461,Staphylococcus aureus
WP_001036002.1,UPI00020F1DE7,A0AAE8PEE6,Staphylococcus aureus
WP_001036447.1,UPI00003B17AE,A0A166ND87,Staphylococcus aureus
WP_001037039.1,UPI00019CD6F9,A0A0Z4NNI4,Staphylococcus aureus
WP_001037831.1,UPI0000054B71,Q7DI43,Staphylococcus aureus
WP_001038704.1,UPI00000CAA66,A0A0D6HDR6,Staphylococcus aureus
WP_001038709.1,UPI00000D9EBF,Q6G8C4,Staphylococcus aureus (strain MSSA476)
WP_001038734.1,UPI00003B17B5,A0AAJ4YVY9,Staphylococcus aureus
WP_001038752.1,UPI00000CA975,A0A5Q2QJY5,Staphylococcus aureus
WP_001038766.1,UPI00003B17B6,A0A0Z0X9F2,Staphylococcus aureus
WP_001038859.1,UPI00003B1AFD,A0A641A5J8,Staphylococcus aureus
WP_001038872.1,UPI00000D474A,Q53782,Staphylococcus aureus
WP_001039022.1,UPI00003B17B7,A0A163QKA2,Staphylococcus aureus
WP_001039379.1,UPI0002598D0E,A0AAX2JZY5,Staphylococcus aureus
WP_001039406.1,UPI00003B1A02,A0A7U7IED2,Staphylococcus aureus (strain MRSA252)
WP_001039427.1,UPI00000CAD79,A0A390UFQ0,Staphylococcus aureus
WP_001039444.1,UPI00000D9EC1,A0A641A6X6,Staphylococcus aureus
WP_001039454.1,UPI00000D4733,Q53781,Staphylococcus aureus
WP_001041573.1,UPI00000B0313,Q6GHV7,Staphylococcus aureus (strain MRSA252)
WP_001041583.1,UPI00000CAAE3,A0A3A5LJL8,Staphylococcus aureus
WP_001041585.1,UPI00003B1ABF,A0A8B0LTH2,Staphylococcus aureus
WP_001041658.1,UPI00003B15F1,A0A122JP17,Staphylococcus aureus
WP_001041666.1,UPI00000D76C5,A0A3M9GHA5,Staphylococcus aureus
WP_001041672.1,UPI00020F1BCB,A0AAE8PC88,Staphylococcus aureus
WP_001044560.1,UPI000005492F,Q9LAB5,Staphylococcus aureus
WP_001045111.1,UPI00000522E5,O87491,Staphylococcus aureus
WP_001045124.1,UPI00003B1312,A0A068DV34,Staphylococcus aureus
WP_001048246.1,UPI0002598D46,A0AAX2K2V4,Staphylococcus aureus
WP_001048266.1,UPI00000CAD87,A0A9P2YZ05,Staphylococcus aureus
WP_001048816.1,UPI00000545F0,A0A0D1GSZ4,Staphylococcus aureus
WP_001050520.1,UPI00003B1783,A0AAJ4YVK7,Staphylococcus aureus
WP_001050566.1,UPI00000C7F82,Q7WS91,Staphylococcus aureus
WP_001050580.1,UPI0002598DC7,A0AAX2MHQ7,Staphylococcus aureus
WP_001050913.1,UPI00000D765A,W8TWS4,Staphylococcus aureus
WP_001051420.1,UPI00000CACAE,A0A9P2YYD8,Staphylococcus aureus
WP_001051422.1,UPI00000DA006,A0A6B5L736,Staphylococcus aureus
WP_001051433.1,UPI00020F27D6,A0AAE2ZWD6,Staphylococcus aureus
WP_001051447.1,UPI00003B1994,A0A7U7EWK0,Staphylococcus aureus (strain MRSA252)
WP_001056174.1,UPI00003B1A7D,Q6GB45,Staphylococcus aureus (strain MSSA476)
WP_001056195.1,UPI00000C7F65,A0A9P3DMY9,Staphylococcus aureus
WP_001056238.1,UPI0002598D15,A0AAX2JXW1,Staphylococcus aureus
WP_001056313.1,UPI00003B1514,A0AAJ4YW13,Staphylococcus aureus
WP_001056483.1,UPI00000CAB81,A0A390AFP1,Staphylococcus aureus
WP_001056916.1,UPI00020F27E9,A0AAE8TIU7,Staphylococcus aureus
WP_001056917.1,UPI00000B01A7,Q57227,Staphylococcus aureus
WP_001060140.1,UPI00006EABD4,A0A0D1JQI9,Staphylococcus aureus
WP_001060146.1,UPI00003B12EA,A0A131K5I5,Staphylococcus aureus
WP_001060150.1,UPI00000D9B81,A0A6B2ITZ9,Staphylococcus aureus
WP_001060422.1,UPI00003B1458,Q6GJA7,Staphylococcus aureus (strain MRSA252)
WP_001060462.1,UPI00000CAB80,Q7A781,Staphylococcus aureus (strain N315)
WP_001060508.1,UPI0002598DE2,A0AAX2JYB1,Staphylococcus aureus
WP_001060528.1,UPI00003B1A66,Q6GBS6,Staphylococcus aureus (strain MSSA476)
WP_001063553.1,UPI00000C7F71,A0A389UE07,Staphylococcus aureus
WP_001063559.1,UPI00000543E0,X5DSM8,Staphylococcus aureus
WP_001074519.1,UPI00003B157E,A0AAJ4YXL0,Staphylococcus aureus
WP_001074525.1,UPI00020F2371,A0AAE8PCR4,Staphylococcus aureus
WP_001074534.1,UPI00000C7F6D,A0A3A3ALE1,Staphylococcus aureus
WP_001074541.1,UPI00003B1AB9,Q6GAG0,Staphylococcus aureus (strain MSSA476)
WP_001077096.1,UPI00003B19D2,A0A162H218,Staphylococcus aureus
WP_001077099.1,UPI00020F1A0C,A0AAE2ZY64,Staphylococcus aureus
WP_001080275.1,UPI00003B1946,A0A166MVX8,Staphylococcus aureus
WP_001080281.1,UPI00000D7887,W8TTS4,Staphylococcus aureus
WP_001081338.1,UPI00003B1572,A0A166Q5A2,Staphylococcus aureus
